OTUID	secondB116A	first3A	secondB021A	secondB081A	secondB024A	secondB031A	secondB083A	secondB084A	first18A	first1A	secondB015A	secondB034A	first107A	secondB010A	secondB082A	first39A	first28A	secondB085A	first15A	secondB018A	secondB086A	first37A	secondB003A	first119A	secondB011A	first082A	secondB006A	first10A	first101A	secondB118A	secondB099A	secondB109A	first085A	secondB108A	first6A	first081A	first091A	first120A	secondB025A	secondB007A	secondB001A	first20A	first086A	secondB091A	secondB101A	first099A	secondB119A	secondB120A	first109A	secondB013A	secondB100A	secondB107A	first084A	first116A	first100A	first7A	secondB039A	first34A	secondB098A	first118A	first21A	first25A	first098A	first108A	secondB020A	secondB035A	first11A	secondB028A	first35A	secondB094A	secondB093A	first083A	first094A	first093A	first13A	first24A	first29A	secondB037A	first31A	secondB029A
k__Bacteria;p__Deferribacteres;c__Deferribacteres	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli	398.0	215.0	64.0	215.0	243.0	22.0	125.0	71.0	101.0	13459.0	56.0	573.0	4.0	2247.0	4328.0	30.0	4.0	13.0	146.0	48.0	161.0	4930.0	148.0	19.0	1607.0	49.0	74.0	2224.0	28.0	48.0	1236.0	92.0	19.0	24.0	32.0	47.0	21.0	20.0	12.0	217.0	10446.0	277.0	64.0	2.0	35.0	66.0	24.0	85.0	877.0	77.0	21.0	4.0	13.0	52.0	17.0	3863.0	10.0	108.0	18.0	7.0	41.0	12.0	19.0	39.0	182.0	5.0	1351.0	42.0	11.0	125.0	7.0	55.0	26.0	22.0	137.0	106.0	227.0	782.0	11.0	242.0
k__Bacteria;p__Firmicutes;c__Clostridia	32239.0	44689.0	27343.0	41977.0	36568.0	15165.0	28587.0	40138.0	25733.0	29619.0	37258.0	39253.0	11722.0	54430.0	48955.0	23019.0	12746.0	22214.0	42630.0	28782.0	57745.0	17755.0	17276.0	24468.0	26755.0	32605.0	40840.0	29384.0	19704.0	31652.0	35394.0	33793.0	21954.0	17010.0	37967.0	28795.0	25858.0	27291.0	19522.0	46239.0	25267.0	22351.0	30451.0	34909.0	33838.0	17184.0	26198.0	23171.0	16968.0	31891.0	21900.0	25671.0	29128.0	35421.0	15983.0	65478.0	21290.0	74904.0	27618.0	25584.0	45203.0	19308.0	57533.0	11893.0	24358.0	37749.0	16945.0	12235.0	10536.0	23939.0	27045.0	18213.0	9157.0	21144.0	19966.0	29612.0	9426.0	13689.0	14134.0	10084.0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi	128.0	3746.0	89.0	2471.0	239.0	68.0	232.0	330.0	249.0	108.0	200.0	203.0	424.0	339.0	2180.0	532.0	361.0	86.0	144.0	531.0	297.0	632.0	247.0	240.0	130.0	647.0	197.0	174.0	394.0	482.0	120.0	73.0	46.0	937.0	322.0	246.0	284.0	146.0	358.0	522.0	537.0	154.0	230.0	539.0	245.0	88.0	99.0	809.0	71.0	774.0	98.0	16634.0	176.0	377.0	97.0	739.0	157.0	239.0	220.0	298.0	276.0	192.0	112.0	5214.0	14.0	740.0	355.0	136.0	125.0	895.0	92.0	128.0	157.0	77.0	512.0	74.0	229.0	79.0	39.0	78.0
k__Bacteria;p__Fusobacteria;c__Fusobacteriia	110.0	2.0	5.0	4.0	18.0	1.0	8.0	0.0	263.0	30.0	4.0	0.0	0.0	27.0	0.0	9.0	0.0	1.0	0.0	267.0	3.0	24.0	104.0	9.0	5.0	0.0	0.0	18.0	41.0	1.0	5465.0	9880.0	0.0	0.0	1.0	1.0	97.0	1087.0	0.0	22.0	34.0	35.0	6.0	0.0	25.0	12973.0	22.0	344.0	947.0	355.0	21.0	1.0	27.0	654.0	829.0	0.0	16.0	0.0	0.0	0.0	3.0	0.0	0.0	39.0	7.0	1497.0	3.0	1.0	61.0	388.0	5520.0	8.0	7.0	2162.0	835.0	6.0	5.0	9.0	0.0	12.0
k__Bacteria;p__Gemmatimonadetes;c__Gemm-2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria]	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.0	0.0	7.0	0.0	16.0	0.0	0.0	37.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	3.0	1.0	98.0
k__Bacteria;p__Planctomycetes;c__OM190	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Phycisphaerae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Planctomycetes;c__Planctomycetia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
