"","X001","X003","X006","X007","X010","X011","X013","X015","X018","X020","X021","X024","X025","X028","X029","X031","X034","X035","X037","X039","X081","X082","X083","X084","X085","X086","X091","X093","X094","X098","X099","X100","X101","X107","X108","X109","X116","X118","X119","X120"
"K00507",8.69197975689044e-07,5.24150661027365e-08,9.23369438397474e-07,4.93505443685822e-08,1.52768773865501e-06,1.29619030873503e-07,1.02848100452151e-07,6.11964076578925e-07,3.55712728636262e-06,6.30727073500919e-07,1.24663206764026e-07,0.000127726789300176,7.76311664679551e-07,8.05488339791068e-08,6.19171225280414e-06,3.80807311500381e-07,2.32762551065922e-07,9.7074567311149e-07,4.50818038311676e-07,6.41377987779184e-07,4.43381240861151e-07,9.58295919863462e-07,1.71192433477046e-07,1.5222546655097e-06,3.79996849586348e-05,3.14183673840363e-07,1.7465644712982e-06,1.32255705448154e-06,1.49922171652641e-07,1.67292214017581e-05,5.18950893026265e-08,9.99003066297197e-07,6.06492018245834e-06,3.05676821814347e-06,3.84153480021185e-06,6.41740880434262e-07,4.0179108824152e-07,3.92441144031865e-08,2.67502719666713e-06,4.55513450205938e-07
"K12521",0,0,4.39699732570226e-08,0,0,0,0,0,0,5.733882486372e-08,0,0,0,0,0,0,0,6.47163782074327e-08,0,0,0,0,0,8.45697036394276e-08,0,0,0,0,0,0,0,0,0,8.45489081614151e-07,5.66783822982076e-07,0,0,0,6.68756799166783e-07,0
"K01101",0.000128948076158104,4.98991429298051e-05,5.6457445662017e-05,0.000106547825291769,5.67708475784055e-05,6.40966107669474e-05,3.83623414686524e-05,2.61261586539464e-05,4.86310116149861e-05,3.1937725449092e-05,4.04532105949265e-05,2.87886343929069e-05,9.8591581414303e-05,3.85828914759921e-05,4.16908625022146e-05,5.08758568164509e-05,4.03261119721709e-05,3.1711025321642e-05,7.67034690898866e-05,0.000100284029660617,7.38783992584892e-05,5.03357541065124e-05,5.55234125910551e-05,4.24962760788124e-05,2.77550280195e-05,3.96320262858629e-05,0.000103289882205385,0.000113928843407481,6.52161446688988e-05,5.47501791330266e-05,0.000141102747813842,0.000115955713052353,6.12344134211364e-05,4.71522757054045e-05,2.71426475228083e-05,8.48702314374311e-05,9.9162040578007e-05,3.97935320048311e-05,3.44409751570893e-05,7.31424454330677e-05
"K01103",5.16405856144667e-06,1.57245198308209e-07,8.35429491883429e-06,3.94804354948658e-07,1.9712099853613e-07,4.79590414231962e-06,0,1.31807647263153e-06,1.34662675840871e-05,3.19950642739557e-05,3.8022278063028e-06,3.58339542021415e-06,1.98929864074135e-06,3.14140452518516e-06,6.60449306965775e-06,6.7022086824067e-06,0,2.13564048084528e-06,1.67446699944337e-06,1.09950512190717e-06,0,0,1.8831167682475e-06,4.22848518197138e-08,2.90628565649215e-06,0,0,0,0,4.77977754335946e-06,1.03790178605253e-07,2.28343558010788e-06,0,8.25977795115362e-06,2.83391911491038e-06,2.83435555525132e-06,1.84020318414616e-05,3.92441144031865e-08,5.01567599375087e-06,8.52460885385398e-06
"K12520",0,0,4.39699732570226e-08,0,0,0,0,0,0,5.733882486372e-08,0,0,0,0,0,0,0,6.47163782074327e-08,0,0,0,0,0,8.45697036394276e-08,0,0,0,0,0,0,0,0,0,8.45489081614151e-07,5.66783822982076e-07,0,0,0,6.68756799166783e-07,0
"K01104",0.00159252407934039,0.00144660340936942,0.00118481489938373,0.00164579130414785,0.00155804437242957,0.00143779909996434,0.00146594539979474,0.0012335783559039,0.00149439998910503,0.00137750792852601,0.00137752843474249,0.00142734535204157,0.00139682728215373,0.00135523413169847,0.00127813452130552,0.00141865955826352,0.00153861865318351,0.00119518207273487,0.00137473740654301,0.00149986242442162,0.00152173984129058,0.00134075686514371,0.00122585195198463,0.00132080963144058,0.00126554208911951,0.00127114226097613,0.00149549582854908,0.00116756596347778,0.0010358122839481,0.00143313663341728,0.00129130550711726,0.00128050785890737,0.0013201309597151,0.000968410186556516,0.0012289132801858,0.00142429040571714,0.00158635157459517,0.00128057469709038,0.00124041011109455,0.00150872562043209
"K05592",0.000455050704919558,0.000582069309070888,0.000367193246669395,0.000215267074535756,0.000419227083636715,0.00063286491823988,0.000449960439478161,0.00043072856159209,0.00044250663442351,0.000563296615461185,0.000473470859289771,0.000537266370969735,0.000462972869023267,0.000782934666276918,0.000775532598704562,0.000679436405178979,0.000292524336052097,0.000672856184222678,0.000597591511070578,0.000450384785561225,0.000522247679079328,0.000457510646793761,0.000475914965066187,0.000450460526435411,0.000784987755818529,0.000552155365083449,0.000424415166525462,0.000572037415516945,0.000632821486545797,0.000440681005323369,0.000496428424268925,0.000654775152595934,0.000503867184632131,0.000449214852823764,0.00052799061909797,0.000452694712739669,0.000278883194348439,0.000551615272051189,0.000388280197596234,0.00044855060175279
"K05593",0.000122352397401405,7.00265283132559e-05,0.000296313649779075,0.000250799466481135,0.000115857866889611,6.33837060971431e-05,6.24287969744557e-05,0.000239372102261833,0.000113167463810422,6.03204437566334e-05,0.000140370770816293,8.05352936814231e-05,8.96639972704882e-05,2.39230036917947e-05,5.76242020327639e-05,7.22772277227723e-05,0.000168170943145128,9.29327191058733e-05,6.99411985152115e-05,0.000118059362464783,0.000114226092176854,0.000168407898759163,8.46831904266452e-05,0.000192438360631518,6.78617700790917e-05,0.000119569329587247,0.000267175848428866,4.93124844599546e-05,9.59501898576901e-06,9.21917698893424e-05,0.000116245000037883,5.82276072927509e-05,9.29422417434624e-05,0.000252020783942679,0.000173687753753841,0.00016257435637668,8.87154722837275e-05,0.000149009902388899,0.000260882027354962,6.65700370800963e-05
"K05590",1.87133211236582e-05,5.76565727130101e-07,5.62815657689889e-06,7.40258165528734e-07,1.62624823792307e-06,4.34223753426236e-06,1.23417720542581e-06,5.79012164763137e-06,5.5897714499984e-07,5.50452718691712e-06,1.12196886087624e-06,9.71768249549601e-07,1.79522072457146e-06,4.02744169895534e-07,2.07215970060512e-05,1.29474485910129e-06,1.92029104629385e-06,5.22908335916056e-05,4.15396621015759e-05,8.70441554843178e-07,2.16148354919811e-06,4.03493018889879e-07,2.39669406867864e-06,2.78657173491914e-05,5.44928560592278e-06,6.14902333087567e-06,3.88125438066266e-07,4.59746023700726e-06,2.32379366061593e-06,2.82441400289423e-06,2.80233482234183e-06,7.84930980662084e-07,6.38412650785088e-07,0.000176967368544008,0.000116568539593314,2.10704922409249e-05,4.21880642653595e-06,1.05959108888604e-06,0.000138232030387774,2.73308070123563e-06
"K05591",1.55944342697152e-05,5.76565727130101e-07,6.41961609552529e-06,4.4415489931724e-07,4.92802496340325e-07,4.34223753426236e-06,8.22784803617209e-07,3.90715525815775e-06,1.11795428999968e-06,6.24993191014547e-06,8.72642447348183e-07,1.0932392807433e-06,1.89225968265641e-06,2.4164650193732e-07,2.35285065606557e-05,1.44706778370145e-06,1.16381275532961e-06,5.20319680787759e-05,3.43265734885891e-05,1.09950512190717e-06,2.16148354919811e-06,4.53929646251114e-07,7.98898022892879e-07,2.86268446819462e-05,5.52194274733508e-06,3.45602041224399e-06,3.88125438066266e-07,5.54214384735122e-06,2.17387148896329e-06,2.96925574663239e-06,2.23148884001294e-06,1.14171779005394e-06,8.51216867713451e-07,0.000175796691354081,0.000117765083219609,1.85035287191879e-05,4.58041840595332e-06,1.09883520328922e-06,0.000139034538546774,2.34264060105911e-06
