"MGJ1"	"MGJ10"	"MGJ11"	"MGJ12"	"MGJ13"	"MGJ14"	"MGJ15"	"MGJ16"	"MGJ17"	"MGJ18"	"MGJ19"	"MGJ2"	"MGJ20"	"MGJ21"	"MGJ22"	"MGJ23"	"MGJ24"	"MGJ29"	"MGJ3"	"MGJ4"	"MGJ5"	"MGJ6"	"MGJ7"	"MGJ8"	"MGJ9"
"K00033"	1.02507817668522e-05	9.50078509735933e-06	1.03696222298163e-05	5.99219777167747e-05	6.60700399456033e-06	1.07863745359166e-05	0.000126231423621592	2.22144951650104e-05	1.53620056966638e-05	0.000223274067225808	7.50665478763039e-05	1.20838092541258e-06	1.63434756625431e-05	2.0632189834545e-05	0.000193953003635705	0.000161069678382684	9.40495571063402e-05	2.00631416186249e-05	6.48174409652095e-06	3.1166448307098e-06	3.65169427078365e-06	2.69948761610697e-06	1.04692485140861e-05	1.20649381543987e-05	9.82776527811119e-06
"K00034"	0	6.54127322846895e-07	0	0	0	0	0	0	0	0	4.59915791227105e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00036"	7.21273262016985e-06	4.81524568349137e-06	7.13468572650932e-06	3.57705853585957e-05	3.13889197159761e-06	6.80979764578365e-06	8.34403259334328e-05	5.73477305434059e-06	1.42815685545984e-05	0.000168998583561537	6.08559357798224e-05	5.72611820615406e-07	1.22857881928916e-05	5.08858948255343e-06	0.000143888082034025	0.000111609861691884	6.5864837642148e-05	1.33458889848784e-05	1.99707664502713e-06	1.18066106244219e-06	1.58235851377874e-06	1.32137197059759e-06	6.55074657610413e-06	6.75969797808497e-06	6.82712943293208e-06
"K00039"	0	0	0	0	0	0	0	0	0	2.80721945818329e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K00040"	0	6.01465850615023e-07	1.39631885103971e-06	4.22833969178317e-06	7.86082177808979e-07	0	1.39944025556392e-06	2.06475638075762e-06	0	5.56403410413833e-06	2.12601654653694e-06	0	0	2.23705707967393e-06	2.00802638302556e-06	4.61966068672855e-06	0	0	0	0	1.81687209963147e-06	0	0	0	1.67870428622661e-06
"K00041"	1.02171548265846e-05	1.87279335025464e-06	1.74860239919645e-05	1.07250166339017e-05	2.84479568814237e-06	1.74367489883486e-05	1.44799159914883e-05	1.22943038281686e-05	1.76565716285782e-05	7.81142282534197e-06	1.36588546252442e-05	1.12948262255505e-05	1.62640111785983e-05	1.34368741175645e-05	1.03075100998674e-05	6.88798861438252e-06	1.27011090087096e-05	1.85434005717542e-05	1.14329893790424e-05	1.4013614255823e-05	9.8995392013094e-06	3.17247863609817e-06	1.40324392691693e-05	1.19811704980414e-05	1.04895093885332e-05
"K00042"	6.89379772389037e-07	5.79221175263519e-07	2.09679582676666e-06	7.82794747226879e-07	1.34643553516283e-06	5.7817766603462e-07	1.30777062486726e-06	1.45646046086357e-06	0	8.2700524645153e-06	2.40011666127964e-06	0	0	1.40725694229821e-06	1.05750930088542e-06	4.80380312058317e-06	6.1189427895183e-07	6.93476691701289e-07	5.2104672628873e-07	7.19460905979212e-07	1.9943494822359e-06	4.29169903238992e-07	0	6.41136856355063e-07	1.81119583481534e-06
"K00046"	5.10388296703446e-05	8.2559232861362e-06	6.14111647217772e-05	4.86678498871353e-05	1.00758314337306e-05	5.91270215722858e-05	4.40344521813982e-05	4.67681733870209e-05	5.71365286857802e-05	4.14872114717607e-05	4.94783093784005e-05	4.61430992078522e-05	5.7535717690594e-05	5.41780175947143e-05	3.75369682365064e-05	2.86840545869682e-05	4.78217613072648e-05	5.42183787019398e-05	5.11759592629008e-05	4.50396459952246e-05	4.32736902283348e-05	1.2788715948949e-05	4.77449534629449e-05	4.77263547722498e-05	4.22639542577475e-05
"K00048"	4.30885131462009e-05	6.76141806379294e-06	4.45705649530779e-05	2.658373541804e-05	6.71978512415848e-06	4.12476040426107e-05	3.25898333611312e-05	4.36530494764705e-05	3.67854596372131e-05	2.60764544957587e-05	4.38234631013238e-05	3.66988090243296e-05	3.89130420846825e-05	5.0720065337214e-05	3.05619261631442e-05	3.32990608768825e-05	3.3726146569904e-05	3.63379376400291e-05	4.53692450649464e-05	4.04139432907474e-05	3.54918651326417e-05	9.1609428206768e-06	3.96153871793229e-05	3.19553819439584e-05	3.43021438476867e-05
"K00052"	7.18144122976822e-05	1.23753015063272e-05	6.90729545913707e-05	4.96176382403839e-05	1.15203966871613e-05	6.99281942261817e-05	5.58663911935316e-05	6.22769292537124e-05	6.75815892299019e-05	4.65763516076523e-05	6.68924388170825e-05	5.7151888144586e-05	6.78804727164456e-05	6.59060302723812e-05	4.50181543703416e-05	4.63252559387735e-05	4.85218150776628e-05	6.29501919144041e-05	7.50618033237066e-05	5.07081212175261e-05	4.91429749087111e-05	1.44751333834989e-05	5.65279103106761e-05	5.68172093277142e-05	4.9337597241934e-05
"K00053"	9.67890232047675e-05	1.61039708932774e-05	8.51407589895659e-05	7.25902715724436e-05	1.80619426507243e-05	7.63522073345802e-05	7.1810782535621e-05	8.74541616992477e-05	7.83318799517593e-05	7.3895612155338e-05	8.08059246476455e-05	7.31506555563376e-05	8.44787586674302e-05	9.61935761917217e-05	5.97240289814289e-05	7.09629790642428e-05	6.63771414132366e-05	7.02116827409374e-05	9.33060590883134e-05	7.10251626520994e-05	6.99629514354687e-05	2.11371267024254e-05	7.60635435058344e-05	7.20306791720899e-05	6.47396554645427e-05
"K00054"	1.17181228678383e-05	2.54453081249978e-06	5.79691184268954e-06	2.0717237109286e-05	1.18714794669004e-06	7.72268371048647e-06	5.78052946711858e-05	2.04607950735591e-06	7.90498364265443e-06	0.000113118570490208	4.37235854473375e-05	6.20476980557925e-07	8.56458020006594e-06	1.70422089489976e-06	0.000102956014339265	7.3893329696548e-05	4.789390567952e-05	1.06262531948607e-05	6.27766047302857e-06	1.22408628329353e-06	2.55291842673696e-06	7.56584565128441e-07	4.51245596709023e-06	5.3418553624347e-06	4.6056033940513e-06
"K00055"	1.77294245888139e-06	3.13510440621867e-07	1.56370247646565e-06	7.57123691900645e-06	4.12558059466062e-07	1.69209500993939e-06	1.42317548843883e-05	6.91119206575755e-07	1.85702526527898e-06	2.99156649076485e-05	7.30055241347775e-06	1.95635134818136e-07	2.42516442452304e-06	6.48261388273662e-07	2.89552966128069e-05	2.15191550479355e-05	1.45805452332287e-05	3.1182285263341e-06	6.47108725257567e-07	7.76437372972489e-07	3.33545917392956e-07	3.00429331498266e-07	1.5768741595281e-06	1.69362620158899e-06	1.17633713115293e-06
"K00057"	6.19670850154639e-05	1.1145427167177e-05	6.02730601803146e-05	6.09007888187267e-05	8.76750453713082e-06	5.64531833775738e-05	0.00011167464960728	4.57228611040512e-05	5.88207252600646e-05	0.000170111759171967	9.60478941951863e-05	4.026968350173e-05	5.88809875451519e-05	5.23964905288534e-05	0.000129519096527954	0.000107457038166652	8.18694449130829e-05	5.68564275257139e-05	6.0979790818183e-05	3.4630370959531e-05	3.29758568279682e-05	1.02747078036222e-05	4.60845607279259e-05	4.57934800115222e-05	4.07517672844235e-05
"K00058"	4.91480758283571e-05	6.57921488443826e-06	4.76954351096715e-05	2.9303258591097e-05	5.98352431675816e-06	4.82490873326862e-05	3.27390251338716e-05	3.28746018807789e-05	3.39043905471934e-05	4.11927745117358e-05	3.93207670210025e-05	2.75842037741842e-05	3.39722023146013e-05	3.31757496578615e-05	3.17659583171215e-05	2.63987294732896e-05	3.88276598128996e-05	3.28926304736661e-05	5.12181419200059e-05	2.33146858983976e-05	2.40839318295269e-05	7.08345302572035e-06	3.16753858635807e-05	3.32617141146777e-05	2.29345331021968e-05
"K00059"	9.08525447553583e-05	1.27104421496089e-05	9.20219518059515e-05	7.81581204297083e-05	1.23171818599407e-05	8.49759830802794e-05	0.000113674580904238	6.42850537914602e-05	7.74223452104526e-05	0.00016485775344805	0.000112534989432449	6.05544856465986e-05	7.68718981688714e-05	6.8338488073043e-05	0.000148356975727971	0.000107953960795386	0.000118862531306513	7.81021240063121e-05	9.8296232719549e-05	5.527094839411e-05	5.06603352226977e-05	1.69540990114309e-05	6.28796762922569e-05	6.37684863262624e-05	5.63643711475932e-05
"K00060"	4.32626311184504e-07	0	9.92599382208639e-07	0	9.43808302050403e-07	0	0	3.95330217822065e-07	0	7.11996796411293e-06	1.38295026775803e-06	0	0	3.73047757762087e-07	7.35953541571997e-07	2.59614989882682e-06	0	0	0	0	4.50870737440695e-07	0	0	0	7.61574642762669e-07
