"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K03202",11.66,2,9,8,6,13,5,3,3.66,11.66,0,11.66,0,0,2,0,9,0,0,4,0,1,6.66,65.34,14.34,7,16.34,10.34,5
"K03203",404.1,265.96,812.77,447.63,328.24,133.22,145.49,522.52,244.43,207.98,1141.2,226.61,116.14,890.74,89,325.5,155.69,104.62,63.29,144.3,52.02,93.66,177.14,510.25,260.31,307.06,365.22,282.35,259.88
"K03204",409.85,270.04,818.43,459.63,477.57,140.72,137.49,182.93,229.43,186.82,1153.54,236.16,118.14,907.74,92.33,332.17,153.69,107.46,63.29,137.47,53.85,95.49,182.48,506,297.48,307.4,353.47,284.88,344.59
"K03205",300.66,94.08,88,203.01,404.82,194.59,148.58,837.16,82.58,154.5,510.92,225.47,14.5,38.75,38.08,281.92,110.58,59.99,9.5,94.42,45.5,122,163.16,505.25,267.26,204.08,408.32,220.45,207.36
"K03206",19.33,2,4.33,13.67,12,31.17,3,9.47,1.17,5.33,26.67,22.17,0,1,0,0,0.5,0.6,0,0.9,5.1,4,15.5,37.5,39.83,17.67,37.42,13,8.67
"K03207",208.89,40.5,76.75,123.94,474.84,136.12,34.5,75.58,14.45,46.18,380.44,112.04,0,2.5,49.32,159.97,132.25,50.33,2.4,19.42,4.33,93.34,124.85,354.03,268.5,171.73,255.43,251.3,197.76
"K03208",182.42,39.92,53.42,116.73,457.87,136.87,32.75,63.91,14.45,41.34,347.44,111.29,2.5,3.5,39.98,60.83,41.58,32.5,3.4,36.25,4.5,58.5,150.85,356.95,260.25,185.31,254.18,208.8,199.51
"K03210",4991.21,1624.59,5257.06,5493.77,5459.53,3220.81,6188.12,3108.83,7458.11,6035.72,8626.62,3607.93,1373.94,8267.26,887.64,2284.76,1473.28,862.97,606.79,1380.66,691.94,1326.46,5097.45,6632.63,6109.03,4907.42,5941.59,4242.71,3749.8
"K03212",677.72,384.61,1088.14,793.71,1110.31,423.97,354.27,410.71,514.92,372.31,2371.82,494.49,586.53,2548.45,190.66,541.58,284.16,193.13,106.12,221.32,149.47,241.68,493.65,1129.37,783.19,674.68,877.68,713.55,678.3
"K03214",672.72,383.61,1067.64,777.71,1087.81,415.64,347.27,407.71,514.92,369.31,2356.15,488.16,586.53,2546.45,181.66,527.25,282.16,190.8,104.12,217.32,103.47,235.68,486.32,1124.04,763.86,636.68,867.68,702.22,675.3
"K03215",5123.67,1594.54,5261.46,5478.19,5412.39,3241.1,5999.06,2774.02,7468.02,6015.17,8173.45,3526.85,1331.19,8229.59,851.55,2326.54,1365.45,801.72,603.29,1362.8,690.11,1323.21,4725.28,6555.05,6163.57,4950.31,6046.3,4150.8,3635.52
"K03216",3777.58,982.89,2306.31,2285.94,3518.96,2553.2,5821.48,1526.7,3783.6,4860.44,6851.87,2451.09,779.11,3000.76,717.56,1704.46,1048.71,619.13,298.79,996.72,456.44,1117.63,3520.87,4365.13,4275.25,2964.47,3952.98,2854.72,2284.1
"K03217",5451.37,1755.92,5492.67,5895.13,6275.19,3804.23,6294.03,3399.38,7561.45,6199.47,9681.12,4099.6,1477.52,8554.54,989.05,2857.17,1719.6,1030.49,620.46,1571.72,708.37,1549.04,5205.79,7604.71,6961.52,5367.36,6883.59,4656.54,4109.14
"K03218",4977.67,1585.39,5258.39,5487.1,5458.03,3180.22,6180.75,3066.75,7443.44,5984.55,8426.04,3566.84,1360.94,8252.43,876.39,2264.67,1448.03,858.97,606.79,1369.41,690.44,1297.71,4863.62,6526.88,6018.52,4861.33,5891.12,4176.96,3683.3
"K03219",462.57,56.79,80.36,328.91,265.68,405.15,333.34,199.96,29.59,111.26,2048.67,278.7,3.43,54,119.08,130.12,218,45.64,3.29,198.17,38.47,192.33,343.25,401.69,385.8,384.47,664.01,832.63,401.64
"K03220",282.79,37.4,56.47,206.37,213.22,247.37,324.09,115.85,18.34,67.51,1138.63,177.06,2.43,30.5,74.33,95.98,124.5,32.03,2.29,128.17,27.47,108.33,225.5,258.26,253.44,255.19,399.3,476.06,250.36
"K03221",371.45,81.48,79.06,265.12,524.66,305.7,192.17,154.44,28.62,88.42,1291.21,234.56,5,22.17,91.15,126.14,145,47.11,4.4,102,27,141,229.08,536.13,387.11,339.76,565.46,621.4,393.86
"K03222",377.12,83.65,84.72,288.62,565.17,305.87,345.84,158.1,30.62,89.09,1351.38,241.39,5.43,47.5,91.48,125.98,144,52.28,4.69,135.17,28.47,141.33,265.58,541.63,396.61,342.59,574.97,622.73,395.86
"K03223",227.95,18.31,26.3,138.79,84.22,187.45,154.67,76.52,11,53.67,988.96,94.97,1.43,35.33,46.33,31.48,93,17.03,1.29,103.17,17.47,84.33,162,135.93,178.36,162.11,258.22,353.9,150.28
"K03224",463.9,57.79,80.36,328.91,266.68,405.15,333.34,200.96,29.92,111.59,2048.67,280.03,3.43,54,119.08,130.12,218,45.64,3.29,198.17,38.47,192.33,343.58,403.36,391.47,384.47,665.68,833.3,401.64
"K03225",437.62,87.65,84.22,338.62,855.17,349.87,351.34,147.1,31.12,105.59,1525.88,265.89,2.43,33,103.48,145.98,163,67.78,6.69,138.17,29.47,172.33,253.58,685.13,418.61,399.59,679.97,734.73,502.36
"K03226",539.9,80.79,94.36,395.91,585.88,457.15,343.34,210.96,36.12,129.59,2247.17,319.03,3.43,55,135.48,154.12,237,62.64,5.69,205.17,39.47,226.33,355.58,612.56,467.47,453.87,800.68,961.3,526.64
"K03227",371.79,82.65,85.22,288.62,564.17,304.87,345.84,157.1,29.29,88.76,1351.88,240.06,5.43,47.5,91.48,127.48,145,52.28,4.69,135.17,28.47,141.33,266.75,536.96,387.94,342.59,570.3,616.06,395.86
"K03228",377.12,82.65,85.22,288.62,565.17,305.87,345.84,158.1,30.62,89.09,1351.88,241.39,5.43,47.5,91.48,127.48,145,52.28,4.69,135.17,28.47,141.33,267.08,541.63,392.61,342.59,574.97,622.73,395.86
"K03229",629.4,123.79,118.36,470.91,921.88,511.15,355.84,240.96,44.62,149.09,2451.67,367.53,6.43,58.5,147.48,180.62,257,81.14,7.69,210.17,40.47,257.33,392.08,880.06,599.47,533.87,953.68,1102.3,668.14
"K03230",315.9,47.79,67.36,253.91,255.88,269.15,332.34,146.96,22.12,81.59,1168.67,219.03,2.43,50,81.48,105.12,125,35.64,2.69,133.17,28.47,118.33,243.58,348.56,270.47,282.87,439.68,556.3,326.64
"K03231",517.66,133.98,297.98,503.66,599.68,429.81,79.66,652.32,84.67,242,2303.33,839.66,26.33,154,378.33,506.99,636.99,209,12,436.67,68.33,606.34,839.66,1185.99,914.65,932.66,1171.31,670.64,830.33
"K03232",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K03234",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K03236",570.83,158.94,317.44,509.64,627.55,435.93,73.83,672.78,92.68,262.31,2300.01,830.16,22.32,144.5,382.47,527.98,694.48,229.5,12,456.33,68.34,624.84,885.12,1304.46,1037.27,976.31,1122.78,784.25,937.82
"K03237",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K03238",445.66,109.98,252.98,446.66,492.68,376.81,63.16,605.82,72.67,213.5,2053.83,709.66,20.33,110.5,347.83,453.99,593.99,193.5,9,410.17,48.33,532.84,699.66,981.99,791.15,776.66,993.31,581.64,742.33
"K03239",20,11,16,21,32,18,12,17,3,14,132,64,5,21,10,12,11,5,0,9,5,30,90,62,52,61,109,30,28
"K03242",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K03243",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K03263",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K03264",413.33,105.65,220.65,428.66,465.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,496.66,172.5,9,405.5,46,495.17,697.99,981.99,779.15,776.66,980.65,520.31,742.33
"K03265",478.33,154.98,555.65,887.66,1061.68,447.64,162,1049.48,2801.17,639.99,2010.17,763.33,57.33,117.5,337.16,341.99,510.99,178.83,9,426.5,49,495.5,1185.65,1282.15,1091.15,1157.33,1264.48,676.97,954
"K03269",2916.57,753.45,2126.98,1674.43,2063.44,1651.08,5681.77,1342.82,3816.92,4671.31,5088.14,1538.96,691.53,2798.65,547.41,1070.72,734.16,412.24,291.12,730.07,384.22,811.55,2870.65,2486.13,2615.28,2075.04,2030.39,2178.82,1492.03
"K03270",3424.76,1205.23,4668.06,4434.41,3561.83,1956.41,5926.6,2222.54,6908.92,5417.64,5363.29,2277.59,1200.03,7925.65,591.24,1433.8,814.32,533.66,574.12,945.07,526.83,855.88,3624.54,4021.01,3640.36,3149.42,3393.87,2792,2477.56
"K03271",4070.73,1359.33,4867.03,4829.41,4189.18,2426.42,5995.43,2590.15,7131.75,5691.64,6744.78,2738,1257.03,7951.12,718.99,1822.55,1095.82,598.16,585.12,1099.99,582.47,1064.18,4276.15,4900.54,4424.56,3906.7,4209.13,3498.21,3024.03
"K03272",3566,1151.25,4525.78,4513.5,3691.69,1729.08,5908.77,2342.57,6737.42,5416.31,6091.61,2294.96,1220.03,7810.45,616.66,1467.72,898.66,537.49,556.12,1014.32,563.47,892.18,3602.15,4015.63,3656.05,3167.29,3571.89,2950.12,2589.25
"K03273",3887.39,1258.42,4826.5,4739.27,3995.64,2357.19,5988.27,2503.9,7108.42,5616.64,6566.38,2604.18,1252.36,7945.28,693.32,1744.77,1089.65,592.27,582.79,1077.32,580.58,1039.34,3996.04,4632.19,4181.82,3642.45,4008.83,3248.42,2838.11
"K03274",1150.75,541,1399.28,1136.83,1642.51,1124.41,435.1,1012.15,916.42,633.64,3834.94,928.34,614.03,2695.45,274.49,657.55,443.82,241.16,137.12,367.32,143.47,434.01,929.32,2030.05,1308.05,1222.12,1669.3,1402.9,1070.7
"K03275",97.96,44.92,30.25,79.58,353.95,60.64,21.42,35.58,11.95,22.58,213.25,56.13,3,15.33,17.15,34.17,21.17,20.58,2.4,7,1,33.67,41.68,281.78,144,84.23,164.52,147.33,149.26
"K03276",98.25,44.92,30.42,80.58,355.95,59.78,21.42,35.58,11.95,22.58,212.75,56.92,3,4,17.15,33.5,21.17,20.58,2.4,7,1,33.67,41.11,281.78,144,84.73,165.38,147.33,149.69
"K03277",3.67,0,1,0.33,4.67,0.33,0,0,0,0.33,0,0.67,0,0,0,2,0.67,0.33,0,0,0,0.67,0,0.33,0.33,1.33,0.33,1.33,1.33
"K03278",79.5,27.92,15.42,66.25,322.08,54.17,18.92,21.58,6.25,20.75,194.75,50.17,0,1.5,12.75,27,19.5,18.75,2,5,1,32,15.75,224.75,89.67,75,146.33,132,129
"K03279",180.29,70.92,58.17,157.25,458.33,87.06,47.92,764.33,43,81,327.5,119.21,4,9,20,74,49.5,47,10,52,10,48,82.93,462.5,178.92,156.75,325.44,221.5,170.68
"K03280",77,26.25,15,71.25,319,51.25,12.25,17,5,18,192.5,47.75,0,1,12,24,19.5,17,2,5,1,32,12.5,218.5,81.25,73.25,146.25,129.5,125.25
"K03281",2542.55,1333.51,4780.33,4561.45,3738.33,1808.9,771.98,1995.16,1806.17,1420.87,8658.09,2548.96,1660.46,9173.74,826.65,1706.18,1219.65,639.29,508.95,1088.33,427.64,1135.45,2164.45,4706.09,3251.34,2965.5,4172.78,3059.09,3135.15
"K03282",1949.67,768.4,1744.93,1630.62,2711.88,1704.01,599.53,1024.1,1199.61,847.99,4489.48,1607.49,734.77,2982.93,399.05,1233.03,762.2,517,154.79,530.6,234,610.96,1412.22,3250.64,2789.48,2026.41,2924.35,1714.66,1621.6
"K03284",5540.68,1779.04,5692.66,6008.41,6226.36,3512.42,6274.69,3829.97,7937.5,6389.99,10503.65,4757.38,1913.89,10027.9,1185.05,2836.66,2205.86,1169.54,656.14,1819.32,739.7,1845.32,5796.74,7948.95,7088.44,5891.94,7017.14,4539,4555.22
"K03286",3388.87,744.09,1966.71,1975.67,2287.5,2177.11,5641.18,1190.79,3470.92,4649.76,7098.49,1844.51,677.28,2702.94,721.41,1189.5,915.41,437.96,286.87,877.16,436.22,1061.83,3214.4,2761.24,2990.48,2410.1,2492.13,2862,1828.7
"K03287",0.75,0.25,0,1.5,1.15,0,0,0.25,0,0,0,2.05,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0,0.75,0.7,1.2
"K03288",746.91,560.11,1763.47,972.35,790.94,396.08,282.86,477.48,713.59,491.08,2877.57,517.82,698.81,3400.32,217.93,664.02,354.42,217.19,158.93,236.02,133.13,248.8,437.21,1030.63,741.79,702.71,765.29,561.91,634.24
"K03289",498.03,302.3,846.02,536.19,746.61,233.92,167.33,257.35,241.72,202.91,1409.47,340.65,122.46,883.49,128.9,380.83,185.36,133.54,62.15,121.54,49.63,157.08,288.91,819.53,525.3,430.72,563.83,473.49,478.31
"K03290",518.24,312.47,848.35,578.03,766.7,241.68,322.83,255.85,244.39,208.65,1478.78,364.98,123.46,894.16,141.4,427.33,203.11,136.96,63.15,136.62,58.63,160.08,281.24,828.2,487.38,468.64,607.67,534.35,510.06
"K03291",1504.49,854.44,2314.41,1750.36,2599.84,958.270000000001,707.55,920.3,1299.07,896.84,5449.31,1009.45,1637.27,6718.87,383.82,1097.24,617.95,416.69,250.03,421.41,243.84,535.63,1012.28,2594.05,1776.03,1377.14,1923.93,1550.35,1498.58
"K03292",1704.96,956.06,2594.37,1794.57,2536.32,873.3,578.57,936.91,809.5,687.83,4771.78,1394.99,388.46,2668.3,410.61,1412.65,655.4,486.41,190.87,427.75,182.84,559.48,1059.29,2885.85,1886.06,1501.85,2021.7,1617.99,1646.11
"K03293",1286.27,576.85,1256.02,1243.09,2161.32,1038.69,552.47,1097.26,787.51,665.29,3890.62,1020.32,642.27,2642.56,387.3,1401.12,728.66,494.86,118.21,530.49,167.94,573.76,874.13,2614.47,1708.49,1266.41,2213.41,1461.36,1234.58
"K03294",1562.7,504.18,827.62,1081.06,2403.44,1257.15,371,844.09,897.56,680.46,3463.37,1770.33,203.14,508.28,364.78,1432.7,899.73,539.42,48.51,601.92,77.9,601.99,1436.79,3117.58,2486.24,1706.29,2807.41,1568.74,1514.43
"K03296",3416.25,1424.56,5858.1,6792.15,4312.65,2738.15,5874.19,2901.22,7431.44,5936.97,6439.37,3124.26,1114.26,10675.04,683.91,1614.06,1061.1,542.83,783.29,1242.84,748.5,1062.53,2571.31,5580.76,5277.33,4631.18,5953.32,3871.09,3492.83
"K03297",2964.32,1043.8,3437.39,1929.76,1949.86,1277.96,650.95,977.92,1170.7,859.88,5345.42,1570.11,963.86,4574.46,447.67,1434.57,878.57,505.97,235.22,573.33,263.34,533.04,2711.87,2467.37,2333.56,1743.76,1881.18,1665.74,1524.34
"K03298",308.17,88.9,152.03,395.8,373.39,299.67,55.93,553,56.44,172.27,1651.44,694.17,39.33,56.07,268.5,170.43,399.13,168.44,7,335.33,67.6,325.4,479.5,776.53,704.34,707.64,790.29,361.56,598.34
"K03299",1365.27,391.89,513.87,1057.9,1643.03,1090.76,5460.86,656.73,3241.43,4407.67,4121.49,1218.87,577.29,1813.9,277.8,598.62,747.83,360.31,186.8,367.68,225.26,402.62,895.62,1992.65,2085.03,1456.08,2307.18,1612.77,1463.83
"K03300",235.08,53.7,64.58,149.86,292.74,162.82,21.08,141.34,166.76,53.78,354.01,190.23,40.66,34.2,26.41,120.2,42.33,21.48,3,49.25,34.05,33.45,168.69,248.77,290.61,216.28,336.39,140.87,131.75
"K03301",46,0,0,0,0,33,0,4,0,11,34,6,7,27,2,0,0,0,0,1,1,2,11,0,45,39,1,0,0
"K03303",1232.21,331.88,442.77,849.09,1577.26,833.34,5272.49,1247,3178.06,4269.99,2499.47,921.5,80.67,134.51,211.74,505.43,490.76,213.7,148.29,304.18,140.96,348.84,845.26,1753.91,1703.41,1248.67,2247.95,1212.95,1087.7
"K03304",462.03,300.3,823.02,510.19,640.28,194.25,155.33,220.35,236.72,196.91,1347.47,291.98,122.46,889.49,114.9,364.83,176.36,126.54,62.15,112.54,53.63,141.08,196.91,704.86,413.3,377.05,482.83,424.74,418.23
"K03305",3783.3,1999.41,5479.46,3908.71,5177.63,2222.24,6360.6,2037.67,5666.99,5890.73,11358.89,2636.34,2101.13,9745.21,925.96,2731.11,1605.07,991.54,593.06,1023.49,512.62,1193.35,2174.59,5913.19,3949.49,3510.92,4887.58,3814.07,3496.35
"K03306",4828.56,1221.81,4061.35,5026.2,4533.23,2939.29,5723.68,3631.84,3942.42,5514.91,10482.64,4591.46,711.9,5594.88,1534.74,2218.03,2413.03,1027.69,503,2167.84,684.3,2256.55,5077.46,7094.15,6206.62,5486.36,6427.47,4053.52,4455.72
"K03307",3282.85,1439.49,4239.57,4487.62,5796.26,2153.89,6304.27,3755.02,15448.61,6995.92,8847.27,3122.98,1176.46,5292.87,869.63,2080.33,1709.23,822.93,347.12,1279.62,355.31,1163.18,4419.43,5594.44,5040.9,4927.09,5704.03,3396.14,3821.8
"K03308",3937.1,866.14,2705.66,3665.39,4794.97,2408.53,10952.38,3887.21,16932.94,10280.63,6286.05,2259.52,289.33,330.03,670.5,1188.07,1113.88,471.47,316.5,1115.24,473.3,1068.87,5355.97,4632.79,5218.95,4318.43,4981.39,3700.34,2940.57
"K03309",42.22,30.17,73.22,65.44,169.28,103.28,16,44.5,29.5,53,340.11,59.39,75.5,233.5,41,108.89,85,51.11,5,47,6.61,47.5,48.22,219.89,126.94,47.33,178.78,142.22,100.11
"K03310",4950.28,1430.22,3883.38,4593.16,6064.82,3196.7,16268.7,4073.85,18011.32,14413.09,10341.54,3311.19,986.26,3285.85,1082.89,1688.64,1595.11,790.69,560.83,1552.57,603.31,1490.29,5838.88,6006.03,6591.71,5343.64,6797.03,4692.61,4204.93
"K03311",1720.43,776.63,2082.97,2480.88,3694.33,1565.15,5879.17,1850.73,9292.61,5506.28,5362.42,1374.26,803.27,2963.5,463.04,1374.28,796.6,468.08,245.46,650.91,209.04,655.54,2281.93,3212.06,2759.8,2278.76,3462.18,2174.06,2079.15
"K03312",1618.71,586.88,1557.7,1841.87,2295.07,1116.3,5621.35,1594.04,6164.92,4945.17,5624.89,964.97,670.01,2638.49,401.4,748.83,660.25,282.55,234.83,488.07,194,523.47,1538.64,2107.66,1770.66,1761.71,2413.87,2217.25,1657.29
"K03313",1402.55,588.97,1497.25,1389.25,1910.84,912.39,5627.54,1042.4,3631.76,4569.76,4222.49,1058.02,676.36,2781.79,332.99,797.44,589.32,337.86,255.12,402.68,176.47,440.1,988.07,2052.72,1520.19,1393.26,1943.82,1562.09,1329.23
"K03314",2416.83,560.75,1772.95,1200.5,1605.85,1051.75,5529.1,642.91,3411.92,4416.14,3858.94,951.8,658.1,2631.62,281.33,700.22,457.16,268.49,233.83,376.15,150,386.35,2426.98,1659.14,1706.72,1183.96,1584.72,1550.46,1196.41
"K03315",1292.78,430.04,1454.19,2227.11,3154.28,1075.61,5625.18,1987.6,11227.16,5620.56,2790.39,1006.51,173.99,153.66,298.07,1083.35,792.95,337.74,143.34,529.23,189.87,484.67,2092.85,2578.45,2632.1,2211.37,2869.86,1864.79,1595.18
"K03316",1943.54,711.88,1457.61,1645.18,2995.35,1429.44,545.83,981.08,952.94,739.58,5648.5,1597.12,677.35,2664.1,505.72,1584.53,964.54,614.95,123.29,712.41,181.41,755.48,1540.15,3377.75,2395.91,1845.94,3077.09,2144.63,1860.88
"K03317",1698.77,618.66,1507.27,1665.61,1973.43,1432.31,5540.36,1306.17,3599,4694.87,6486.37,1087.22,1100.66,4333.83,453.36,939,755.79,354.3,280.86,591.6,238.95,659.12,1206.29,2158.48,1936,1500.5,2621.54,2237,1611.2
"K03319",977.41,435.92,1117.04,993.28,1251.72,644.25,360.69,574.4,688.92,444.08,3653,741.12,598.22,2583.61,248.65,658.48,428.75,240.08,107.2,386.49,122.49,347.01,766.33,1429.22,1067.78,871.91,1376.17,1163.8,902.59
"K03320",7483.14,1873.66,5807.77,5933.97,5825.27,4613.36,6236.29,2956.82,4942.2,5816.61,12089.88,5040.85,1352.68,8220.14,1364.79,3126.28,2170.17,1108.84,653.79,2080.66,981.86,2198.32,7176.01,8014.87,8034.82,6141.17,7169.91,5903.81,4474.41
"K03321",6407.35,1615.64,4281.05,3652.53,4866.97,3687.83,11371.16,2594.26,7371.67,9374.76,10569.34,3576.33,1400.29,5534.76,1043.5,2424.69,1525.18,873.01,572.22,1389.95,843.59,1540.92,6072.97,6126.78,6340.33,4789.44,5434.22,4370.36,3514.24
"K03322",1280.44,522.99,1293.64,1154.16,1888.44,891.55,447.05,721.43,749.56,554.98,3670.91,932.41,617.2,2647.74,337.41,1148.6,644.44,385.5,115.07,435.05,165.59,511.7,985.42,2051.73,1601.78,1300.97,1825.99,1241.12,1083.24
"K03324",2862.75,781.22,2580.14,2317.97,3283.16,1853.5,555.32,1830.06,6426.6,1491.1,3925.21,1386.87,701.86,2600.56,359.07,888.91,537.55,337.71,152.62,511.12,351.96,470.18,3698.87,3145.79,3747.59,2766.53,3078.62,1647.97,1737.55
"K03325",3410.76,901.91,3526.51,3654.09,2731.32,1891.46,5569.93,1451.61,3887.94,4898.93,4761.23,2421.03,626.83,5451.87,592.57,1216.96,927.46,469.02,472,895.3,529.83,851.28,3354.54,3564.51,3708.88,3022.57,3232.09,2610.29,2163.19
"K03326",970.81,452.27,1125.19,964.48,1483.81,643.85,218.77,522.99,539.2,436.22,3484.01,679.39,590.35,2559.45,247.81,618.98,403.91,219.65,107.23,261.65,124.66,355.85,610.72,1568.18,1064.53,861.09,1332.97,1251.28,976.49
"K03327",6108.43,1518.34,4223.66,3366.2,4634.95,3381.12,11134.09,2016.53,7346.95,9327.14,10155.72,3056.66,1446.05,5683.42,906.24,2019.2,1309.75,763.14,539.45,1293.12,642.71,1386.93,5790.85,5486.32,5657.17,4064.79,4995.17,4166.87,3185.72
"K03328",922.39,267.81,347.1,603.25,1395.7,623.63,5259.67,400.16,3144.67,4188.75,1391.94,593.33,44.42,81.5,178.9,741.42,456.21,214.77,137.96,258.35,72.06,280.5,447.69,1318.04,1303.95,875.02,1737.75,813.48,813.34
"K03329",102.96,46.92,31.92,83.58,357.95,62.64,23.42,41.58,12.95,22.58,213.25,63.13,3,4,17.15,33.5,21.17,20.58,2.4,7,1,33.67,41.68,289.78,147,98.23,180.52,155.33,149.26
"K03330",413.33,106.65,220.65,428.66,466.68,376.48,61.83,590.82,71.67,206.83,1971.5,709.33,20.33,110.5,333.16,341.66,498.66,172.5,9,405.5,46,495.17,697.99,981.99,783.15,776.66,980.65,520.31,742.33
"K03332",55,19.5,75.2,62.6,127.5,58,11,41.3,22,39,303.5,93,69.5,227.7,13.5,50,37.5,15.6,5,24.9,10.6,16,41,111.5,76,67.6,130.75,69.5,46
"K03333",347.24,99.2,115.28,217.02,739.56,255.86,46.02,150.97,33.93,88.2,553.79,504.51,76.66,24.54,53.75,175.88,153.32,87.93,13,75.27,30.25,106.45,298,686.08,644.18,396.45,533.07,233.61,336.32
"K03335",937.22,426.82,1154.92,963.03,1120.44,623.33,376.37,647.48,543.04,456.03,3339.01,945.53,625.5,2615.19,257.29,866.07,525.91,319.06,106.28,314.58,125.88,404.27,790.07,1495.95,1213.54,901.36,1193.3,816.43,786.92
"K03336",827.34,404.36,1089.03,808.51,878.7,457.63,350.34,459.31,526.98,403.13,2454.99,747,617.19,2564.46,183.68,712.13,412.81,248.84,103.22,237.06,122.25,282.6,540.6,1295.72,919.14,749.7,939.62,615.04,645.4
"K03337",781.09,384.36,1089.36,799.59,869.79,446.46,340.76,461.64,522.56,389.21,2350.24,733.75,601.86,2566.29,194.68,687.8,396.48,249.5,104.22,233.73,99.25,279.43,532.85,1184.23,894.97,719.2,910.7,590.63,637.65
"K03338",787.09,387.37,1088.02,801.91,873.29,447.8,346.09,455.31,520.73,396.38,2366.07,734.59,616.19,2563.46,178.68,677.8,405.48,247.17,103.22,230.06,99.58,267.6,513.51,1243.73,894.46,724.36,911.21,599.46,629.15
"K03339",194.58,36.16,37.11,60.45,163.77,89.25,5.75,69.17,164,28.03,178.92,117.86,0.33,2,18.16,65.75,40.34,27.17,0.5,43.42,6.58,25,107.75,239.75,182.83,170.87,313.74,69.41,101.41
"K03340",18.22,5.67,1.22,5.44,48.78,3.78,2,6.3,2,4,25.11,10.89,0,0,1,10.89,4,4.21,0,0.4,0.21,2,8.22,14.89,19.44,27.33,11.78,7.22,4.11
"K03341",0,0,0,0,0,2.5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"K03342",290.53,81.36,149.54,183.09,440.25,282.33,36.69,472.16,56.75,103,678,216.25,82.17,255.78,40.58,165.25,87.91,63,23.5,110.75,21.83,114,315.75,527,301.92,308.85,391.29,228.99,199.67
"K03343",59.16,18,24.5,51.25,82.75,56.42,15.25,23,3.25,9.75,126.5,98.33,1,13,9,70.75,20.25,11,3,24,1,17.25,67,105.41,80.75,53.58,94.75,51.24,45.58
"K03346",647.48,190.19,284.61,478.82,906.17,613.92,118.8,399.13,286.6,258.05,1232.53,600.78,87.83,276.44,104.82,593.1,244.3,167.53,17.67,206.9,46.11,219.33,436.25,1217.78,1142.86,687.94,1315.15,525.66,539.09
"K03366",750.13,396.96,1219.62,1159.36,1585.69,539.25,288.93,841.71,3146.25,726.82,2281.38,513.97,172.48,946.81,249.67,747.49,427.18,327.69,62.07,319.04,79.08,296.96,1113.19,1563.11,1185.69,938.82,1328.33,923.29,885.65
"K03367",555.53,132.19,228.64,372.97,829.19,418.75,110.7,314.83,249.5,216.95,1373.33,579.61,89.69,291.77,109.32,690.17,254.25,176.58,11.25,235.25,16.19,235.33,549.25,963.91,754.41,510.22,786.95,465.66,436.91
"K03379",182.99,29.99,34,43,313.51,73.5,15.99,32,20,38.01,168.02,102.01,20,10.01,20,109,21,9,4,24.01,4,47,75,226,198.01,109,165.98,62.99,94.01
"K03380",58.66,18,40,35,81,170.67,12.25,19,2.25,8.75,119.25,92.33,1,11,13,38,16,8,12,13,6,38,62,117.66,85,123.33,92,50.24,44.33
"K03381",407.18,253.66,807.47,416.81,384.49,247.13,132.32,154.44,226.94,175.49,1118.4,242.28,152.04,892.78,85.75,358.16,139.02,86.55,72,92.29,98.63,129.28,160.73,434.33,303.04,395.66,338.89,251.22,260.59
"K03382",1.33,0,0,0,1,0,0,1,0.33,0.33,0,1.33,0,0,0,0,0,0,0,0,0,0,0.33,1.67,1.67,0,1.67,0.67,0
