"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ25","MGJ26","MGJ27","MGJ28","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K09152",316.83,88.65,196.15,383.66,393.18,302.98,46.33,561.32,66.67,184.83,1745.5,592.83,15.33,85,315.66,300.66,457.16,149,9,383.5,41,431.67,578.49,820.49,664.15,672.66,800.15,441.31,656.83
"K09153",394.16,116.16,274.53,511.93,652.83,397.94,65.02,630.52,76.08,210.78,2073.16,709,101.17,310.78,330.17,379.22,489.33,177.1,17,395.18,33.26,388.92,563.17,865.42,785.52,752.54,1040.63,496.83,627.78
"K09154",419.83,149.15,536.65,876.16,1009.18,427.48,159.83,1040.82,2797.17,620.83,2006.5,747.33,57.33,121,339.66,322.16,487.16,174,9,424.5,49,485.17,1162.49,1144.99,1051.65,1128.66,1239.65,639.31,864.33
"K09155",367.96,108.32,264.51,473.54,557.34,375.12,61.9,576.46,88.84,271,2134.86,673.78,84,272.86,278.25,184.73,341.5,130.87,10,371.31,28.71,363.5,779.63,984.3,792.03,739.27,973.22,485.33,670.9
"K09156",165.66,26.31,119.31,84.66,161.01,53.81,15.66,90.32,13.67,52.67,484.33,89.99,3.33,30,68.67,390.32,346.32,73,3,39.01,23.66,161.01,79,214.66,212.32,180.66,128.97,299.64,85.33
"K09157",332.67,102.19,190.66,191.62,412.71,306.68,76.45,164.7,53.34,138.16,1038.36,327.72,80.08,272.03,112.82,278.06,207.33,139.29,7.5,145.81,25.38,206.5,464.62,809.21,503.34,331.34,647.15,394.86,351.86
"K09158",2861.4,730.95,2083.48,1616.6,1986.94,1629.42,5664.27,964.82,3791.92,4640.31,5008.97,1491.3,687.53,2793.65,541.41,1040.39,718.16,394.91,287.12,706.57,379.72,794.55,2829.32,2340.47,2540.12,2027.21,1937.39,2129.49,1455.36
"K09159",2890.06,704.78,1886.48,1600.27,2047.61,1669.42,5624.6,970.82,3454.25,4546.81,5043.48,1497.8,671.53,2682.32,552.41,1079.89,712.16,390.91,273.12,714.24,393.72,818.38,2848.65,2332.14,2580.96,1961.21,1920.72,2064.49,1508.7
"K09160",2760.06,684.78,1848.48,1566.93,1991.94,1262.25,5560.6,968.82,3448.25,4498.81,4925.48,1391.13,672.53,2687.32,526.41,1060.22,655.16,379.24,261.12,702.24,387.72,776.05,2763.98,2229.47,2427.29,1809.21,1900.72,2016.57,1486.78
"K09161",883,413.75,1110.28,939.67,1219.69,598.42,360.94,513.57,532.92,430.31,3397.77,680.3,593.86,2564.78,237.99,717.72,409.49,218.66,106.79,304.32,119.47,362.01,609.32,1339.47,936.72,788.96,1157.72,1095.79,857.91
"K09162",790.77,237.74,334.82,505.8,966.49,615.11,103.2,460.44,262.19,261.16,1190.62,785.86,43.91,71.67,155.33,427.48,389.88,183.96,20.5,230.01,72.11,243.92,683.09,1381.11,1496.47,1041.61,1581.58,606.56,671.71
"K09163",252.88,70.5,160.05,352.94,329.78,256.61,40.66,522.5,56,161.5,1625.94,520.72,15,67,285.17,266.72,423.33,133.11,8,351,39.44,379.67,445.06,665.89,547.27,615.66,713.44,356.05,522.28
"K09164",277.81,115.83,292.74,210.08,383.32,156.2,70.1,145.22,363.34,154.78,493,256.16,36.33,173.67,61.17,226.38,184.66,61.34,20,65.69,27.33,120.42,176.34,477.73,243.44,330.85,346.89,321.88,195.61
"K09165",330.63,75.5,136.38,207.69,467.85,220.72,34.52,156.22,25.09,105.7,698.36,368.14,42.33,45.67,101.67,225.27,301.99,119.45,6,61.61,22.44,121.17,296.64,637.55,561.55,401.77,498.42,282.29,297.47
"K09166",194.33,34.16,124.49,137,252.49,86.33,21.99,107.5,14.34,74.01,593.83,157.33,23.83,45.67,86.84,291.49,274.99,84.34,4,87.67,27.16,159.34,235.84,376.33,304.67,239.84,264.41,267.82,125.34
"K09167",580.89,176.99,231.29,407.57,861.06,572.92,66.36,301.17,227.29,175.82,1077.32,567.44,35.66,47.67,154.33,455.86,410.18,221.71,14.5,198.67,30.11,228.67,440.17,1160.64,1113.65,666.14,1202.64,501.39,549.28
"K09181",1568.66,596.41,1358.11,1514.67,1921.86,1360.25,5540.43,961.07,3287.92,4536.65,5164.61,1412.8,639.53,2740.62,577.83,1142.72,793.99,441.16,271.12,801.66,364.8,934.85,1428.49,2427.97,2185.39,1889.96,1891.21,1982.45,1461.75
"K09190",161.66,65.33,85.66,138.67,274,298.5,19.33,123.97,44.67,69,365,130,3,24,49.67,171.33,150.33,51.1,7,77.07,23.43,114.67,73.67,361,482.33,225.67,446.58,163.83,157.67
"K09251",539.59,306.47,863.73,568.8,801.22,264.37,180.66,284.84,245.56,222.75,1625.25,415.21,137.65,914.32,141.73,414.39,204.69,157.16,64.73,193.04,52.35,202.91,452.97,931.58,621.74,472.72,627.62,507.87,497.26
"K09252",51.73,6.53,13.2,16.1,98.08,144.28,4.44,1.97,3,2.78,52.54,39.01,0,1.37,2.75,15.22,1,2.58,11,2.2,24.25,31.2,39,61.5,89.51,120.52,53.88,29.11,51.98
"K09384",152.21,58,54.3,144.85,334.64,240.69,63.04,90.39,20.77,77.38,542.45,72.84,20.83,6.67,103,304.9,197.38,170.44,1,107.94,12.6,139.92,126.5,618.45,308.39,101.66,410.01,360.34,236.63
"K09386",210.66,45.5,45,90,173,261,17,52,11.33,40.83,302.5,89.83,2,33,35,127.5,24,13,11,15.33,30,81.5,169,221.67,291.17,249.33,168.67,72.67,80.67
"K09388",112.83,62,53.83,119.67,219.5,287.67,13,83.17,38.17,44.16,242.17,102.67,2,5,26,66,40,30.5,4,62,6,49,37.33,266.33,449.33,133.34,417.92,89,106.17
"K09456",941.22,448.11,1127.06,907.46,1485.28,717.66,378.37,520.27,527.93,430.92,2727.82,786.5,645.76,2556.13,220.33,636.79,419.48,265.31,120.83,227.17,116,322.1,693.31,1540.96,1245.14,995.71,1190.25,832.64,892.08
"K09457",1714.64,706.69,2649.53,3236.06,2211.84,1346.08,348.04,1542.88,839.6,796.29,3007.21,1784.94,527.83,5194.7,419.24,980.93,522.55,323.7,332,726.15,473.28,647.83,1199.58,3080.78,2823.7,2296.43,2822.9,1719.15,1682.94
