"","MGJ1","MGJ10","MGJ11","MGJ12","MGJ13","MGJ14","MGJ15","MGJ16","MGJ17","MGJ18","MGJ19","MGJ2","MGJ20","MGJ21","MGJ22","MGJ23","MGJ24","MGJ29","MGJ3","MGJ4","MGJ5","MGJ6","MGJ7","MGJ8","MGJ9"
"K02086",0.000155755292323144,0.000132206477138073,0.000143781452192667,0.000114078385763017,9.01502858294357e-05,7.44140636627197e-05,0.000849113412959377,4.41701315680986e-05,0.000505912405898511,0.000535115671293979,5.39760076645931e-05,2.27083834810135e-05,0.000164416660411685,0.000211143828893606,6.27615062761506e-05,1.70166836428344e-05,2.11782360344661e-05,8.90659652227094e-06,0.000205427190734255,5.26669489615131e-05,7.04309289297749e-05,8.29906392282443e-05,5.86728207936477e-05,6.57896540286569e-05,9.52671290297996e-05
"K02081",9.13048265342568e-05,4.89653619029898e-05,2.13009558803951e-05,7.23423909716696e-05,8.48473278394689e-05,0.000127992189499878,8.66442258121813e-06,7.36168859468309e-05,2.1376580530923e-05,2.07141550178314e-05,0.000168675023951853,0.000120354432449372,1.07228256790229e-05,8.5598849551462e-06,0.000153417015341702,0.00027469789309147,0.0001512731145319,0.000258291299145857,8.80402246003952e-05,8.4267118338421e-05,9.21019839850903e-05,8.29906392282443e-05,8.06751285912656e-05,0.000117873130134677,5.44383594455997e-05
"K02080",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K02083",8.05630822361089e-06,7.34480428544847e-06,2.13009558803951e-05,2.78239965275652e-05,3.9772184924751e-05,8.92968763952637e-06,8.66442258121813e-06,3.53361052544789e-05,0.000171012644247384,3.10712325267472e-05,0,9.08335339240541e-06,1.78713761317049e-05,3.99461297906823e-05,6.97350069735007e-06,7.2928644183576e-06,6.05092458127602e-06,8.90659652227094e-06,4.23897377705607e-05,1.47467457092237e-05,2.16710550553154e-05,2.57557156225586e-05,2.68917095304219e-05,2.46711202607463e-05,2.17753437782399e-05
"K02082",0.000131586367652311,2.69309490466444e-05,5.05897702159384e-05,4.45183944441044e-05,6.6286974874585e-05,6.25078134766846e-05,4.33221129060907e-05,0.000103063640325563,0.000228016858996512,5.86901058838557e-05,1.34940019161483e-05,1.81667067848108e-05,0.000185862311769731,0,8.71687587168759e-05,6.077387015298e-05,3.63055474876561e-05,8.90659652227094e-06,0.00019238419449716,2.73868134599868e-05,9.21019839850903e-05,0.00016025778609592,3.91152138624318e-05,4.93422405214927e-05,3.26630156673598e-05
"K13831",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K03428",0,0,2.66261948504939e-06,0,0,0,0,0,0,0,0,0,0,2.85329498504873e-06,0,0,0,0,0,0,0,0,0,0,0
"K03429",0.000217520322037494,0.000237482005229501,0.000340815294086322,0.000189203176387444,0.000127270991759203,0.000101203126581299,0.00087943889199364,0.000150178447331535,0.000612795308553126,0.000573091622160003,4.38555062274819e-05,6.13126353987365e-05,0.000246624990617528,0.000296742678445068,8.71687587168759e-05,9.23762826325296e-05,4.53819343595701e-05,3.85952515965074e-05,0.000224991685089899,6.95203726291973e-05,9.75197477489192e-05,0.000111608101031087,8.80092311904715e-05,0.000109649423381095,0.000127930144697159
"K03424",0.000985555039355066,0.000910755731395611,0.000814761562425114,0.000873673490965548,0.000954532438194025,0.00111323439239429,0.000992076385549476,0.000948185490995182,0.000880002565189664,0.000973565285838077,0.00128867718299216,0.00102641893334181,0.000818509026832084,0.000761829761008012,0.00120990237099024,0.00100884624453947,0.00123136315228967,0.00132114515080352,0.00110539393109385,0.000975391894767223,0.000972488595607277,0.000955823224214951,0.00101699556042323,0.00106085817121209,0.000998943895826755
"K03935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K03932",2.68543607453696e-06,0,2.66261948504939e-06,8.34719895826957e-06,5.3029579899668e-06,1.78593752790527e-05,0,5.88935087574648e-06,0,0,2.36145033532595e-05,9.08335339240541e-06,3.57427522634098e-06,2.85329498504873e-06,6.97350069735007e-06,2.4309548061192e-06,1.2101849162552e-05,1.78131930445419e-05,1.95644943556434e-05,1.26400677507631e-05,2.70888188191442e-06,5.72349236056857e-06,9.77880346560795e-06,5.48247116905474e-06,0
"K03933",5.37087214907393e-06,7.34480428544847e-06,1.59757169102963e-05,1.94767975692957e-05,3.44692269347842e-05,8.92968763952637e-06,8.66442258121813e-06,2.94467543787324e-05,0.000174575407669205,3.10712325267472e-05,0,4.5416766962027e-06,1.42971009053639e-05,0,0,0,3.02546229063801e-06,0,3.91289887112868e-05,1.26400677507631e-05,1.35444094095721e-05,2.003222326199e-05,1.95576069312159e-05,1.37061779226368e-05,1.90534258059599e-05
"K03930",0.000112788315130552,3.91722895223919e-05,4.52645312458397e-05,3.33887958330783e-05,4.77266219097012e-05,6.54843760231934e-05,1.29966338718272e-05,5.0059482443845e-05,0.000199514751621948,4.14283100356629e-05,6.74700095807414e-06,3.17917368734189e-05,2.50199265843868e-05,2.85329498504873e-06,1.39470013947001e-05,1.45857288367152e-05,9.07638687191403e-06,2.07820585519655e-05,0.000211948688852803,2.31734575430658e-05,5.41776376382884e-05,3.72027003436957e-05,3.91152138624318e-05,4.66010049369653e-05,2.99410976950799e-05
"K03931",3.49106689689805e-05,2.69309490466444e-05,1.59757169102963e-05,2.22591972220522e-05,4.24236639197344e-05,8.33437513022461e-05,4.33221129060907e-06,6.77275350710845e-05,3.5627634218205e-06,1.72617958481929e-05,0.000165301523472816,7.03959887911419e-05,3.57427522634098e-06,2.85329498504873e-06,0.000184797768479777,3.40333672856688e-05,0.000133120340788072,0.000151412140878606,9.78224717782169e-05,2.52801355015263e-05,5.41776376382884e-05,5.15114312451171e-05,5.37834190608437e-05,7.4013360782239e-05,6.53260313347197e-05
"K02339",8.05630822361089e-06,2.69309490466444e-05,5.32523897009878e-06,1.66943979165391e-05,2.38633109548506e-05,5.95312509301758e-06,4.33221129060907e-06,5.88935087574648e-06,2.49393439527435e-05,6.90471833927714e-06,1.68675023951853e-05,4.5416766962027e-06,3.57427522634098e-06,5.70658997009747e-06,6.97350069735007e-06,4.8619096122384e-06,9.07638687191403e-06,0,9.78224717782169e-06,8.4267118338421e-06,1.62532912914865e-05,1.14469847211371e-05,7.33410259920596e-06,1.37061779226368e-05,1.63315078336799e-05
"K02338",0.00084054149133007,0.00086668690568292,0.000854700854700855,0.000820807897563174,0.000808701093469938,0.000839390638115479,0.00115236820330201,0.000856900552421112,0.00085506322123692,0.000928684616632776,0.000836628118801193,0.000792522583487372,0.0009507572102067,0.000907347805245498,0.000829846582984658,0.000773043628345905,0.000813849356181625,0.00078971822497469,0.000808665766699926,0.000832137793591907,0.000799120155164754,0.000918620523871256,0.000816530089378264,0.000794958319512937,0.000822019227628556
"K02337",0.000800259950212015,0.000837307688541126,0.000849375615730756,0.000787419101730096,0.000758322992565253,0.000803671887557373,0.00097474754038704,0.000789173017350028,0.000837249404127818,0.000901065743275667,0.000765784608741414,0.000751647493221548,0.000786340549795015,0.000907347805245498,0.000767085076708508,0.000590722017886965,0.000756365572659502,0.000706589990766828,0.000802144268581378,0.000806857658090381,0.000788284627637096,0.000798427184299316,0.000796972482447048,0.000764804728083136,0.000816575391683996
"K02336",0,9.79307238059796e-06,2.66261948504939e-06,5.56479930551305e-06,1.3257394974917e-05,5.95312509301758e-06,0,0,3.5627634218205e-06,0,0,0,0,0,0,0,0,0,0,4.21335591692105e-06,0,2.86174618028429e-06,0,5.48247116905474e-06,1.36095898613999e-05
"K02335",0.000821743438808311,0.000780997522352688,0.000769497031179274,0.0007679423041608,0.00078748926151007,0.000842367200661987,0.000979079751677649,0.000798007043663647,0.000840812167549638,0.000911422820784583,0.000809640114968896,0.00080614761357598,0.000782766274568674,0.000756123171037915,0.000788005578800558,0.000794922221600978,0.000822925743053539,0.000801593687004385,0.000818448013877748,0.000811071014007302,0.000799120155164754,0.000798427184299316,0.000833642995443078,0.00079221708392841,0.000800243883850316
"K02334",0.000308825148571751,0.000548412053313486,0.000801448464999867,0.000692817513536374,0.000456054387137145,0.000315515629929932,0.000502536509710652,0.000412254561302253,0.000502349642476691,0.000376307149490604,0.000155181022035705,0.000279313116816466,0.000957905760659382,0.000941587345066082,0.000216178521617852,0.000238233570999682,0.000154298576822538,0.000184069661460266,0.000257599175682638,0.000294934914184473,0.000406332282287163,0.0004006444652398,0.000352036924761886,0.000353619390404031,0.000435506875564798
"K02330",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K03688",0.000252430991006475,0.000186068375231361,8.25412040365311e-05,0.000172508778470904,0.000262496420503357,0.000229195316081177,5.19865354873088e-05,0.000329803649041803,0.000128259483185538,0.000172617958481929,0.000161928022993779,0.000372417489088622,2.50199265843868e-05,1.42664749252437e-05,0.000163877266387727,0.000369505130530118,0.000269266143866783,0.000273135626682976,0.000202166441674982,0.000398162134149039,0.00030610365265633,0.00030048334892985,0.000349592223895484,0.000298794678713483,0.000269469879255719
"K03689",0,0,0,0,0,0,0,0,0,0,0,0,0,2.85329498504873e-06,0,0,0,0,0,0,0,0,0,0,0
"K03680",1.07417442981479e-05,2.44826809514949e-06,0,8.34719895826957e-06,5.3029579899668e-06,8.92968763952637e-06,0,2.94467543787324e-06,0,3.45235916963857e-06,0,4.5416766962027e-06,0,0,0,0,0,0,3.2607490592739e-06,4.21335591692105e-06,1.35444094095721e-05,1.14469847211371e-05,2.44470086640199e-06,2.74123558452737e-06,2.72191797227999e-06
"K03683",0,9.79307238059796e-06,2.66261948504939e-06,8.34719895826957e-06,1.59088739699004e-05,0,0,2.94467543787324e-06,2.1376580530923e-05,0,0,0,0,0,0,0,3.02546229063801e-06,0,0,0,0,2.86174618028429e-06,0,0,2.72191797227999e-06
"K03684",3.75961050435175e-05,5.63101661884383e-05,2.39635753654445e-05,2.78239965275652e-05,8.21958488444855e-05,4.76250007441406e-05,1.73288451624363e-05,2.65020789408591e-05,3.5627634218205e-05,1.03570775089157e-05,1.01205014371112e-05,4.76876053101284e-05,1.07228256790229e-05,1.42664749252437e-05,2.09205020920502e-05,2.67405028673112e-05,5.44583212314842e-05,7.71905031930149e-05,9.78224717782169e-06,6.74136946707368e-05,3.79243463468019e-05,6.86819083268229e-05,9.04539320568735e-05,3.28948270143284e-05,5.98821953901597e-05
"K03685",0.000808316258435626,0.000773652718067239,0.000758846553239077,0.000762377504855287,0.000792792219500037,0.000833437513022461,0.00097474754038704,0.000783283666474281,0.000833686640705997,0.000907970461614945,0.000816387115926971,0.000794793421835473,0.000782766274568674,0.000747563286082768,0.000781032078103208,0.000775474583152025,0.000819900280762901,0.00078971822497469,0.000805405017640652,0.000808964336048841,0.000788284627637096,0.000792703691938747,0.000826308892843872,0.000783993377174828,0.000805687719794876
"K03686",0.00159514902827496,0.00136368532899827,0.00119817876827223,0.00133276943367037,0.00140793534633619,0.0014555390852428,0.00106572397748983,0.00154595460488345,0.0011650236389353,0.00144308613290892,0.00115373716383068,0.00179169145665197,0.00115806517333448,0.00118697071378027,0.00117154811715481,0.00160929208165091,0.00143406912576242,0.00127364330268474,0.00127495288217609,0.00191707694219908,0.00158198701903802,0.0015482046835338,0.0017284035125462,0.00151042080707458,0.00147527954097575
"K03687",0.00063644834966526,0.000680618530451559,0.000729557738903533,0.000706729511800157,0.000721202286635485,0.000717351573708618,0.000966083117805822,0.000612492491077633,0.00078380795280051,0.000776780813168679,0.000786025611615637,0.000585876293810149,0.000782766274568674,0.00074470999109772,0.000749651324965133,0.000700114984162329,0.00071400910059057,0.000736278645841065,0.000697800298684614,0.000543522913282815,0.000642005006013718,0.000629584159662543,0.000635622225264517,0.000644190362363932,0.000683201411042277
"K07301",0.000469951313043969,0.000695308139022455,0.000740208216843731,0.000612127923606435,0.000453402908142162,0.000422671881604248,5.63187467779178e-05,0.000421088587615873,0.000299272127432922,0.000303807606928194,0.000374458553173115,0.000433730124487358,0.000457507228971645,0.000830308840649182,0.000327754532775453,0.000367074175723999,0.000405411946945493,0.000329544071324025,0.000335857153105211,0.000558269658992039,0.000425294455460564,0.00042067668850179,0.000457159062017172,0.000435856457939852,0.000536217840539158
"K07300",2.68543607453696e-06,1.71378766660464e-05,1.86383363953457e-05,1.66943979165391e-05,5.3029579899668e-06,0,4.33221129060907e-06,0,7.125526843641e-06,0,0,0,3.57427522634098e-06,8.5598849551462e-06,0,2.4309548061192e-06,0,0,0,0,0,5.72349236056857e-06,2.44470086640199e-06,5.48247116905474e-06,5.44383594455997e-06
"K07303",0,2.44826809514949e-06,5.32523897009878e-06,0,0,0,0,0,0,0,0,2.27083834810135e-06,0,0,0,0,6.05092458127602e-06,0,0,0,0,0,0,0,2.72191797227999e-06
"K07302",0,2.44826809514949e-06,2.66261948504939e-06,0,2.6514789949834e-06,0,0,0,0,0,0,2.27083834810135e-06,0,0,0,0,6.05092458127602e-06,0,0,0,0,0,0,0,2.72191797227999e-06
"K07305",3.75961050435175e-05,4.40688257126908e-05,5.05897702159384e-05,6.12127923606435e-05,0.000103407680804353,2.97656254650879e-05,0.000853445624249986,3.82807806923521e-05,0.000484535825367588,0.000524758593785063,2.02410028742224e-05,9.08335339240541e-06,0.000160842385185344,7.70389645963158e-05,4.18410041841004e-05,9.7238192244768e-06,2.42036983251041e-05,2.96886550742365e-06,5.54327340076562e-05,1.89601016261447e-05,2.43799369372298e-05,5.72349236056857e-05,5.37834190608437e-05,4.38597693524379e-05,6.80479493069997e-05
"K07304",0.000268543607453696,0.000200757983802258,0.000199696461378704,0.000183638377081931,0.00024128458854349,0.000250031253906738,0.000896767737156077,0.000147233771893662,0.000552228330382178,0.00057999634049928,0.000280000539760077,0.000145333654278487,0.000185862311769731,0.000313862448355361,0.000303347280334728,0.00015071919797939,0.000251113370122955,0.000222664913056774,0.000329335654986664,0.000139040745258395,0.000189621731734009,0.000188875247898763,0.000215133676243375,0.000194627726501443,0.000247694535477479
