"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K01817",1027.3,1475.14,592.7,560.38,861.53,2373.28,758.08,418.26,692.33,1445.7,488.57,1858.57
"K01818",23.58,443.57,65.17,741.08,31.33,74.91,77.92,83.24,223.16,395.5,62.33,337.33
"K01819",34,28,22,72,80,64,16,31,24,18,97,27
"K01820",688.9,138.2,333.6,117.4,396.6,1669.2,29,25.2,577,251.1,27.7,495.2
"K01821",974.46,896.47,478,1003.63,591.49,2156.83,329.1,505.99,899.76,728.19,490.64,1188.97
"K01822",24,162,10,15,19,314,5,19,1,291,18,98
"K01823",989.82,708.37,510.3,568.35,598.18,2208.71,194.74,524.43,691.99,1081.39,572.99,996.23
"K01825",266.23,654.11,132.73,878.56,114.56,214.46,297.93,416.12,306.43,555.09,166.27,505.78
"K01826",274.55,248.4,96.66,137.04,73.16,115.41,250.51,310.4,79.1,181.69,140.47,140.66
"K01829",0,0,0,0,1,0,0,3,0,2,0,0
"K01834",1125.63,1191.97,566.33,1078.29,750.81,2251.64,1000.76,668.35,931.76,1413.69,692.15,1397.83
"K01835",404.13,1106.81,236.33,1070.96,284.49,699.13,351.93,683.52,345.43,1349.69,613.31,1736.65
"K01838",48.33,63.65,56.17,32.83,31.33,28.66,17.67,90.32,11.66,32,165.01,126.33
"K01839",427.23,815.61,194.23,938.06,198.89,317.13,309.93,461.12,329.43,835.09,359.78,591.45
"K01840",1798.03,1464.39,927.68,1267.95,1030.47,4289.29,458.83,693.72,1541.6,1732.37,478.26,1905.36
"K01841",5.29,25.15,6.27,16.28,4.29,14.27,4.7,12.58,2.13,20.57,24.98,14.28
"K01843",123.29,800.65,55.27,67.28,82.62,115.94,17.2,90.58,20.13,444.24,177.98,115.95
"K01845",1822.53,2240.75,976.93,1473.77,1243.42,4174.24,440.34,895.55,1564.09,2091.79,753.67,2857.02
"K01846",15.75,7.75,7.5,84.25,3,29.41,1.75,20.25,1.5,55,13.5,10
"K01847",1472.58,1030.57,806.17,280.08,1061.33,4065.51,786.92,155.64,1208.16,1248.5,433.33,1334.33
"K01848",1358,242.83,670,262.83,799,3347.49,58.83,143,1164.33,112,56,1060
"K01849",687.5,134.58,346,139.08,411,1676.91,37.58,76,588.33,65.5,46.5,570.5
"K01854",402.19,223.43,34.62,57.67,53.99,357.53,61.96,207.59,9.61,550.44,163.65,213.68
"K01856",220.83,146.93,46.92,80.63,51.44,85.88,89.34,267.33,45.41,119.42,14.03,117.35
"K01857",884.02,1046.78,419.79,1585.31,489.83,1807.85,193.04,431.61,1061.04,1096.59,110.21,1268.33
"K01858",1402.4,431.11,714.6,353.48,843.6,3657.58,74.08,146.73,1174.33,543.6,122.2,1184.2
"K01865",1,151,3,0,6,48,4,6,0,283,5,1
"K01866",1271.13,2168.72,734.33,1389.04,935.82,2527.21,1056.01,910.85,1012.76,1843.19,784.98,2441.82
"K01867",1509.45,2270.6,774.72,1482.35,981.05,2627.76,1291.85,1191.06,1076.2,1980.78,869.42,2556.95
"K01868",1960.46,2393.05,1082,1543.05,1347.15,4261.71,1119.34,1045.19,1617.43,1976.35,783.48,3000.32
"K01869",1251.13,2233.97,719.33,1425.79,925.49,2581.62,1057.76,912.85,1006.76,2177.69,769.31,2432.65
"K01870",1249.13,2079.22,715.33,1375.04,922.82,2518.71,1078.01,894.85,1003.76,1829.69,759.31,2425.82
"K01872",1281.63,2189.3,733.33,1446.12,965.82,2548.12,1067.59,962.85,1020.09,1979.69,911.81,2478.32
"K01873",1249.13,2077.72,716.33,1375.04,926.49,2518.04,1053.01,895.85,1004.76,1832.69,759.31,2426.65
"K01874",1251.13,2089.22,716.33,1385.04,925.82,2524.71,1054.51,896.85,1005.76,1913.69,770.31,2426.32
"K01875",1249.13,2075.72,715.33,1375.04,920.49,2518.04,1053.01,894.85,1003.76,1828.69,759.31,2425.65
"K01876",1266.13,2089.72,726.33,1411.04,961.49,2550.04,1061.01,910.35,1015.76,1841.69,807.81,2439.15
"K01878",489.23,1712.11,328.73,1087.56,463.56,485.96,979.43,789.12,394.43,1157.59,654.61,1700.78
"K01879",489.23,1712.44,328.73,1087.89,463.56,486.29,979.76,790.12,394.76,1157.59,654.61,1706.78
"K01880",759.9,363.61,386.6,287.48,456.93,2032.08,73.58,105.73,609.33,671.1,104.7,724.87
"K01881",1253.13,2092.55,725.33,1375.37,930.82,2524.04,1055.34,897.85,1007.09,1841.69,760.31,2431.82
"K01883",1354.96,2302.55,799,1506.05,973.82,2673.54,1139.34,1253.19,1079.43,2047.35,770.98,2582.15
"K01884",17,0,6,1,0,0,1,1,0,0,2,0
"K01885",1315.53,2053.42,756.93,1373.44,969.76,2760.37,1691.01,864.25,1014.76,2027.79,506.17,2389.18
"K01886",306.23,1490.11,197.73,981.56,206.56,381.46,354.93,572.12,324.43,714.09,282.27,1503.78
"K01887",1919.63,2260.22,1041.33,1479.04,1323.82,4184.71,1076.01,922.85,1579.76,1872.19,784.81,2919.82
"K01889",1250.13,2093.72,715.33,1393.04,920.49,2519.04,1055.01,903.85,1003.76,2038.69,772.31,2428.65
"K01890",1249.13,2223.72,716.33,1375.04,926.49,2566.04,1054.01,901.85,1004.76,2072.69,759.31,2427.65
"K01892",1708.79,2331.41,812.67,1515.13,985.7,2683.3,1167.02,1340.51,1082.91,2056.03,780.87,2602.52
"K01893",301.23,1375.94,192.23,930.39,218.89,277.46,336.26,500.12,336.76,779.09,487.11,662.45
"K01894",317.23,857.11,197.73,929.56,246.56,226.46,946.93,483.12,315.43,616.09,273.27,564.78
"K01895",1886.63,2556.47,1080.83,1843.79,1397.15,4592.98,1109.76,1119.65,1602.76,2789.69,967.47,3077.99
"K01897",4956.85,4289.61,2628.07,3205.7,3397.37,12265.93,2735.59,1649.17,4210.78,3240.96,1208.58,6801.96
"K01902",1206.13,2072.39,682.83,1327.54,868.49,2474.24,1041.51,804.32,986.76,1909.69,577.47,2308.65
"K01903",1204.13,2058.39,682.83,1320.54,864.49,2474.24,1041.01,801.32,986.76,1817.69,570.47,2308.15
"K01904",0,0,1,3,1,2,0,8,0,8,0,5
"K01905",0,4.33,17,9,7,0,12,1.33,3,52.33,12,37
"K01906",2,10,0,10,5,2.8,1.5,3.2,0,86,7,0.5
"K01907",713,179.83,359,117.33,434,1948.83,36.33,36,586.33,72.5,76,651.67
"K01908",67.98,127.77,100.27,70.48,148.93,285.61,664.92,65.44,22.16,103.6,72.03,120.53
"K01909",1,151,3,0,6,48,4,6,0,283,5,1
"K01910",240.03,608.31,116.03,836.99,81.56,181.06,146.96,429.32,275.53,535.82,230.51,555.78
"K01911",314.63,940.39,168.83,968.54,168.49,547.04,330.51,439.52,319.76,1166.69,235.14,665.32
"K01912",1082.3,1811.97,536.16,346.12,627.16,2020.32,308.09,544.64,690.93,835.36,242.64,1747.66
"K01914",260.23,622.61,117.73,852.39,95.89,188.63,287.76,438.12,299.93,540.92,264.94,558.95
"K01915",3568.43,3329.28,1898.03,1904.17,2472.69,8361.07,2469.84,1208.78,2805.09,3670.89,1119.71,4351.05
"K01916",327.64,483.1,218.86,470.53,304.2,321.37,779.18,532.13,112.4,787.35,471.73,1226.87
"K01918",1181.13,2007.14,665.33,1168.29,849.49,2455.76,1034.76,757.72,965.76,1677.69,533.47,2250.65
"K01919",1078.73,1175.11,595.73,1071.56,758.56,2248.46,986.93,549.12,923.43,990.09,366.11,1167.28
"K01920",318.23,861.11,209.23,931.06,254.56,232.96,948.93,486.12,320.43,617.59,275.77,566.78
"K01921",1517.03,2296.42,814.39,1392.68,1000.38,2623.09,1314.52,1233.3,1086.36,1979.28,900.25,2604.78
"K01922",17,14,11,36,40,32,8,18,12,9,50.17,25.5
"K01923",1249.13,2074.72,715.33,1375.04,920.49,2518.04,1053.01,824.85,1003.76,1826.69,658.64,2333.65
"K01924",1249.13,2056.14,702.33,1239.29,918.49,2505.46,1050.76,871.52,1000.76,1777.69,749.31,2388.15
"K01925",1249.13,2054.14,700.33,1238.29,917.49,2503.46,1047.76,823.52,999.76,1777.69,746.31,2388.15
"K01926",894.9,343.03,445.1,217.23,572.93,2079.2,70.33,202.7,650.33,395.1,415.21,885.87
"K01928",1275.63,2070.14,727.33,1245.29,945.49,2510.46,1052.76,960.52,1009.76,1785.19,885.48,2482.15
"K01929",1249.13,2200.14,698.33,1238.29,905.49,2552.46,1048.76,880.52,997.76,2009.69,747.98,2387.15
"K01933",1242.13,2065.72,709.33,1364.04,918.49,2515.04,1050.01,811.85,988.76,1766.69,627.64,2327.65
"K01934",1224.13,1916.06,681.33,1369.71,861.49,2453.71,1039.68,881.52,985.43,1521.69,748.31,2404.65
"K01935",1255.46,1762.47,645.46,1975.87,700.45,2527.27,638.61,1033.64,1200.86,1725.68,487.54,2538.73
"K01937",1249.13,2079.72,716.33,1384.04,933.49,2515.24,1084.01,937.65,1010.76,1831.69,764.31,2451.65
"K01938",246.9,671.53,165.1,869.23,299.93,265.33,711.33,281.9,298.33,629.6,326.04,573.37
"K01939",1242.13,2071.72,712.33,1389.04,937.49,2522.04,1059.01,888.85,995.76,1781.69,753.31,2449.65
"K01940",1241.13,2068.72,702.83,1352.54,914.49,2515.54,1046.01,809.35,984.76,1763.19,594.14,2307.65
"K01941",45.65,82.39,21.56,79.1,44.41,293.67,161.43,100.09,33.19,73.25,103.16,143.42
"K01945",1242.13,2069.05,710.33,1374.37,927.49,2519.7,1052.34,813.85,990.09,1771.69,651.64,2334.65
"K01950",944.49,1635.78,528.47,1050.01,649.29,2326.5,282.33,473.38,896.36,1133.67,311.58,2123.78
"K01951",1538.67,2384.11,835.71,1674.6,1131.73,2699,2126.03,1315.21,1111.06,2297.3,927.11,2639.58
"K01952",2909.93,3816.61,1668.53,2079.67,2269.35,6757.27,2498.84,1241.91,2270.09,3781.89,1218.38,4777.39
"K01953",2536.73,2405.77,1353.23,1646.39,1681.88,6079.43,1099.76,942.15,2123.76,1755.26,846.11,3541.96
"K01955",1261.13,2183.72,724.33,1394.04,966.49,2535.04,1055.51,907.85,996.76,1975.69,894.31,2427.15
"K01956",1252.13,2173.72,722.33,1381.04,960.49,2527.04,1055.01,895.85,996.76,1878.69,887.31,2421.65
"K01958",31.4,289.7,18.1,44.9,57.93,330.67,19,52.9,8,686.6,178.87,121.37
"K01959",4,34.33,1,15,14,0,1,56.33,1,175,14,2
"K01960",4,35.33,3,18,16,0,5,8.33,1,192,18,14
"K01961",486.23,1829.44,329.73,1117.06,499.22,524.63,1007.93,808.12,398.76,1249.76,671.61,1651.12
"K01962",471.23,1717.44,320.73,1079.89,463.22,500.63,997.76,670.12,386.76,1091.59,521.61,1623.12
"K01963",1191.13,2011.14,681.33,1221.29,914.49,2493.96,1046.76,781.52,984.76,1451.69,611.31,2306.15
"K01964",0,0,2,1,0,0,0,0,2,0,0,1
"K01965",728.5,331,383,110,520,1988,674,66,605,386.5,58.5,575
"K01966",755.9,544.2,421.6,170.4,609.6,2023.8,714,160.6,624,852.1,258.7,681.2
"K01968",38,94.33,65,37.33,125,34.33,648.33,40,16.33,29,22,40
"K01969",733.9,365.2,403.6,146.4,536.6,2009.2,679,124.2,594,387.1,79.7,609.2
"K01971",1514.8,625.4,747.2,294.8,905.2,3747.4,90,168.4,1185,943.2,290.4,1337.4
"K01972",1516.76,2684.2,812.66,2131,996.65,2701.2,1336.94,1260.84,1294.19,2344.88,904.78,2861.63
"K01974",5.08,58.65,53.67,155.83,20.33,19.16,20.17,25.57,11.16,80,35.33,46.83
"K01975",1145.73,1777.02,654.23,1226.14,808.89,2095.04,1018.01,678.45,967.76,1147.59,387.27,2125.95
"K01989",35.5,126.5,29,58,67,45.5,13,37.5,21,266,120.68,52.5
"K01990",9517.75,9563.82,5029.73,5212.2,6480.71,21929.06,3377.36,3607.57,7072.29,9251.09,4706.92,12921.54
"K01991",604.68,1342.89,358.34,390.55,462,423.77,1655.88,831.15,177.63,524.33,347.86,1299.74
"K01992",9656.44,9789.6,5117.36,6036.25,6631.63,22024.89,4708.35,3919.98,7408.38,9654.16,4592.14,13022.52
"K01993",570.96,1080.72,311.46,1101.95,349.12,425.92,1252.69,850.24,400.36,821.01,400.71,1614.56
"K01994",6,103.5,6,13,33.33,10.67,6,14,7,127,137,14.17
"K01995",1505.54,2484.28,815.29,2082.56,992.01,2691.96,1226.08,1193.81,1275.59,1746.42,503.13,3736.23
"K01996",1552.04,2588.78,867.29,2175.56,1081.01,3066.96,1285.08,1388.81,1295.09,2019.42,567.63,4844.23
"K01997",1491.04,2522.28,818.29,2083.56,1003.01,2695.63,1227.08,1191.81,1278.59,1956.92,494.63,3748.23
"K01998",1522.54,2543.28,839.29,2108.56,1020.01,2697.46,1238.08,1255.81,1289.59,1979.42,553.13,3828.56
"K01999",1854.05,3876.53,1009.68,3102.32,1163.88,3065.11,1545.89,1708.88,1586.06,2789.54,629.79,5247.44
"K02000",1647.73,1045.11,837.23,1100.06,1085.89,3559.63,1009.93,536.12,1498.43,950.76,377.94,1531.45
"K02001",960.23,922.11,501.23,970.06,645.89,1870.63,973.93,465.12,903.43,916.26,307.27,994.95
"K02002",1649.73,1120.11,838.23,1114.06,1085.89,3560.63,1015.93,536.12,1498.43,953.76,378.94,1531.45
"K02003",7874.89,6394.32,3984.53,3942.55,5083.99,17573.77,2377.85,2251.17,6172.18,4719.25,2456.04,10071.37
"K02004",6479.72,6514.56,3357.2,4501.3,4244.99,14168.19,2352.1,2484.17,5211.01,4920.75,2414.37,10215.69
"K02005",239.5,1132.83,213.5,348.83,392.66,505.97,732.83,424.2,90.33,649,412.17,2126.84
"K02006",827,644.49,445.5,935.33,533,1956.66,116.33,243.16,827.33,616,138,1905.17
"K02007",828,666.49,451,933.83,562,1964.66,118.33,254.16,833.33,686,139,1912.17
"K02008",714,575.49,400,852.83,515,1795.66,107.33,142.16,824.33,495,125,916.17
"K02009",18.5,425.16,47,754.5,79,106.33,72,90.16,234,390.5,75.5,349.5
"K02010",648.75,1631.7,326.38,2010.52,493.73,897.97,1496.11,1145.45,671.06,1670.96,696.6,2214.06
"K02011",635.75,1595.95,297.38,1916.77,461.06,779.39,1488.86,1056.45,664.06,1613.96,687.6,1295.73
"K02012",634.92,1585.79,299.71,1945.6,462.06,779.39,1411.69,1068.78,669.23,1610.46,695.77,1293.41
"K02013",6888.91,5964.81,3286.39,5577.03,3975.58,14750.35,2552.32,2805.69,5759.89,5699.51,1965.77,8063.87
"K02014",1774.97,4774.95,865.54,4828.29,1067.04,1465.37,3115.65,2847.85,1640.1,3524.7,1427.47,3897
"K02015",8065.86,7886.41,3906.4,8102.88,4664.04,16842.23,3096.5,3767.14,7184.39,7637.03,2761.19,9907.53
"K02016",6382.77,6719.3,3069.01,6359.03,3743.24,14403.2,2963.12,3203.72,5503.24,6591.31,2422.54,8407.33
"K02017",376.63,1709.97,274.83,1042.46,375.16,666.66,981.43,616.98,337.43,1202.69,373.47,1646.48
"K02018",1053.13,1929.8,605.83,1146.79,791.49,2354.46,1011.76,661.18,920.76,1548.19,522.97,2150.65
"K02019",260.73,742.19,160.73,950.31,138.56,301.54,296.68,518.45,308.43,715.09,169.77,1417.78
"K02020",1527.8,2638.12,731.68,2048.41,911.05,2574.86,1370.14,1247.17,1250.07,2241.7,677.12,2702.43
"K02021",52,8,7,8,14,267,2,8,1,7,17,73
"K02022",34,71,53,13,114,10,648,34,28,73,38,9
"K02024",743.7,994.03,229.18,1032.18,192.52,391.06,847.61,863.71,424.14,830.6,318.82,675.86
"K02025",7294.12,2618.45,3547.44,2169.59,4288.12,17648.73,434.85,879.57,6141.27,2697.57,983.65,6064.79
"K02026",7273.12,2544.79,3566.44,2152.93,4278.12,17625.07,422.19,815.57,6125.61,2697.57,1008.65,6109.45
"K02027",7363.12,2562.79,3561.44,2214.93,4301.12,17679.91,441.19,1182.07,6154.61,2561.57,1319.15,6434.95
"K02028",3371.83,2137.15,1468.11,1789.13,1805.48,6695.9,1025.75,1616.72,2332.01,3288.5,1087.15,3758.26
"K02029",4588.78,3479.62,1953.79,3538.52,2330.85,8486.16,1846.53,2438.74,3516.57,4440.1,1417.01,5195.58
"K02030",4586.46,3618.64,2143.56,2999.82,2688.51,9083.65,2733.92,2385.7,3284.7,4639.26,1655.16,6024.47
"K02031",3023.39,3337.8,1488.2,3223.6,1775.16,6085.11,1105.94,1405.03,2717.08,3039.01,1284.64,4323.22
"K02032",6384.84,4894.03,3102.75,4105.51,3772.57,13954.97,2186.47,2284.89,5178.39,6151.55,1837.92,7093.45
"K02033",6856.68,4729.85,3345.66,4150.62,4023.46,15489,1464.87,2041.89,5706.81,5794.96,1836.56,7519.45
"K02034",6985.1,4824.09,3384.7,4219.57,4049.48,15573.14,1641.54,2107.07,5736.67,5986.36,1930.27,7629.02
"K02035",8491.86,5311.83,4226.46,4667.34,5228.45,19637.37,2566.16,2453.42,7025.32,6677.45,2511.63,9174.43
"K02036",1294.95,2689.58,777.97,2204.14,1033.78,2675.79,1248.93,1037.9,1258.12,2479.36,921.73,2816.25
"K02037",1269.95,2661.08,748.47,2158.64,974.11,2641.66,1237.93,1019.7,1240.12,2465.36,836.89,2790.92
"K02038",1269.95,2661.08,748.47,2158.64,974.11,2641.66,1237.93,1019.7,1240.12,2465.36,836.89,2790.92
"K02039",1262.13,2206.05,726.33,1380.37,949.49,2558.7,1050.34,907.85,989.09,2053.69,756.31,2425.65
"K02040",1312.28,3011.4,831.14,2252.47,1039.44,2735.32,1281.1,1094.69,1252.78,2814.36,989.39,2885.25
"K02041",258.4,763.7,120.06,913.31,132.89,213.04,328.18,472.45,302.1,903.76,403.44,591.13
"K02042",502.72,1380.08,194.95,1739.79,232.95,383.09,606.19,904.16,588.54,1736.02,768.22,1137.93
"K02043",251.9,640.45,113.06,836.39,88.56,180.96,286.76,375.45,294.6,742.59,136.27,464.46
"K02044",282.9,1557.2,187.06,1023.31,219.89,347.54,345.18,717.45,317.1,1044.76,592.94,1645.13
"K02045",279.23,844.11,124.73,856.56,109.56,497.46,293.93,402.12,297.43,842.09,158.27,552.78
"K02046",279.56,859.77,127.4,859.56,109.56,499.46,293.93,402.79,300.76,842.42,160.6,555.1
"K02047",279.56,859.77,125.4,858.56,109.56,499.46,293.93,402.79,298.76,842.42,160.6,554.1
"K02048",531.46,1471.22,238.46,1694.95,198.12,680.42,580.69,770.24,593.36,1378.01,294.54,1025.56
"K02049",1949.62,1056.8,973.46,678.7,1310.19,4537.96,1679.18,719.95,1314.35,1092.75,656.85,2576.01
"K02050",1879.96,981.36,914.37,635.28,1191.24,4263.79,1032.25,674.74,1292.19,1057.67,648.27,2494.2
"K02051",1866.98,1769.37,970.91,564.79,1309.13,4037.76,1724.78,607.19,1296.65,1133,650.78,2386
"K02052",973.32,544.04,472.8,407.19,584.85,1835.41,825.08,445.9,659.49,1194.73,132.65,721.56
"K02053",973.65,537.87,473.47,326.53,582.85,1813.58,794.42,427.57,660.49,1148.23,134.98,707.88
"K02054",972.82,529.71,472.8,323.53,579.85,1811.58,792.42,424.9,658.66,1132.9,132.15,698.56
"K02055",973.82,537.46,472.8,289.78,580.85,1801.33,799.17,416.9,658.66,1124.9,132.15,700.06
"K02056",2158.73,3133.25,1202.4,4275.99,1381.2,4062.81,1644.19,1266.66,2522.21,3623.65,923.22,3436.11
"K02057",3082.53,5178.29,1739.77,7508.22,1970.71,6089.59,2283.45,1971.4,4065.99,5172.41,1622.57,5449.67
"K02058",1266.22,2689.42,701.47,3999.89,692.96,2240.77,898.31,1035.34,1861.01,2527.02,511.8,2546.82
"K02062",925.73,736.61,452.73,1008.06,482.56,1867.29,338.43,405.12,876.43,615.59,158.77,963.78
"K02063",925.73,748.36,452.73,966.31,480.56,1856.04,313.18,396.12,876.43,797.59,158.77,959.28
"K02064",925.73,749.61,452.73,1008.06,480.56,1867.29,313.43,405.12,876.43,821.59,158.77,963.78
"K02065",1092.73,3027.11,703.73,1920.56,945.56,2530.46,1705.93,949.12,1167.43,1756.59,432.77,3370.78
"K02066",1938.23,4263.11,1115.73,2117.56,1503.56,6399.46,1760.93,1098.12,1775.43,3817.09,582.27,4435.78
"K02067",3329.73,4119.11,1734.73,2263.56,2260.56,10310.46,1807.93,1023.12,2902.43,4400.59,613.77,5565.78
"K02068",311.9,467.95,119.06,152.39,120.89,182.13,263.76,333.45,89.6,578.26,291.28,159.63
"K02069",386.8,370.15,158.66,193.79,179.49,406.33,277.76,355.65,102.6,344.36,420.98,345.83
"K02071",1277.59,2041.81,617.8,2619.87,710.36,2475.46,541.71,1017.73,1407.89,2122.72,668.58,2031.12
"K02072",1277.09,2040.31,615.3,2618.7,710.36,2475.46,540.54,1017.73,1407.89,2118.05,663.58,2031.12
"K02073",1954.27,2549.93,808.64,2909.63,862.92,2525.42,944.68,1827.79,1575.27,2545.88,854.89,2311.55
"K02074",382.28,779.27,172.43,980.79,164.76,539.25,364.34,668.82,347.44,962.45,343.01,825.35
"K02075",421.61,1069.1,197.1,1023.8,166.09,659.25,373.67,885.16,376.11,1316.11,311.18,823.85
"K02076",10,107.5,15.5,15.5,42.33,11.67,7,16.5,10,127,148.34,26.17
"K02077",415.28,845.6,184.43,999.12,171.76,557.08,342.67,738.82,349.77,1175.45,376.68,838.35
"K02078",4676.05,4009.68,2239.89,3350.74,2707.56,9626.21,1714.89,1916.82,3934.34,3292.94,1167.79,5409.68
"K02079",63.41,533.9,96.34,787.09,53.66,101.91,94.25,243.58,259.83,470.66,51.5,407.83
"K02080",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K02081",79.31,582.1,99.44,824.49,84.76,113.61,134.25,342.28,278.33,732.26,74.2,477.53
"K02082",81.41,552.9,108.84,838.09,107.16,143.41,109.25,313.08,285.33,489.16,114.67,463.83
"K02083",260.73,326.61,112.23,155.89,113.06,119.46,259.76,307.62,86.43,306.92,256.94,157.28
"K02086",27,122.5,26.5,58.5,84.33,43.67,16,102,22,138,319.84,131.67
"K02099",253.23,620.11,118.23,852.56,104.56,182.96,321.93,412.12,303.43,545.59,153.77,494.78
"K02100",263.41,175.5,85.59,91.71,46.27,99.29,97.26,238.07,48.07,146.42,45.36,97.18
"K02101",0,0,0,0,0,2.33,0,0,0,0,0,0
"K02103",21,11,15,1,9,1,2,3.5,3,5,6.34,12
"K02106",10.48,143.27,48.27,125.98,36.26,53.61,24.42,63.44,13.16,100.6,31.53,37.7
"K02107",17,21.58,12,78.75,46,46.58,8.25,26.83,13,38,48.5,19
"K02108",1249.13,2050.47,698.33,1238.29,906.49,2503.46,1047.76,870.85,997.76,1774.02,746.31,2386.15
"K02109",1294.13,2763.47,787.83,1308.79,1085.49,2619.96,1705.26,950.85,1037.76,2026.52,797.81,3312.65
"K02110",1249.13,2050.47,698.83,1240.79,906.49,2503.46,1047.76,870.85,997.76,1774.02,748.31,2386.15
"K02111",1249.13,2050.47,698.83,1240.79,906.49,2503.46,1047.76,870.85,997.76,1774.02,748.31,2386.15
"K02112",1249.13,2050.47,698.83,1240.79,906.49,2503.46,1047.76,870.85,997.76,1774.02,748.31,2386.15
"K02113",1249.13,2050.14,698.83,1240.79,905.49,2503.46,1047.76,821.52,997.76,1769.69,748.31,2386.15
"K02114",1249.13,2050.47,698.33,1238.29,906.49,2503.46,1047.76,822.85,997.76,1774.02,746.31,2386.15
"K02115",1249.13,2050.47,698.33,1238.29,907.49,2503.46,1047.76,873.85,997.76,1776.02,746.31,2386.15
"K02116",1011.13,1120.14,564.33,1097.96,711.15,2003.17,985.43,599.65,920.43,982.02,490.47,1968.99
"K02117",24,40.58,29,173.75,55,50.58,13.25,43.33,18,68,63.17,65
"K02118",24,40.58,29,173.75,55,50.58,13.25,43.33,18,68,63.17,65
"K02119",24,23.58,24,79.75,47,50.58,8.25,29.33,16,39,50.17,32
"K02120",24,40.58,29,173.75,55,50.58,13.25,43.33,18,68,63.17,65
"K02121",17,40.58,30,175.75,57,46.58,17.25,38.33,18,85,67.17,77
"K02122",24,39.58,27,170.75,53,50.58,9.25,38.33,18,51,59.17,53
"K02123",24,41.58,40,173.75,56,50.58,13.25,38.33,21,69,63.17,66
"K02124",24,40.58,29,173.75,55,52.91,13.25,38.33,18,68,63.17,65
"K02160",377.73,1775.94,301.23,1075.89,487.22,439.63,1027.76,701.12,392.76,1087.09,670.61,1565.12
"K02164",0,14,0,0,0,0,0,0,0,0,0,0
"K02167",260.02,254.76,104,146.84,75.85,133.23,257.63,322.7,81.56,191.66,155.75,157.06
"K02168",996.77,666.88,486.4,369.63,537.38,1954.41,508.84,565.02,724.8,662.62,236.92,778.64
"K02169",292.23,814.61,160.73,931.56,140.89,224.13,301.43,465.12,302.43,687.09,280.27,565.45
"K02170",292.23,812.61,157.73,931.56,139.89,224.13,301.43,465.12,302.43,687.09,280.27,565.45
"K02171",7,1.5,1.5,3.5,0.33,4.67,0,0,0,0,2,0.17
"K02172",7,1.5,1,1,0.33,4.67,0,0,0,0,0,0.17
"K02173",5.08,40.07,38.67,19.08,11.33,7.91,14.92,6.24,6.16,25,29.33,9.33
"K02182",5.08,44.32,40.67,60.83,18.33,32.16,18.17,22.24,6.16,53,22.33,12.83
"K02188",696,535.16,372,834.83,455,1778.33,91.33,163.83,811.33,405,85,830.17
"K02189",25.5,448.41,51,806.25,74,139.58,96.25,183.16,237,413.5,88.5,358
"K02190",25.5,418.5,34.5,753,60,102,70,82.5,229,376.5,77.5,339.5
"K02191",18.5,422.08,47,793.25,67,111.58,70.25,93.83,235,406.5,75.5,347
"K02192",265.73,695.11,149.73,847.56,224.56,408.96,889.93,292.12,277.43,497.09,256.77,537.78
"K02193",320.73,840.94,200.73,929.22,245.06,223.12,952.09,481.62,328.76,639.59,280.27,544.28
"K02194",319.73,804.94,195.73,929.22,247.06,221.12,1010.09,436.62,327.76,641.59,279.27,550.28
"K02195",320.73,842.94,200.73,930.22,244.06,227.12,959.09,484.62,328.76,635.59,280.27,531.28
"K02196",306.73,738.61,185.23,902.39,228.06,212.96,937.76,410.62,308.43,568.42,238.77,488.28
"K02197",320.73,843.94,200.73,930.22,246.06,227.12,961.09,488.62,328.76,639.59,280.27,551.28
"K02198",542.56,1372.87,266.65,1721.85,308.5,375,1060.43,819.95,591.17,1117.01,321.3,988.63
"K02199",314.73,1232.61,214.73,1630.89,261.06,285.46,981.76,486.62,529.43,940.92,276.27,859.28
"K02200",358.73,1303.61,284.23,1689.39,381.06,316.96,1629.76,541.62,561.43,1031.42,325.77,884.28
"K02201",0,25.83,13,174.5,13,28.16,1.5,29.33,4,66,9,31
"K02203",0,18,1,5,6,18,1,1,0,9,0,6
"K02204",45,129.33,48.5,25.83,130,19.83,650.33,21,15.33,22.5,83.5,36
"K02205",0,15,0,0,0.66,1.34,0,0,0,10,2,0.34
"K02217",281.23,656.27,139.73,860.89,126.89,209.26,311.26,383.65,304.76,683.42,282.27,496.95
"K02221",1233.13,2034.14,691.33,1228.29,900.49,2478.46,1023.76,782.02,974.76,1699.69,715.31,2360.15
"K02224",853,897.74,462,1002.58,561,2284.71,154.58,330.36,830.33,1046,288,1994
"K02225",27,70,43,5,112,3,646,21,13,14,0,0
"K02226",383.91,876.33,168.09,924.54,162.27,313.12,157.59,400.57,294.4,808.42,290.36,548.68
"K02227",895.5,1077.91,523,1125.58,704,2307.21,773.58,412.03,855.33,1103,341.5,2058
"K02228",23,24,7,18,14,268.8,2,21.2,1,9,13,83
"K02229",711.5,302,354,114,430,1975.8,39,37.2,586,333.5,64.5,642
"K02230",726,460.57,356,159.08,442,2039.71,45.58,69.19,588.33,611,73,655.5
"K02231",1115.91,1157.83,557.59,1014.54,692.27,2274.92,837.59,490.77,891.4,1148.42,338.86,1181.68
