"","CBN7.1","CBN6.2","CBN10.1","CBN10.2","CBN9.2","CBN13.2","CBN1.1","CBN11.1","CBN17.1","CBN12.1","CBN16.1","CBN13.1"
"K19126",675.58,143.07,366.67,121.08,404.33,1669.91,36.92,28.24,584.16,44.5,72.83,496.33
"K19127",0.33,8.66,6.67,2,2,2,0,0.67,2.33,0.33,2.33,2.32
"K19128",0.33,6.66,3.67,2,1,2,0,0.67,2.33,0.33,2.33,2.32
"K19129",0.33,6.66,3.67,2,1,2,0,0.67,2.33,0.33,2.33,2.32
"K19130",0.33,6.66,3.67,2,1,2,0,0.67,2.33,0.33,2.33,2.32
"K19131",0,0,0,0,0,0,0,10,2,0,0,3
"K19132",0,0,0,0,0,0,0,10,2,0,0,3
"K19133",0,0,0,0,0,0,0,10,2,0,0,3
"K19134",0,0.33,0,0.33,0,0.33,0.33,1,0.33,0,0,6
"K19135",0,0,2,1,0,0,0,0,2,0,0,1
"K19138",18,151.33,9,1.33,6,48.33,5.33,8,0.33,283,7,7
"K19139",18,152.33,20,1.33,7,48.33,5.33,8,3.33,284,7,8
"K19140",17,1.33,17,1.33,1,0.33,1.33,2,3.33,1,2,7
"K19141",17,0.33,6,1,0,0,1,2.33,0,0.33,2,0
"K19142",17,1.33,19,2,1,0,1,50.33,5,1.33,2,2
"K19143",0,1,15,2,1,0,0,48,7,1,0,3
"K19144",0,0,0,0,0,0,0,48,0,0,0,0
"K19146",0,0,2,1,0,0,0,0,2,0,0,1
"K19147",70.23,126.28,43.27,113.16,26.93,92.45,43.58,199.54,37.67,142.43,14.87,88.2
"K19148",4.33,38.32,32.67,18.33,8.33,5.66,14.67,5.99,5.66,24,22.33,8.33
"K19155",5.08,39.07,37.67,19.08,11.33,7.91,14.92,6.24,6.16,25,22.33,8.33
"K19156",9.08,43.07,46.67,19.08,20.33,8.91,15.92,6.24,9.16,25,22.33,8.33
"K19157",59.33,433.32,71.17,777.83,80.33,57.16,61.67,151.49,240.66,379.5,243.33,437.83
"K19158",7.08,202.07,48.67,50.08,25.33,62.91,47.92,15.24,8.16,311,55.33,10.33
"K19159",7.08,201.07,44.67,47.08,27.33,62.91,48.92,15.24,6.16,312,51.33,10.33
"K19160",0.75,0.75,5,0.75,3,2.25,0.25,0.25,0.5,1,0,0
"K19161",0.75,0.75,5,0.75,3,2.25,0.25,0.25,0.5,1,0,0
"K19162",252.73,612.61,113.73,840.56,90.56,182.96,288.93,369.12,296.43,541.09,136.77,467.78
"K19163",178.24,55.49,47.26,37.7,31.94,23.79,35.93,100.07,20.06,42.42,48.02,46.32
"K19164",65.57,173.34,85.93,114.34,60.28,99.41,76.01,282.79,63.99,147.07,54.08,146.47
"K19165",0,371,22,704,21,19,36,60,218,334,23,321
"K19166",0.75,370.75,22,701.75,21,17.25,36.25,57.25,216.5,334,19,321
"K19167",0,1,0,14,4,0,2,70,0,2,147,92
"K19168",253.13,623.81,116.33,843.96,98.16,189.16,289.93,394.32,295.43,555.69,136.97,472.98
"K19169",0,6,0,0,4,0,50,0,0,2,0,0
"K19180",0,1,5,0,2,3,0,3,0,0,0,0
"K19181",0,0,1,0,5,4,1,3,0,2,0,0
"K19185",0,0,1,0,5,4,1,3,0,2,0,0
"K19190",710.9,135.2,351.6,114.4,420.6,1923.2,33,36.2,586,57.1,59.7,639.2
"K19191",0,0,0,0,0,0,0,8,0,0,0,0
"K19200",0,48,2,0,10,8,2,6,0,625,0,0
"K19214",0,2,3,0,1,0,0,0,0,0,0,0
"K19215",3,0,0,0,0,0,0,0,0,0,4,0
"K19217",0,1,1,0,0,0,0,0,0,0,7,1
"K19220",0,7,0,0,0,0,0,0,0,5,1,0
"K19221",1145.23,1741.19,609.23,1065.64,752.56,2318.17,997.51,510.32,949.76,1154.76,306.77,1235.28
"K19222",252.73,615.61,115.73,847.56,88.56,185.96,263.93,369.12,296.43,543.09,136.77,489.78
"K19224",5,90,6,13,14,8,3,14,6,16,7,14
