"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"K02031"	0.000820135978545243	0.00201184043640238	0.000639168525118628	0.00248514239865944	0.00333094307325762	0.000967280942069232	0.00174599559705458	0.000662536386639319	0.00125757499029388	0.000849552791592291	0.00252294615002035
"K02034"	0.000410067989272621	0.00251281256088203	0.00111159743498892	0.00298927128524464	0.00447595475468992	0.00116073713048308	0.00256205875654748	0.000902177207338648	0.00227882716361979	0.00144137608461164	0.00264050278066646
"K02033"	0.000664310142621647	0.0016261714199379	0.000785065688460924	0.00206621839431399	0.00270639124702181	0.000680216920551912	0.00233432020040993	0.000789405056421317	0.00100437197211391	0.000677733125876996	0.00189899172582177
"K02035"	0.000508484306698051	0.00150689234268084	0.000812855624335647	0.00249934321236607	0.00249820730494321	0.00101096459751752	0.00206862521824945	0.000655488127206986	0.00086933036241792	0.000133637517778563	0.00245060360808428
"K02050"	0.000106617677210882	0.000333981416319763	0.000854540528147731	0.0013987801501026	0.00152668224190974	0.000262101932689727	0.00164161542549154	0.000725970721530318	0.000776489255751929	0.000477276849209152	0.00113035221775105
"K02051"	0.000221436714207216	0.000206750400578901	0.000368216650340079	0.00102245858687703	0.00138789294719067	0.000224658799448338	0.00133796401730813	0.000472233381966323	0.000405124829087963	0.000286366109525491	0.000696296966134648
"K05643"	0	0	0	0	0	0	1.89782130114628e-05	0	0	0	0
"K05648"	0	0	0	0	0	0	0	0	4.22005030299961e-05	0	0
"K05649"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K05650"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K05651"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K05657"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K05664"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K05658"	0	0	0	2.84016274132508e-05	4.62630982396891e-05	0	2.84673195171943e-05	0	0	0	3.61712709680336e-05
"K05654"	0	0	0	7.10040685331269e-06	0	0	9.48910650573142e-06	0	0	0	0
"K05660"	0	0	0	1.42008137066254e-05	0	0	0	0	0	0	0
"K05655"	0	7.95193848380389e-06	0	0	0	0	0	0	0	0	1.80856354840168e-05
"K06148"	0.000943156375327029	0.00127628612665052	0.000715590848774116	0.00204491717375406	0.00250977307950313	0.00225906903889717	0.00269490624762772	0.000458136863101657	0.000497965935753954	0.00426685503192982	0.00286657322421667
"K05668"	0	0	0	2.84016274132508e-05	0	0	0	0	0	0	0
"K05669"	0	0	0	0	0	0	0.000370075153723525	0	0	0	0
"K05682"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K00255"	0	0	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K00249"	0	7.95193848380389e-06	0	0	1.15657745599223e-05	0	0	0	0	0	0
"K00248"	0.000319853031632645	0.00155857994282556	0.000354321682402718	0.00333719122105697	0.00220906294094516	0.00021841827724144	0.00129051848477947	0.000415847306507658	0.000194122313937982	0.000171819665715295	0.000985667133878917
"K01681"	0.0008447400579016	0.000997968279717388	0.00125054711436253	0.00211592124228718	0.00241724688302376	0.00086743258675886	0.00200220147270933	0.000937418504500314	0.00147701760604986	0.000954553698418305	0.00194420581453181
"K14394"	0	0	0	1.42008137066254e-05	6.93946473595337e-05	0	0	0	0	0	0
"K01897"	0.00562613281282037	0.00609118487859378	0.00498829348951277	0.0014555834049291	0.00126066942703153	0.00426851718951842	0.00175548470356031	0.0061601787438592	0.00503874006178154	0.00829507163925507	0.00275805941131256
"K01896"	0	0	0	7.10040685331269e-06	0	0	0	0	0	0	0
"K01895"	0.000893948216614315	0.00116098301863537	0.000507166329713694	0.000347919935812322	0.000242881265758368	0.000792546320276081	0.000161314810597434	0.000754163759259651	0.000717408551509934	0.0021954735063621	0.000614911606456572
"K12313"	4.10067989272621e-05	0	0	0	1.15657745599223e-05	0	0	2.11447782969996e-05	0	0	0
