"","CBN1.1","CBN10.1","CBN10.2","CBN11.1","CBN12.1","CBN13.1","CBN13.2","CBN17.1","CBN6.2","CBN7.1","CBN9.2"
"K12943",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K12942",3.62159739607147e-05,0.000454645148319412,4.94819061163301e-05,7.56449554681436e-05,5.40048702573905e-05,0.000100612888369292,0.00029990391967018,0.000457479221879676,0.00017206903047252,0.000211700645440805,0.000450727665144016
"K00108",2.26349837254467e-06,0,0,1.6444555536553e-06,0,1.41708293477876e-06,0,2.25359222600826e-06,0,0,0
"K13890",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K13891",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K13892",2.26349837254467e-06,0,0,0,0,0,0,1.12679611300413e-05,0,0,0
"K13893",4.07429707058041e-05,1.37078939191783e-05,0.000278564804803044,4.11113888413824e-05,0.000289662485926004,9.49445566301768e-05,2.22151051607541e-05,0.000144229902464528,0.000204671583614681,0,1.7335679428616e-05
"K13894",4.07429707058041e-05,1.37078939191783e-05,0.000278564804803044,4.11113888413824e-05,0.000289662485926004,9.49445566301768e-05,2.22151051607541e-05,0.000144229902464528,0.000206482836567024,0,1.7335679428616e-05
"K13895",4.07429707058041e-05,1.37078939191783e-05,0.000278564804803044,4.11113888413824e-05,0.000289662485926004,9.49445566301768e-05,2.22151051607541e-05,0.000144229902464528,0.000204671583614681,0,1.7335679428616e-05
"K13896",2.26349837254467e-06,0,0,1.6444555536553e-06,1.63651121992092e-06,1.41708293477876e-06,0,0,1.81125295234231e-06,0,1.7335679428616e-05
"K06159",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K06158",0.000934824827860949,0.00109663151353426,0.000656093421838748,0.000845250154578822,0.000639875886989081,0.000806320189889113,0.00102744861368488,0.00104566679286783,0.000748047469317375,0.00105604159179192,0.00114415484228866
"K06153",0.000955196313213851,0.000731087675689507,0.000854021046304068,0.000740004999144883,0.000792071430441727,0.000701456052715485,0.000746057281648657,0.000752699803486758,0.000769782504745483,0.000824647863054299,0.000704261976787525
"K06156",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K06155",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K03327",0.00151428041123238,0.00107150037468243,0.000839359740788118,0.000504847854972176,0.000572778926972323,0.000518652354129025,0.000744206022885261,0.00108397786070997,0.000729934939793952,0.000726182446570203,0.00101413724657404
"K03326",4.52699674508934e-06,0,1.46613055159497e-05,4.60447555023483e-05,1.63651121992092e-05,0.000264994508803628,3.33226577411311e-05,0,1.44900236187385e-05,0,8.667839714308e-06
"K03325",4.52699674508934e-06,0.00023303419662603,3.1155274221393e-05,7.89338665754542e-05,3.92762692781022e-05,0.000289084918694867,5.18352453750928e-05,2.25359222600826e-05,0.00012497645371162,1.47698124726143e-05,2.3836559214347e-05
"K03324",0.000921243837625681,0.00078363460237969,0.000833861751219637,0.000774538565771644,0.000888625592417062,0.00084458142912814,0.000873794136322993,0.000797771648006923,0.000858533899410256,0.000617870488437698,0.000799608213644913
"K03322",2.48984820979914e-05,0.000429514009467585,4.76492429268364e-05,3.28891110731059e-05,4.58223141577859e-05,8.50249760867255e-05,0.000273986296982633,0.000448464852975643,0.00016482401866315,0.000194469197556088,0.00041172238642963
"K03321",0.00010185742676451,0.000422660062507996,0.000188764308517852,0.000110178522094905,0.000116192296614386,0.00036560739717292,0.000394318116603384,0.000464239998557701,0.000197426571805312,0.000209239010028703,0.000429058065858246
"K03320",9.50669316468761e-05,5.94008736497724e-05,0.000370197964277729,0.000282846355228711,0.000369851535702129,0.000643355652389556,0.000186977135103013,0.000169019416950619,0.000255386666280266,0.000177237749671372,4.7673118428694e-05
"K03328",0.000796751427135724,0.000566592948659368,0.000318883394971905,0.000100311788772973,0.000204563902490115,0.000141708293477876,0.000564633922835832,0.000951015919375485,0.000331459290278643,0.000635101936322415,0.000912290129930917
"K01505",0,0,0,0,0,0,0,2.25359222600826e-06,1.81125295234231e-06,0,0
"K11940",2.26349837254467e-06,0,0,0,0,1.41708293477876e-06,0,0,0,0,0
"K11941",2.26349837254467e-06,0,0,0,0,0,0,0,0,0,0
"K11942",0,0,0,0,0,0,0,0,1.81125295234231e-06,0,0
