OTUID	CBN16.1	CBN12.1	CBN1.1	CBN11.1	CBN9.2	CBN6.2	CBN13.2	CBN17.1	CBN7.1	CBN10.1	CBN10.2	CBN13.1
826303	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
272905	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
197924	0.0	1.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0
354957	0.0	9.0	1.0	3.0	7.0	0.0	0.0	1.0	3.0	2.0	0.0	1.0
342105	2.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0
445144	2.0	9.0	5.0	2.0	0.0	2.0	0.0	3.0	1.0	2.0	2.0	0.0
340447	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
345126	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
264352	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
348038	88.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0
339905	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	12.0	0.0	0.0	0.0
833816	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
178026	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
191606	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
274018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
372906	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0
356073	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
838338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
199600	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
530866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
271880	0.0	2.0	0.0	1.0	1.0	1.0	0.0	5.0	0.0	0.0	0.0	0.0
355097	0.0	1.0	0.0	31.0	0.0	7.0	13.0	0.0	0.0	2.0	0.0	1.0
265182	0.0	8.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
262556	1.0	14.0	0.0	0.0	13.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0
343264	0.0	3.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	1.0	4.0
193859	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
