"CBN1.1"	"CBN10.1"	"CBN10.2"	"CBN11.1"	"CBN12.1"	"CBN13.1"	"CBN13.2"	"CBN17.1"	"CBN6.2"	"CBN7.1"	"CBN9.2"
"262633"	0	0	0	0.0323398858592264	0	0	0	0	0	0	0
"271766"	0.000755287009063444	0	0	0	0	0	0	0	0	0	0
"4481359"	0	0	0	0	0	0	0.000315756236185665	0	0	0	0
"276996"	0	0	0	0.000634115409004439	0	0	0	0	0	0	0
"193418"	0.000755287009063444	0	0.0588660166124955	0.0228281547241598	0.0469627360898418	0.00585746827204686	0.0135775181559836	0	0.00176865935620799	0	0
"264021"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0.000512032770097286
"264023"	0	0.00042863266180883	0	0	0	0	0	0	0	0	0
"274083"	0	0	0.000361141206211629	0	0	0.000325414904002603	0.000631512472371329	0	0	0	0
"190026"	0	0	0	0.000634115409004439	0	0	0.00221029365329965	0	0.000707463742483198	0	0
"273724"	0	0	0	0	0.000510464522715671	0	0	0	0	0.000346500346500347	0
"1110008"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"309696"	0	0	0	0.000634115409004439	0	0	0	0	0	0	0
"350242"	0	0	0	0	0	0	0	0	0	0.00207900207900208	0
"2901246"	0	0	0	0	0.00153139356814701	0	0	0	0	0	0
"322059"	0.00226586102719033	0.00171453064723532	0.000361141206211629	0	0.00204185809086269	0	0	0	0.00212239122744959	0.000346500346500347	0.00307219662058372
"826303"	0	0	0	0	0	0	0.000315756236185665	0	0	0	0
"272905"	0	0	0	0.00126823081800888	0	0	0	0	0	0	0
"197924"	0	0.00085726532361766	0	0	0.000510464522715671	0	0	0.00173160173160173	0	0	0.00153609831029186
"354957"	0.000755287009063444	0.00085726532361766	0	0.00190234622701332	0.00459418070444104	0.000325414904002603	0	0.000432900432900433	0	0.00103950103950104	0.003584229390681
"342105"	0	0.00042863266180883	0	0	0	0.000325414904002603	0	0	0.0010611956137248	0	0.000512032770097286
"445144"	0.00377643504531722	0.00085726532361766	0.000722282412423258	0.00126823081800888	0.00459418070444104	0	0	0.0012987012987013	0.000707463742483198	0.000346500346500347	0
"340447"	0	0	0	0	0	0	0	0	0.000353731871241599	0	0
"345126"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0.000512032770097286
"264352"	0.000755287009063444	0	0	0	0	0	0	0	0	0	0
"348038"	0	0	0.0180570603105814	0	0	0	0	0	0	0	0
"339905"	0	0	0	0	0	0	0.000315756236185665	0	0	0.00415800415800416	0.000512032770097286
"178026"	0	0	0	0	0.000510464522715671	0	0	0	0	0	0
"191606"	0	0	0	0	0	0	0	0	0	0.000346500346500347	0
"274018"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"372906"	0	0	0	0	0	0.00097624471200781	0	0	0.000353731871241599	0	0
"356073"	0.000755287009063444	0	0	0	0	0	0	0	0	0	0
"838338"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"199600"	0	0	0	0	0	0	0	0	0	0	0.000512032770097286
"530866"	0	0	0	0	0	0.000325414904002603	0	0	0	0	0
"271880"	0	0	0	0.000634115409004439	0.00102092904543134	0	0	0.00216450216450216	0.000353731871241599	0	0.000512032770097286
"355097"	0	0.00085726532361766	0	0.0196575776791376	0.000510464522715671	0.000325414904002603	0.00410483107041364	0	0.00247612309869119	0	0
"265182"	0	0	0	0.00126823081800888	0.00408371618172537	0	0	0	0	0	0
"262556"	0	0.00042863266180883	0	0	0.0071465033180194	0	0	0	0.000353731871241599	0	0.00665642601126472
"343264"	0	0	0.000361141206211629	0	0.00153139356814701	0.00130165961601041	0	0	0.00601344181110718	0	0
"193859"	0	0	0	0	0	0	0	0	0	0.000693000693000693	0.00256016385048643
"318766"	0	0	0.000361141206211629	0.000634115409004439	0	0	0	0	0	0	0
"276542"	0	0	0.000361141206211629	0	0.000510464522715671	0	0.000315756236185665	0	0.0014149274849664	0.000346500346500347	0
"850905"	0	0	0	0	0	0	0	0.000432900432900433	0	0	0
"1108244"	0	0	0	0	0	0	0	0.000432900432900433	0	0	0
"628218"	0	0	0	0	0.00102092904543134	0	0	0	0	0	0
"351465"	0	0	0	0	0	0.000650829808005207	0	0	0.000353731871241599	0	0.00102406554019457
"1110135"	0	0	0	0	0.00204185809086269	0.000650829808005207	0	0.000432900432900433	0	0	0
"273208"	0	0	0.00108342361863489	0	0.000510464522715671	0	0.000315756236185665	0.000432900432900433	0.000353731871241599	0	0
"34757"	0.000755287009063444	0	0	0.00507292327203551	0.111791730474732	0.000325414904002603	0.0157878118092832	0	0.0495224619738238	0	0
