"DS_2A"	"DS_2C"	"DS_2E"	"DS_3A"	"DS_3C"	"DS_3E"	"FS_1A"	"FS_1C"	"FS_1E"	"FS_2A"	"FS_2C"	"FS_3A"	"FS_3C"	"FS_3E"
"766109"	0	0	0	0	0.000113071008593397	0	0	0	0	0	0	0	0	0
"877952"	0	0.000231535077564251	0.000207168013258753	0	0	0	0	0	0	0	0.000111856823266219	0	0	0.000230414746543779
"24886"	0	0	0.000103584006629376	0.000132205182443152	0.000113071008593397	0.000126726650614624	0	0	0	0	0	0	0	0
"828164"	0.000165343915343915	0	0	0	0	0	0	0	0	0	0	0	0	0
"138608"	0.000165343915343915	0.000115767538782125	0	0.000132205182443152	0	0	0	0	0	0	0	0	0	0
"113170"	0	0	0	0	0	0	0	0.000363042294427301	0	0	0	0	0	0
"582679"	0	0	0	0	0	0	0	0	0	0.000163331972233565	0	0	0	0
"944435"	0.00115740740740741	0.00127344292660338	0.000828672053035011	0.000132205182443152	0.00033921302578019	0	0	0	0	0	0	0	0	0
"567166"	0	0.000115767538782125	0.000207168013258753	0.000264410364886304	0.000113071008593397	0.000126726650614624	0	0	0	0	0	0	0	0
"141438"	0	0.000115767538782125	0	0	0	0	0	0	0	8.16659861167824e-05	0.000111856823266219	0	0	0.000115207373271889
"885618"	0.000165343915343915	0.000115767538782125	0	0.00118984664198837	0.00067842605156038	0.00088708655430237	0	0	0	0	0	0	0	0
"542433"	0.000165343915343915	0	0.000103584006629376	0.000132205182443152	0.00033921302578019	0	0	0	0	0	0	0	0	0
"695185"	0.00231481481481481	0.000463070155128502	0.00134659208618189	0.000264410364886304	0	0.000380179951843873	0	0	0	0	0	0	0	0
"6374"	0	0	0	0	0	0	0.000369719937147611	0.000363042294427301	0.000165180046250413	0.00155165373621886	0.00413870246085011	0	0	0
"334906"	0.00446428571428571	0.000810372771474878	0.00217526413921691	0.000264410364886304	0.00033921302578019	0.000253453301229249	0.000554579905721416	0	0.000247770069375619	0.000163331972233565	0.000111856823266219	0.000181554103122731	0	0.000115207373271889
"1136403"	0	0.000115767538782125	0	0	0	0.00114053985553162	0	0	0	0	0	9.07770515613653e-05	0	0
"3431050"	0	0	0	0	0	0	0.000184859968573805	0	0	0	0	0	0	0
"254670"	0	0	0.000207168013258753	0	0	0	0	0	0	0	0	0	0	0
"432284"	0	0	0	0	0	0	9.24299842869027e-05	0	0	0	0	9.07770515613653e-05	0	0
"4325231"	0	0	0	0	0	0	0	0.00018152114721365	0	8.16659861167824e-05	0.000111856823266219	0	0	0
"578392"	0.000661375661375661	0	0.000414336026517506	0.000396615547329455	0.000226142017186793	0	0.000184859968573805	0	0	0.000163331972233565	0	0.000363108206245461	0.000703800522823246	0.000230414746543779
"1108960"	0.000165343915343915	0	0.000103584006629376	0	0	0	9.24299842869027e-05	0	0	0	0	0	0	0
"513586"	0.000165343915343915	0	0.000103584006629376	0	0	0	0	0	0	0	0	0	0	0
"790527"	0.000165343915343915	0.000231535077564251	0	0.000264410364886304	0.000113071008593397	0.000760359903687746	0	0.00018152114721365	0	0	0	0	0	0
"855996"	0	0.000115767538782125	0	0	0	0	0	0	0	0	0	0	0	0
"810096"	0	0	0	0	0	0.000126726650614624	0	0	0	0	0	0	0	0
"698417"	0	0	0	0	0	0.000126726650614624	0	0	0	0	0	0	0	0
"1106524"	0	0	0.000103584006629376	0	0.000113071008593397	0	0	0	0	0.000163331972233565	0	9.07770515613653e-05	0	0
"211555"	0.000330687830687831	0	0	0	0	0	0	0	0	0	0	0	0	0
