"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_3A","FS_3C","FS_3E"
"K14977",1.26124106120422e-05,1.63509155636774e-05,1.77329784790487e-05,2.0227424432956e-05,1.94025660925709e-05,1.30005056976369e-05,3.17500104440824e-05,2.76563106606344e-05,3.37089706523381e-05,1.53753839294059e-05,1.66929998739679e-05,1.67810611994405e-05,1.89832772427825e-05,2.27136708227684e-05,1.24007888451804e-05,1.89940966347659e-05,1.3835295799585e-05
"K14974",4.00393987683881e-07,1.94653756710445e-07,2.08623276224102e-07,4.54548863661932e-07,2.06410277580541e-07,6.61042662591706e-07,0,2.07942185418304e-07,2.10681066577113e-07,1.4161537829716e-06,8.34649993698393e-07,1.08967929866497e-06,1.51003341703952e-06,1.49995939395641e-06,1.93762325705944e-07,1.99937859313325e-07,5.76470658316041e-07
"K00958",3.18313220208685e-05,2.14119132381489e-05,4.50626276644061e-05,5.90913522760512e-05,3.03423108043396e-05,9.7393618955178e-05,4.05230396457367e-05,4.22122636399157e-05,4.78246021130047e-05,2.10399990612924e-05,2.56654873062256e-05,2.78957900458232e-05,2.13561868981303e-05,2.18565511690791e-05,2.32514790847133e-05,2.5192170273479e-05,1.92156886105347e-05
"K00951",0.000550341536071494,0.000525565143118201,0.000532406600923909,0.000525003937529531,0.000535841080599085,0.000541393940662607,0.000545389982036178,0.000531084341558348,0.000556408696830156,0.000526404591898872,0.000531672045985876,0.000589080628858282,0.000522903000414828,0.000481701245373429,0.000526258476617344,0.000534433897944519,0.000568207912213511
"K00950",0.000521713365952097,0.000524397220577939,0.000517594348311998,0.000507049257414885,0.000509833385623937,0.000521562660784856,0.000510088983581902,0.000505299510566478,0.000508584094717151,0.000514266130901973,0.000502667958704857,0.000518033538585326,0.000499821061040081,0.00048727252312241,0.000513857687772163,0.000510841230545546,0.000524780455953703
"K00952",7.00689478446792e-06,4.86634391776112e-06,1.06397870874292e-05,9.31825170506961e-06,9.4948727687049e-06,8.37320705949494e-06,1.31595438024815e-05,2.20418716543402e-05,1.1166096528587e-05,4.65307671547812e-06,1.46063748897219e-06,2.83316617652892e-06,2.58862871492489e-06,4.07131835502453e-06,1.93762325705944e-06,1.99937859313325e-06,1.92156886105347e-06
"K00955",0.000297893126836807,0.000323125236139339,0.000324826441080927,0.000376821007975742,0.000372157730477716,0.000352776434269774,0.000298700756151565,0.000292158770512717,0.000286736931611451,0.000368604598939179,0.000414403721871252,0.000424974926479338,0.000430143804796686,0.000466487371520442,0.000364854459304292,0.000374283672634545,0.000357796121928156
"K00954",0.000523515138896674,0.000527706334442016,0.000521349567284032,0.000509549276165026,0.000511897488399742,0.000526630654531392,0.000520950829260141,0.000513825140168629,0.000519539510179161,0.000512445361752438,0.000505797896181226,0.000516943859286661,0.000498311027623041,0.000488343922689521,0.000521414418474695,0.000515039925591126,0.000531313790081284
"K00957",0.000520712380982887,0.000537244368520828,0.000500695862937846,0.000494321889232351,0.000524075694776994,0.000455458394525685,0.000485649830805865,0.000477435257720425,0.000474875124064813,0.00053469920691342,0.000527290133518959,0.000536776022522364,0.000526570224427638,0.00052477150797132,0.000531102534759992,0.000533234270788639,0.000541498105044868
"K00956",0.000377771727379742,0.000389112859664179,0.000343185289388648,0.000310229599449269,0.000351929523274823,0.000282705912035053,0.000334419517901157,0.000325845404550482,0.000330137231326336,0.000362130753074166,0.000323218210059702,0.000359376232699707,0.000327677251497576,0.000304063197146306,0.000364466934652881,0.000363487028231626,0.000391423576996592
"K00590",2.28224572979812e-05,4.36024415031397e-05,2.52434164231164e-05,1.77274056828153e-05,1.85769249822487e-05,1.60853714563982e-05,1.12796089735556e-05,1.22685889396799e-05,9.69132906254721e-06,3.27738446916285e-05,1.33543998991743e-05,2.70240466068912e-05,2.80434777450196e-05,2.0570871688545e-05,2.96456358330094e-05,2.91909274597455e-05,2.63254933964325e-05
"K02777",1.24122136182003e-05,7.20218899828646e-06,1.33518896783425e-05,1.84092289783082e-05,1.30038474875741e-05,1.21191154808479e-05,1.94259932322346e-05,1.58036060917911e-05,2.80205818547561e-05,1.03176918473645e-05,1.54410248834203e-05,1.72169329189065e-05,1.01387958001225e-05,1.02854358442725e-05,8.91306698247342e-06,1.29959608553662e-05,8.07058921642457e-06
"K02775",4.00393987683881e-07,0,4.17246552448205e-07,9.09097727323864e-07,1.03205138790271e-06,4.40695108394471e-07,1.04440823829218e-06,2.07942185418304e-07,2.94953493207958e-06,4.04615366563314e-07,2.71261247951978e-06,4.35871719465987e-07,0,4.28559826844688e-07,1.93762325705944e-07,3.99875718626651e-07,0
"K02774",6.00590981525821e-07,0,6.25869828672307e-07,9.09097727323864e-07,1.23846166548325e-06,2.20347554197235e-07,1.25328988595062e-06,2.07942185418304e-07,3.79225919838804e-06,4.04615366563314e-07,1.87796248582138e-06,2.17935859732994e-07,0,6.42839740267031e-07,1.93762325705944e-07,5.99813577939976e-07,0
"K02773",4.00393987683881e-07,0,4.17246552448205e-07,9.09097727323864e-07,8.25641110322165e-07,2.20347554197235e-07,1.04440823829218e-06,2.07942185418304e-07,2.52817279892536e-06,4.04615366563314e-07,1.66929998739679e-06,2.17935859732994e-07,0,4.28559826844688e-07,1.93762325705944e-07,3.99875718626651e-07,0
"K02771",0,0,0,0,0,0,0,0,0,2.02307683281657e-07,1.04331249212299e-06,2.17935859732994e-07,0,0,0,0,0
"K02770",3.40334889531299e-05,5.02206692312948e-05,4.17246552448205e-05,3.77275556839404e-05,3.26128238577255e-05,3.59166513341494e-05,3.6345406692568e-05,3.72216511898764e-05,4.06614458493828e-05,4.28892288557113e-05,2.94214122778683e-05,3.5741480996211e-05,4.0770902260067e-05,3.32133865804633e-05,3.8171178164071e-05,3.73883796915919e-05,3.40117688406464e-05
"K02779",2.30226542918232e-05,4.39917490165606e-05,2.54520396993405e-05,1.77274056828153e-05,1.94025660925709e-05,1.67464141189899e-05,1.1488490621214e-05,1.24765311250982e-05,1.09554154620099e-05,3.39876907913184e-05,1.50236998865711e-05,2.74599183263572e-05,2.84749158641738e-05,2.14279913422344e-05,3.00331604844213e-05,2.95908031783722e-05,2.65176502825379e-05
"K02778",0,0,0,0,0,0,0,0,2.10681066577113e-07,0,1.04331249212299e-06,2.17935859732994e-07,0,0,0,0,0
"K01606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01607",0.000436229249581588,0.000435829761274686,0.000467733385294437,0.000486140009686436,0.000512723129510065,0.000510765630629191,0.000438442578435059,0.000443956565868079,0.000437584575280664,0.000497272285506313,0.000560050145771621,0.000538083637680761,0.000580284270262329,0.000601912276803364,0.000463673245414324,0.00049544601537842,0.000445419661992194
"K01604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01602",0.00010630460373007,0.000128471479428894,0.000109944466570102,0.000105000787505906,0.000134166680427352,9.80546616177697e-05,8.73125287212266e-05,8.15133366839751e-05,8.53258319637308e-05,0.000138176147681372,0.00015294961134523,0.000191783556565034,0.000173869562019122,0.000163924133768093,0.000148034416839341,0.000148553829469801,0.000154301979542594
"K01601",0.000128526470046526,0.00015319250653112,0.000138525855412804,0.000142273794326185,0.000162857709011047,0.000135734093385497,0.000116138196098091,0.000106050514563335,0.000110396878886407,0.000164071531141424,0.00017924108614673,0.000217717923873261,0.000201697320704564,0.000201637398530425,0.000185430545700588,0.000176545129773666,0.000183701983116712
"K03750",0.000672061308327394,0.000687322414944581,0.00070180870121788,0.000682505118788391,0.000684250070179494,0.000783115207616974,0.00069348707022601,0.000699517511747174,0.000692719346905548,0.000695331507439056,0.000694637457255487,0.000757762984291619,0.000708421391651111,0.000688481361825991,0.000701419619055517,0.000710379214140245,0.000715207930084101
"K01609",0.000541332671348607,0.000546587748842929,0.000540334285420425,0.000525458486393193,0.000538937234762793,0.000540071855337424,0.000535154781300915,0.000539817913345917,0.000532180374173788,0.000538138437529208,0.000523325546048892,0.000537211894241829,0.000525060191010598,0.000518771670395494,0.000536527879879759,0.000535233649381772,0.000550337321805714
"K02553",9.04890412165571e-05,9.57696483015389e-05,8.59527898043301e-05,8.81824795504148e-05,0.000105888472398818,7.62402537522434e-05,7.9375026110206e-05,7.00765164859684e-05,9.56492042260094e-05,0.000102165380057237,0.000100575324240656,0.000158439370025886,0.000118429763707814,0.000100068719568235,8.87431451733223e-05,0.000104167624702243,0.000111643150827207
"K02804",2.3623245273349e-05,1.36257629697311e-05,2.39916767657718e-05,3.38638903428139e-05,2.2498720256279e-05,2.44585785158931e-05,2.38125078330618e-05,2.18339294689219e-05,3.1602159986567e-05,2.36699989439539e-05,2.42048498172534e-05,3.22545072404831e-05,2.69648824471343e-05,3.02134677925505e-05,1.35633627994161e-05,2.07935373685858e-05,1.51803940023224e-05
"K02551",4.42435356390688e-05,3.32857923974861e-05,5.02782095700087e-05,7.54551113678807e-05,4.91256460641688e-05,6.69856564759595e-05,8.60592388352759e-05,8.62960069485961e-05,9.3121031427084e-05,3.540384457429e-05,4.52797621581378e-05,4.46768512452637e-05,3.81822735451421e-05,3.34276664938856e-05,3.68148418841294e-05,4.69853969386315e-05,3.59333377016999e-05
"K02806",0.000241837968561064,0.00026687030045002,0.00026954127288154,0.000267729280696878,0.000252646179758583,0.000311571441634891,0.000219325730041359,0.000216259872835036,0.000218686947107043,0.000250659219585973,0.000245387098147327,0.000296174833377138,0.00027870902497358,0.000276421088314824,0.000250922211789197,0.000250922013438223,0.000253070619000742
"K02557",0.000835221858308576,0.000803336053944006,0.000790473593613124,0.000752278369360497,0.000809334698393302,0.000806472048361881,0.000762000250657977,0.000739650353532907,0.00075318481301318,0.000808623810076784,0.000832980693710996,0.000774326109631327,0.000775078581060427,0.000797978397584808,0.000836278197746854,0.000798351872238108,0.00084164716114142
"K02800",4.80472785220657e-06,2.53049883723578e-06,7.71906122029178e-06,1.04546238642244e-05,6.81153916015786e-06,8.59355461369218e-06,1.19062539165309e-05,1.3724184237608e-05,1.64331231930148e-05,2.02307683281657e-06,2.92127497794437e-06,1.96142273759694e-06,1.51003341703952e-06,1.92851922080109e-06,1.16257395423566e-06,9.99689296566627e-07,7.68627544421388e-07
"K05275",1.3613395581252e-05,1.14845716459163e-05,1.66898620979282e-05,1.65910335236605e-05,1.17653858220909e-05,1.96109323235539e-05,1.42039520407737e-05,1.47638951646996e-05,2.14894687908655e-05,1.11269225804911e-05,9.18114993068232e-06,8.28156266985376e-06,1.03545148596996e-05,1.34996345456077e-05,4.26277116553077e-06,6.19807363871309e-06,4.80392215263367e-06
"K02802",4.00393987683881e-07,0,4.17246552448205e-07,4.54548863661932e-07,4.12820555161083e-07,4.40695108394471e-07,1.25328988595062e-06,8.31768741673215e-07,8.42724266308453e-07,4.04615366563314e-07,6.25987495273794e-07,4.35871719465987e-07,8.62876238308297e-07,4.28559826844688e-07,5.81286977117832e-07,3.99875718626651e-07,1.92156886105347e-07
"K13300",1.0009849692097e-06,5.83961270131335e-07,1.25173965734461e-06,3.18184204563352e-06,1.65128222064433e-06,2.64417065036682e-06,1.25328988595062e-06,1.03971092709152e-06,1.68544853261691e-06,4.04615366563314e-07,4.17324996849196e-07,2.17935859732994e-07,6.47157178731222e-07,6.42839740267031e-07,1.93762325705944e-07,1.99937859313325e-07,1.92156886105347e-07
"K02558",0.000379573500324319,0.00038930751342089,0.00033358861868234,0.000295002212516594,0.000357296190491917,0.000270366449000008,0.000298491874503906,0.000290287290843952,0.000294742812141381,0.000377708444686854,0.000340745859927369,0.000369619218107157,0.000339973237893469,0.000311562994116088,0.000370279804424059,0.000361887525357119,0.000397572597351963
