"DS_2A"	"DS_2C"	"DS_2E"	"DS_3A"	"DS_3C"	"DS_3E"	"FS_1A"	"FS_1C"	"FS_1E"	"FS_2A"	"FS_2C"	"FS_3A"	"FS_3C"	"FS_3E"
"K10041"	6.17905551205543e-05	8.71585109272449e-05	7.60726761339455e-05	0.000106678123604873	8.07927482387793e-05	9.18854634571512e-05	6.94842840802597e-05	6.5636688836322e-05	7.88463138048632e-05	1.26058461330421e-05	9.54476371815047e-05	6.88962189755026e-05	4.89851220719664e-05	4.93044184543843e-05
"K10040"	1.83440710514146e-05	1.62155369166967e-05	2.4672219286685e-05	2.19201623845629e-05	1.95861207851586e-05	1.3126494779593e-05	1.24715381682517e-05	6.04548449808229e-06	1.90617461945823e-05	3.15146153326052e-06	2.44737531234627e-06	1.80190111166699e-05	7.29565647880351e-06	2.07597551386881e-05
"K10039"	5.79286454255197e-06	6.08082634376127e-06	4.11203654778084e-06	2.19201623845629e-05	2.44826509814483e-06	2.10023916473488e-05	8.90824154875124e-06	1.55455315664973e-05	7.79798707960185e-06	3.43795803628421e-06	7.34212593703882e-06	1.48391856254929e-05	4.16894655931629e-06	2.59496939233602e-06
"K10202"	4.82738711879331e-06	4.05388422917418e-06	4.11203654778084e-06	7.30672079485432e-07	0	0	0	8.63640642583184e-07	0	1.14598601209474e-06	0	0	1.04223663982907e-06	3.45995918978136e-06
"K10201"	0	0	0	0	0	5.25059791183721e-06	0	1.72728128516637e-06	0	0	7.34212593703882e-06	0	1.04223663982907e-06	0
"K10200"	6.75834196631063e-06	0	5.14004568472605e-06	3.65336039742716e-06	3.67239764721724e-06	3.93794843387791e-06	8.90824154875124e-07	0	0	2.86496503023684e-07	2.44737531234627e-06	0	0	0
"K02031"	0.00243300310787183	0.00265934805433826	0.00257721890632164	0.00281674086641634	0.00331617507543717	0.0028287596250023	0.00203553319388966	0.00214528335617663	0.00198762026228963	0.000391067726627329	0.00195300549925233	0.00229159423730826	0.00199379869199302	0.00233114750411519
"K02034"	0.00208543123531871	0.00242016888481699	0.00258030293373248	0.00175215164660606	0.00259883340168073	0.00192828208312222	0.00210145418135042	0.00196823702444708	0.00191657193556437	0.000337206384058876	0.00225158528735857	0.00184535872671308	0.00160087547877746	0.00224205355497832
"K02033"	0.00101375129494659	0.00155669154400289	0.00116370634302198	0.000865115742110751	0.000987874967101438	0.000891288995534366	0.00143868101012333	0.00137577954363501	0.00111944436742729	0.000214872377267763	0.0011796349005509	0.00170120663777972	0.00176346439459079	0.00161666593142534
"K02035"	0.00108423114688098	0.00164587699704472	0.00122024684555396	0.00106678123604873	0.000893616760822862	0.000761336697216396	0.00152241848068159	0.00156578048500331	0.00120262289627637	0.000255268384194103	0.00198971612893752	0.00152843611942577	0.00145704682248104	0.00168067517643629
"K02050"	0.00232486963641086	0.00264921334376533	0.00236133698756315	0.00193335832231845	0.00203206003146021	0.0015869932188528	0.0023205969234497	0.00263237667859354	0.00261145922865778	0.000365856034361245	0.00270190234483029	0.00212942313725823	0.00156856614294276	0.00222561874882686
"K02051"	0.00248513888875479	0.00258435119609854	0.00288459363826826	0.00268229720379102	0.00206755987538331	0.00190990499043079	0.00295842701834029	0.00288974159008333	0.00325869215626473	0.000556662705375018	0.003152219402302	0.00352642646971534	0.00270356184371662	0.0033215608221901
"K06073"	0	0	0	0	0	1.3126494779593e-06	0	0	0	0	0	0	0	0
"K06858"	0	0	0	0	2.44826509814483e-06	0	0	3.45456257033273e-06	0	0	0	0	0	8.64989797445339e-07
"K05652"	0	0	0	0	0	0	0	0	0	0.000493919971212831	0	0	0	0
"K05646"	0	0	0	0	0	0	0	0	0	0.000426879789505289	0	1.05994183039235e-06	0	0
"K05647"	0	0	0	0	0	0	0	0	0	0.00105287464861204	0	0	0	0
"K05641"	0	0	0	0	0	0	0	0	0	0.00048446558661305	0	0	0	8.64989797445339e-07
"K05642"	0	0	0	0	0	0	0	0	0	0.000263003789775742	0	0	0	0
"K05643"	0	0	2.05601827389042e-06	0	1.22413254907241e-06	0	0	0	0	0.000347520258167729	2.44737531234627e-06	0	0	0
