"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K07123",457.52,245.15,388.32,185.83,280.87,211.87,199.19,328.62,209.02,631.84,251,531.88,406.41,290.79,21.34,384.88,359.33,431.67
"K07124",10609.11,8469.30999999999,13254.65,5193.35,7746.38999999999,8584.62999999998,7892.21999999998,9123.84999999998,8093.34999999998,11751.09,5534.66,14456.61,14710.78,11162.56,1281.95,14003.22,11265.62,10325.06
"K07126",11813.45,9367.78,15140.3,5621.51,8998.24,10734.56,7795.97,8662.14,7944.72,14912.88,6779.26,16964.14,19212.36,15644.24,1909.92,16977.45,13319.24,11713.98
"K07127",4058.3,3047.36,5568.31999999999,2555.4,3063.99,3699.04999999999,3601.92,4191.99999999999,3942.58999999999,4816.24,2380.61,6773.08999999999,6322.76999999999,4592.32,756.26,5472.07999999999,4700.13999999999,4125.38
"K07128",66.5,48.5,69.5,71,69.5,81.5,138,173.5,158.5,37.5,24,55.5,74.25,30.5,3,33,43,22.5
"K07129",585.73,332.41,590,302.91,425.93,365.16,446.08,717.99,521.09,697.82,317.66,604.05,494,370.87,6,520.06,462.16,526.57
"K07130",1204.35,677,1301.92,608.33,857.05,1006.36,610.19,778.47,589.48,1033.92,615.59,1528.22,1591.61,901.28,85.17,1001.48,769.04,786.51
"K07131",2491.26,2157.46,3848.09,2030.45,2555.85,2304.46,3230.36,3889.24,3718.16,2833.27,1514.4,5144.07,3629.86,2734.94,728.14,3397.01,3249.93,2417.8
"K07132",15.85,19.1,61.45,16.85,19.85,17.85,34.45,44.8,30.6,14.9,13,20.9,21.8,19.1,0,21.5,27,19
"K07133",3339.52,2421.18,4423.19,2313.57,2843.53,3066.53,4086.13,5236.88,4112.15,2852,1476.3,3559.4,3444.88,2362.44,179.89,3045.3,2729.21,2550.55
"K07134",52.66,36.66,68.33,72.33,62.67,81.5,131.33,176,151.5,36.33,21.5,41.33,62,19,1,31.33,28.66,24.17
"K07135",50,34,60,70.5,61,80,127.5,164.5,140.5,33.5,20.5,35,60.5,18,1,29.5,26.5,20
"K07136",1152.68,670.94,1537.95,879.33,954.09,1071.7,856.1,962.65,927.809999999999,1180.72,600.69,1682.85,1463.01,1075.37,90.48,974.05,985.23,877.93
"K07137",2589.16,1624.65,3124.93,1431.83,2023.91,2152.15,1649.76,2115.1,1947.08,2146.72,1053.78,2373.16,2495.75,1791.95,193.45,1990.46,1601.11,1549.51
"K07138",157.64,71.84,151.48,70.33,112.99,82.24,167.83,263.66,183.58,97.25,56.49,92.97,137,79.12,1.33,132.57,117.43,121.24
"K07139",1966.74,1194.82,2629,1480.98,1754.28,1859.17,1662.62,2019.29,1853.87,1818.73,1194.73,2706.09,2314.84,1579.9,77.61,2039.47,1975.85,1718.15
"K07140",4666.73999999999,3483.53,6084.46999999999,2584.69,3541.46,4236.88999999999,4167.58999999999,4761.08999999999,4387.84999999999,5018.27999999999,2437.79,7146.31,6875.7,5322.91999999999,870.05,6072.00999999999,4998.38999999999,4179.79999999999
"K07141",8350.04,6822.78,10279.84,3475.93,5812.23999999999,6769.94,5985.50999999999,6858.08999999999,6146.75999999999,8620.85,3747.76,11573.51,10925.48,8468.96,1058.66,10557.54,8040.82,7855.09000000001
"K07142",705.98,409.66,758,374.16,493.68,504.16,553.33,918.99,645.66,762.32,339.16,678.66,546,405.98,19,594.67,522.66,570.82
"K07143",475.98,285,481.32,247.83,302,301.16,373.16,599.49,433.32,546.16,231.66,444.99,382.5,293.65,3.33,429.51,359.83,432.16
"K07144",436.98,229,342.82,168.83,262,170.66,189.16,306.49,186.32,577.66,242.16,436.49,337.5,250.65,2.33,371.51,334.33,423.66
"K07145",497.42,302.45,620.63,295.45,447.04,482.74,314.52,398.98,312.98,595.2,428.54,1081.45,834.58,426.82,17.29,567.17,537.09,524.07
"K07146",3667,2472.24,4961.33999999999,2323.06,3094.91,3441.78,2618.59,3196.96,2904.02,3893.12,2202.64,4695.05,5025.61999999999,3675.81,317.32,3401.39,3211.93,2835.74
"K07147",5389.21999999999,4566.32,6147.70999999999,2245.78,3668.14,3891.78999999999,3560.78,3979.68999999999,3552.03999999999,5766.78999999999,2536.15,7131.52,7177.37,5596.56999999999,712.9,6819.14,5191.92999999999,5125.46999999999
"K07148",1617.91,1050.33,2224.26,1228.35,1397.89,1576.13,1360.58,1607.59,1476.98,1838.72,1203.91,2764.97,2322.23,1549.05,61.43,1678.53,1651.34,1496.72
"K07149",958.92,506.65,1100.64,621.34,816.26,880.57,594.12,654.09,480.96,1156.46,821.75,1941.54,1631.29,884.99,30.08,1272.28,1104.28,1107.23
"K07150",2155.21,1470.23,2811.1,1672.67,1995.11,1938.57,1897.23,2300.73,2107.02,2588.97,1480.42,3589.2,2875.31,1893.7,75.1,2660.67,2494.76,2362.41
"K07151",1040.45,573.5,1042.9,560.25,727.18,737.56,854.33,1327.65,977.14,955.07,449.15,892.75,854,590.62,24.33,794.6,740.6,725.56
"K07152",16485.17,14464.61,19286.56,6656.49,11643.59,12791.53,11149.18,12962.88,11032.95,17491.68,7846.5,21994.92,21490.37,16241.47,1925.96,21027.33,16121.2,16318.84
"K07153",1601.33,1139.84,2164.65,1235.58,1570.29,1463.2,1316.55,1548.9,1472.76,1764.39,1221.19,2435.02,2001.76,1459.12,70.48,1698.3,1610.98,1479.68
"K07154",4874.66999999999,3223.28,6210.81,2578.7,3828.32,4542.53999999999,3110.32,3505.52,2979.19,5618.89,2676.11,6571.43999999999,7169.52,5380.18999999999,639.09,4650.24,3883.66,3605.96
"K07155",173.17,111.5,175.37,88.5,114,110.66,121.63,127.06,102.74,313.2,194,373.2,392,193,9,213.2,201,237.2
"K07156",2911.05,2072.18,3879.26999999999,1868.96,2749.65,2770.48,2656.21,3092.48,2855.39,3700.78,1944.16,5392.72,4652.1,3373.6,512.91,3411.28,3323.39,2722.79
"K07157",6802.43,5415.29,8547.92,3413.38,5378.36,6017.75,5278.32,5850.98,5464.39,7389.21,3687.82,10546.51,9844.63,7485.84,1108.71,9072.61,7119.57,6400.95
"K07158",715.98,410.66,770,390.16,496.68,521.16,563.33,931.99,651.66,789.32,353.16,706.66,586,424.98,20,612.67,541.66,581.82
"K07159",709.98,386.66,722,366.16,467.68,574.16,577.33,940.99,612.66,753.32,315.16,656.66,504,370.98,30,556.67,486.66,541.82
"K07160",6278.31999999999,4523.81999999999,8079.77,3752.57,5051.95999999999,5608.44999999999,5133.08999999999,5704.43999999999,5260.39999999999,7212.82999999999,4003.77,9846.9,9467.93,6688.55999999999,898.33,8168.79,6900.04,6078.94999999999
"K07161",5271.67,4077.1,6790.02,2664.71,3723.02,4672.29,4638.82,5088.67,4684.01,6320.47,3070.55,8642.69,8635.75,6358.77,966.65,7618.6,6127.22,5067.06
"K07162",2.66,2.66,8.33,1.83,1.67,1.5,3.83,11.5,11,2.83,1,6.33,1.5,1,0,1.83,2.16,4.17
"K07163",393.32,204,292.67,136.33,235.01,141.66,130.5,237.49,149.66,462.49,189.16,336.33,255.5,199.98,3,317.84,255.5,369.65
"K07164",3905.47,3337.45,5546.31,2487.64,3264.98,4151.69,4004.15,5077.79,4237.45,4176.84,2080.87,5262.67,4929.57,3804.41,467.04,5140.1,4516.19,3948.59
"K07165",1963.48,1808.2,2216.07,879.35,1820.56,1603.39,1421.72,1535.67,1247.77,3091.28,1273.37,4482.46,3755.36,2991.15,434.01,2147.66,1764.91,1682.28
"K07166",779.21,533.16,863.31,382.17,573.15,485.95,693.05,845.4,703.9,775.48,428.82,726.4,730.45,531.65,24.41,887.52,745.3,758.66
"K07167",1056.43,767.93,1309,515.79,854.64,882.71,663.93,763.43,608.71,1179.36,549.79,1632.07,1266.38,1142.93,146.5,953.36,801.64,695.29
"K07168",1128.02,658.38,1425.59,779.78,895.46,1043.46,797.569999999999,994.67,990.259999999999,948.14,419.67,1344.36,1126.43,917.619999999999,94.11,707.5,739.95,675.53
"K07169",297.38,196.77,404.4,290.47,295.33,267.61,297.33,358.79,381.48,382.71,202.6,590.57,443.7,327.2,24.05,390.87,398.8,341.36
"K07171",5902.32,4001.55,6856.56,3187.57,4529.98,4838.97,4430.99,5116.47,4537.65,5249.17,3034.94,7030.77,7061.59,4571.9,579.06,7948.47,5991.48,5424.15
"K07172",177.88,145.01,383.74,119.85,125.26,291.28,166.2,238.07,194.61,243.92,97.49,261.88,307.77,269.43,36.29,110.2,91.81,85.78
"K07173",1902.63,1189.38,2603.91,1370.99,1636.29,1781.76,1637.87,1889.4,1737.32,1720.5,1133.22,2565.02,2189.14,1474.53,55.33,1950.14,1923.31,1688.93
"K07175",4398.77,3301.46,5663.8,2664.07,3632.25,4142.31,3227.13,3815.59,3566.75,4466.02,2432.68,5979.46,5508.98,3835.5,485.76,4631.92,3989.84,3649.69
"K07176",436.66,252.16,431.33,239.33,290.17,363,338.33,583,341,532.33,204.5,444.33,304.5,233.5,16,350.83,277.16,376.17
"K07177",2376.84,1532.67,3229.88,1780.9,2075.68,2275.79,2389.02,2797.6,2487,2498.97,1571.95,4047.34,3298.46,2325.68,310.23,2897.85,2894.73,2303.03
"K07178",1393.77,986.73,1765.45,949.19,1182.55,1229.92,1326.05,1735.19,1571.42,1480.22,722.52,2104.81,1474.1,1116.82,230.27,1364.22,1308.3,1148.72
"K07179",355.98,199.66,455,232.66,295.68,321.16,407.83,639.49,493.16,321.82,185.66,365.66,354.5,247.98,7,345.17,318.16,262.82
"K07180",3458.71,2370.61,4421.24999999999,1950.18,2882.24,3128.32,2413.76,2759.66,2523.39,3670.1,2129.2,4964.43,4714.84999999999,3327.44,311.56,3899.13,3135.84,2970.57
"K07181",2019.8,919.08,2355.54,1051.74,1240.33,1837.7,1423.13,1619.77,1659.99,1017.98,286.74,1279.54,1341.1,966.92,160.33,644.58,648.5,495.2
"K07182",2919.97,1572.38,3385.95,1647.91,2275.88,2240.71,1483.16,1715.48,1384.69,2460.68,1522.07,3114.02,2841.18,2057.87,127.52,2218.85,2012.54,1955.54
"K07183",5442.96,4008.52,6969.75,2899.86,4083.62,4789.79,4803.13,5297.35,5091.12,5555.55,2633.88,7594.49,7712.08,5692.3,929.34,7069.84,5673.7,4724.45
"K07184",2098.18,1684.94,2542.95,1242.83,1966.59,1712.2,1484.1,1633.15,1632.31,2320.39,1476.19,3881.02,2839.51,1840.37,175.48,2488.05,2241.23,2239.93
"K07186",918.18,523.44,1232.95,725.33,775.59,800.2,745.1,879.15,831.309999999999,735.39,446.19,1112.02,854.51,599.37,22.48,709.55,741.23,676.93
"K07190",2.5,1,5,7,8.5,29.5,23,35.5,42,5,0,0.5,1.5,0.5,0.5,5.5,2.5,1.5
"K07192",2966.89,2669.65,3313.38,1049.87,1925.99,1836,1821.48,2250.89,1934.84,2781.44,1213.39,3745.6,3274.61,2465.61,209.95,3226.03,2497.3,2827.85
