"","DS_1A","DS_1C","DS_1E","DS_2A","DS_2C","DS_2E","DS_3A","DS_3C","DS_3E","FS_1A","FS_1C","FS_1E","FS_2A","FS_2C","FS_2E","FS_3A","FS_3C","FS_3E"
"K00903",2,1,0,10,1,7,0,0,0,0,0,0,0,0,0,0,0,0
"K00906",1548.46,1015.58,1901.04,1028.54,1368.65,1357.45,1182.12,1363.77,1310.38,1549.38,1021.24,2187.18,1892.54,1271.16,108.24,1403.98,1318.1,1176.98
"K00912",11389.2,9555.34000000001,13743.78,5421.03999999999,8745.04,9473.90000000001,8179.39,9804.54999999999,8630.48,12304.01,6056.25,15780.74,15030.38,11030.24,1228.97,14934.52,11876.9,11558.94
"K00917",1011.76,900.07,1377.12,604.94,736.53,1005.23,1660.14,1937.51,1797.21,1160.98,562.31,1865.84,1757.18,1119.24,189,1353.72,1366.46,1036.79
"K00918",310.8,139.34,232.81,186.83,215.83,217.32,354.49,486.98,404.64,133.49,77.32,127.65,238,103.8,3.16,150.19,141.5,117.15
"K00919",14028.2,11528.57,17684.23,7339.43999999999,10891.62,12040.35,11576.97,13784.62,12225.61,14707.73,7452.94,19390.34,18028.47,13270.58,1535.25,18141.73,14705.99,13602.62
"K00924",1817.32,1223.49,2215.82,887.5,1227.44,1549.12,1367.19,1737.2,1522.68,1642.16,708.46,1938.05,2141.56,1522.54,184.37,1653.43,1418.93,1303.82
"K00925",12651.2,10602.26,16148.21,6311.46999999999,9676.10000000001,10648.4,9765.66,11545.39,10195.57,13583.09,6563.13,17402.82,16881.65,12723.64,1532.73,15862.64,13027.58,12058.65
"K00926",1689.25,1175.8,2484.4,1447.12,1552.95,1760.49,1948.12,2381.34,2255.07,1864.25,1164.91,2722.05,2365.55,1722.76,89.56,2062.17,2050.79,1760.05
"K00927",15865.5,12854.61,19746.02,8194.97999999999,12316.54,13491.83,12840.67,15462.84,13558.76,16681.26,8454.48,22212.32,20308.33,14817.97,1727.4,20427.34,16636.3,15535.16
"K00928",17430.58,13382.79,21955.03,9304.91999999999,13536.02,15092.71,13824.42,16639.42,14375.64,17529.8,9144.2,23108.91,21470.53,15658.7,1684.59,21263.71,17423.85,16255.75
"K00929",334.17,310.83,552.94,209.42,304.52,316.33,443.24,385.78,667.25,186.59,132.67,228.12,213.36,232.28,18.25,421.53,308.78,257.53
"K00930",15230.09,12356.92,18923.9,7738.10999999999,11788.8,12888.32,12129.22,14433.84,12752.07,16051.01,8162.77,21412.82,19488.2,14386.5,1662.28,19551.48,16030.34,15023.24
"K00931",12190.2,9544.18,15505.46,6676.48999999999,9911.5,10649.18,9980.56999999999,11690.34,10507.15,12547.09,6664.28,17616.06,16033.12,11545.76,1406.79,15330.09,12631.87,11414.65
"K00932",323.25,210.36,464.92,323.26,315.12,303.68,352.24,435.49,425.21,416.05,250.46,637.87,502.36,367.82,10.71,417.19,418.03,371.57
"K00936",11807.82,8785.83,13649.44,5317.12,8760.51,9326.26,8308.24,9989.88,8858.98,11370.38,5574.77,14222.73,14244.37,10832.6,1217.84,13224.05,10676.71,9992.04
"K00937",11931.12,9844.08000000001,14625.79,5955.30999999999,9115.83,9846.57000000001,9110.25999999999,10538.21,9337.57,12944.27,6365.86999999999,17704.68,16296.28,12086.79,1499.39,15282.83,12381.88,11684.76
"K00938",424.37,286.56,677.83,267.44,361.57,427.46,409,535.39,420.18,384.42,282.33,464.54,512.98,466.09,18.32,556.24,552.29,441.71
"K00939",16331.3,13311.22,20327.25,8466.85999999999,12756.42,13963.82,13378.26,16128.24,14065.74,17221.71,8728.06,22848.2,21043.65,15254.88,1762.71,20875.92,17058.2,16001.07
"K00940",15404.69,12505.93,19156.37,7862.03999999999,11893.11,13123.91,12270.11,14887.7,12963.17,16265.05,8161.82,21697.18,19736.53,14383.36,1697.8,19645.82,15928.5,15024.59
"K00941",14430.2,11714.59,18229.16,7387.51999999999,11020.81,12223.46,11489.59,13849.94,12255.57,14504.62,7145.85,18990.13,17617.05,13037.16,1561.6,17141.75,13826.24,12923.23
"K00942",15129.98,12443.83,19085.46,7802.88999999999,11839.98,13049.49,12278.94,14560.12,12919.39,15873.35,8102.24,21512.77,19714.9,14374.56,1699.4,19626.24,15987.66,14898.58
"K00943",15796.71,12921.36,19878.71,8110.89999999999,12298.8,13481.48,13051.11,15857.36,13788.78,16682.24,8421.58,22271.13,20250.99,14874.05,1719.9,20405,16643.24,15533.74
"K00945",15786.5,12870.44,19628.23,8036.73999999999,12243.56,13324.26,12800.94,15396.43,13616.13,16630.85,8444.3,22283.54,20263.78,14737.5,1730.06,20575.94,16586.72,15609.18
"K00946",14820.64,12041.51,18242.6,7474.06999999999,11490.25,12452.6,11724.99,14123.66,12270.58,15681.83,7859.61,20878.64,18970.1,13808.94,1617.76,18958.49,15456.25,14483.11
"K00947",95.5,78,131,33.5,109.5,92,36,36,34,252,120,295,234,213,34,201,184,112
"K00948",17550.9,14181.1,22142.53,9192.78999999999,13934.08,15131.74,14387.71,17227.2,15088.46,18559.84,9486.41999999999,24960.59,22723.14,16849.31,2036.88,22642.93,18553.21,17177.03
"K00949",1175.02,952.26,1869.22,849.34,1000.14,1228.16,1377.44,1711.19,1558.71,874.11,582.01,1225.55,1095.26,941.06,56.63,1552.86,1129.29,1061.15
"K00950",15431.56,12659.78,19339.58,8065.25999999999,12194,13275.56,12189.81,14503.31,12828.92,16405.84,8484.45,22142.38,20082.43,14787.88,1697.47,19828.29,16143.54,15150.99
"K00951",16378.71,13087.63,20229.74,8580.95999999999,13028.4,14128.66,13351.79,15811.29,14109.79,16810.19,8841.42,23661.42,21190.91,15071.05,1855.01,20863.05,16895.76,15916.06
"K00952",749.98,427.66,818,393.16,517.68,565.16,646.33,1101.99,712.66,805.32,345.16,729.66,572,434.98,30,622.67,555.66,585.82
"K00954",15099.69,12412.62,18973.85,7762.64999999999,11808.86,12980.08,12236.17,14508.51,12831.1,15898.69,8100.99,21501.49,19734.5,14408.16,1701.4,19615.25,15965.06,14880.92
"K00955",5511.33,4428.36,7114.53,2652.17,4292.43,5038.97,4981.69,5486.84,5010,7003.69,3465.95,9376.65,9242.83,7287.82,1063.3,8070.23,6791.66,5454.33
"K00956",4826.36999999999,3878.51,5691.94999999999,2291.13,3319.8,3572.85,3492.39,4118.07,3669.81,4436.69,2056.12,5578.45,5361.52999999999,3959.52,405.72,4366.77,3807.84,3885.55
"K00957",10570.83,8691.45,13034.8,4869.21999999999,7330.99,8621.55000000001,7846.57,8907.16,7964.64,11609.26,5195.15,14345.45,14860.09,11251.24,1566.77,13559.73,10793.16,9962.19000000001
"K00958",2708.5,2227.6,3293.32,1560.9,2437.66,2368.6,2273.71,2641.39,2524.93,3221.49,1787.81,5463.71,3863.01,2505.87,429.36,3598.48,2972.1,2920.71
"K00960",439.08,232.33,454.67,216.17,352.25,357.25,241.25,260.42,193.5,554.34,396.83,945.59,771.58,397.33,13.25,596.17,524.92,518.09
"K00962",15068.19,12393.62,18882.85,7749.14999999999,11791.36,12923.67,12187.84,14449.18,12790.1,15860.94,8086.49,21470.54,19691.83,14350.16,1701.4,19630,15965.64,14892.92
"K00963",16005.56,12761.92,20029.63,8473.97,12578.65,13488.69,12492.71,14604.73,13328.51,16659.56,8518.59,23096.19,20676.86,14878.42,1743.28,19699.88,16280.87,15292.88
"K00965",8850.87999999999,7009.73999999999,10781.81,4378.72,6729.91999999999,6795.98,7571.84999999999,9079.31999999999,8174.15,8151.22999999999,4219.33,11538.76,9609.92999999999,6763.31999999999,796.08,10306.11,8712.23,8213.07999999999
"K00966",2585.48,2021.97,3441.19,1337.7,1607.55,2717.52,2356.93,3055.32,2445.21,2667.86,1112.16,3262.11,2915.9,2096.96,216.89,2985.34,2509.44,2328.07
"K00968",35.5,18.5,42.5,35.67,20.5,25,18.67,36.83,15,27.33,10.33,23.17,27.17,39,0,26.5,32.84,26.67
"K00969",14963.77,12365.16,18754.78,7679.62999999999,11715.56,12853.74,12150.43,14377.44,12761.01,15831.74,8099.36,21492.86,19676.54,14335.28,1700.07,19638.32,15980.19,14903.42
"K00970",13417.55,11361.3,16526.28,6519.48999999999,10212.82,10774.04,10559.38,12388.5,11065.18,13917.15,6685.55999999999,18824.91,17186.78,12650.93,1590.07,17030.48,13644.21,12926.28
"K00971",8344.72,7157.37999999999,10184.69,4273.2,6513.03999999999,6643.87,6953.78999999999,8473.67999999999,7261.50999999999,8419.13,4039.94,11218.14,9602.25,7153.96999999999,828.98,10143.13,8345.49,8012.30999999999
"K00972",141.14,139.02,175.53,70.53,89.01,132.81,119.61,158.72,134.45,109.02,39.85,136.62,129.03,96.5899999999999,9.65,180.99,158.08,147.6
"K00973",16273.75,12623.57,20427.15,8578.7,12770.27,14198.3,13218.76,16423.07,13893.95,17589.26,9138.63,22129.91,21235.62,15726.4,1658.35,20996.65,17282.57,16013.24
"K00974",7851.98999999999,5901.22,10024.81,4496.77,6610.57999999999,7282.03,6386.61,7665.66999999999,6878.45999999999,7898.15999999999,4723.11,11684.53,10096.64,6503.94999999999,654.02,9405.01999999999,8081.97,7410.97999999999
"K00975",10681.96,8905.51,13714.87,5464.92999999999,8319.35,9348.37,8367.32,9936.08999999999,8770.62,11129.16,5606.01,15038.18,13435.1,9840.91,1046.07,13111.05,11031.87,10488.53
"K00978",3970.17,3603.38,4368.81,1418.66,2368.15,2544.81,2916.28,3205.7,2859.17,4303.12,1753.45,5283.57,5593.66,4159.62,574.16,5709.57,4334.52,4226.22
"K00979",11681.83,9947.5,14213.91,5558.24999999999,8987.33,9754.23000000001,8500.86,10251.74,8925.33,12582.95,6166.55999999999,16144.09,15311.15,11277.67,1256.6,15313.07,12184.89,11834.1
"K00980",319.16,254.02,415.72,231.57,293.52,300.91,304.47,410.88,359.8,262.17,148.98,442.22,354.53,284.93,17.77,328.76,319.21,298.82
"K00981",15309.62,12598.49,19232.67,7891.81999999999,12012.49,13169.51,12398.45,14749.22,13049.87,16072.83,8232.13,21780.68,20008.78,14533.61,1718.12,19856.21,16145.09,15080.83
"K00982",7346.57,5705.36999999999,9134.55,4036.5,6001.46999999999,6592.26,5642.05999999999,6409.15999999999,5920.96,8270.24,4177.80999999999,11399.35,10719.57,7998.03,1117.44,9381.23,7721.36000000001,6871.69
"K00983",934.35,604.57,1403.5,494.8,787.04,973.99,498,551.65,506.93,853.62,408.66,772.13,1135.85,1026.95,87.12,636.45,656.97,511.7
"K00984",40.14,40.68,39.39,15.03,29.67,39.16,25.87,41.58,31.79,38.87,32.87,62.71,62.92,54.95,1,40.58,35.07,43.2
"K00986",1615.39,1052.17,1706.22,602.59,1303.13,1135.11,749.1,864.77,763.96,2128.89,988.85,1933.26,2775.13,2250.11,164.34,1901.11,1726.14,1405.97
"K00988",41.88,34.99,87.67,25.67,39.7,54.21,27.2,45.13,20.2,79.85,25.34,138.56,115.24,121.47,37.01,30.04,41.34,33.84
"K00989",13819.23,11485.85,17140.08,6849.59999999999,10598.09,11492.36,10629.23,12453.13,11129.63,14509.84,7118.79,19842.73,17945.71,13058.76,1616.3,17386.33,14047.17,13308.7
"K00990",10619.16,8971.78,12421.87,5047.27999999999,8146.52,8200.52,7404.1,8441.21,7734.15,11258.24,5353.16,14833.97,13815,10168.31,1305.29,13135.19,10530.48,10116.3
"K00991",11630.43,9419.35,14606.31,6379.88999999999,9250.18,9773.46,9760.76999999999,11911.58,10553.57,11375.06,5996.44,15021.9,13566.83,9578.99,1015.42,13889.61,11640.78,10928.18
"K00992",4651.11,3864.22,5544.79,2189,3717.9,4165.96,2952.9,3263.55,2977.73,5733.26,2810.42,7614.06,7712.33,5747.39,802.42,6586.04,5003.26,4629.59
"K00995",18899.08,15898.72,23624.75,9560.42999999999,14414.13,15883.72,15899.66,18857.23,16611.87,19504.23,9706.38,26324.66,23634.23,17225.07,1981.1,25543.75,20630.87,19541.02
"K00996",1079.41,818.19,1527.38,672.86,999.089999999999,1045.75,738.509999999999,904.46,825.69,1489.49,740.46,1752.84,1727.6,1427.52,86.55,1334.21,1227.37,1044.9
"K00997",13520.57,10942.48,16801.59,6792.03999999999,10269.64,11184.75,10867.16,12648.48,11408.85,14082.06,6991.02999999999,19351.12,17639.75,12709.62,1564.2,16888.35,13739.72,12873.77
"K00998",925.18,528.44,1240.95,739.33,785.59,816.2,745.1,885.15,848.309999999999,814.72,460.52,1166.02,938.51,675.37,31.14,716.55,746.23,677.93
"K00999",24,2,22,10,18,15,1,3,2,7,3,3,4,3,0,1,1,1
"K01000",14829.7,12162.39,18583.31,7700.75999999999,11708.81,12812.82,11946.17,14185.7,12530.4,15715.95,8051.2,21228.94,19527.81,14203.66,1681.43,19123.65,15740.19,14625.13
"K01001",396.65,230.67,507.65,259.66,298,384.16,463.66,736.32,539.82,320.99,159.83,361.32,332,236.32,16.33,310.34,302.33,234.49
"K01002",540.69,370.58,807.62,517.14,548.29,561.53,563.48,687.16,643.17,618.8,350.97,871.19,711.84,514.51,13.98,584.54,587.65,541.27
"K01003",478,403,685,183,414,471,212,231,198,649,282,545,870,801,50,542,477,380
"K01004",1845.15,1458.3,2330.15,795.32,1316.49,1617.5,1334.3,1476.12,1317.65,2305.97,1041,2435.66,3305.16,2658.3,348,3399.3,2461.32,2119.32
"K01006",11997.7,10017.49,14547.13,5630.77,9110.08,9737.75,9601.16999999999,11486.39,9960.4,13126.9,6313.52,16326.06,15791.48,12062.83,1400.88,16705.47,13377.87,12322.31
"K01007",8580.44,6197.93,10492.55,5005.75999999999,7204.70999999999,7185.23,7483.94999999999,8484.00999999999,8082.92999999999,9003.00999999999,5071.19,12941.29,11374.91,7754.24999999999,998.26,10249.93,8849.4,8052.78999999999
"K01008",7889.36999999999,6275.42999999999,9494.88,4009.2,6197.00999999999,6385.69999999999,6542.25999999999,7680.97999999999,7132.10999999999,7402.91999999999,3946.41,10394.02,8712.47999999999,6199.88999999999,720.7,9349.52999999999,7685.5,7307.14999999999
"K01011",14104.93,10432.33,18446.42,7997.00999999999,11241,12530.93,12156.12,14062.88,12851.36,15192.19,7971.84,20359.6,19607.59,14844.19,1947.3,18427.96,15025.06,12878.02
"K01012",11755.05,9446.63,14761.03,6433.11999999999,9663.71,10007.19,9549.33,11414.22,10362.14,12575.39,6579.77,16875.99,15620.59,11014.35,1371.5,14930.57,12459.83,11328.39
"K01014",0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0
"K01023",2.92,6.16,10.49,8.85,3.28,5.37,6.47,5.53,2.5,6.73,1.18,4.74,8.87,5,0,4.7,1.99,1.95
"K01025",190,87,180,129,120,140,82,93,99,87,60,79,113,80,7,269,211,136
"K01026",809.43,741.91,1072.84,365.09,727.75,781.85,439.58,557,536.1,969.77,451.26,1094.22,1296.51,1013.31,108.01,976.23,762.26,743.51
"K01027",77.49,50.96,174.29,58.3,64.81,110.98,80.12,110.63,96,144.46,44.96,138.48,148.99,124.34,19.65,86.97,78.78,66.14
"K01028",6280.72,4835.93,7584.45,2809.03,4036.77,4762.47,4115.43,4764.29,4177.08,6605.34,2967.95,7735.75,8557.4,6286.18,744.49,7349.24,5837.37,5719.67
"K01029",6279.22,4837.26,7545.12,2814.69,4054.27,4760.8,4092.93,4736.29,4175.41,6637.17,2978.95,7763.58,8585.07,6313.18,745.49,7368.24,5864.2,5749.5
"K01031",1248.92,757.83,1600.64,794.46,971.939999999999,1146.66,984.619999999999,1125.74,1105.69,1062.73,474.07,1359,1405.13,944.18,106.95,904.73,796.02,739.9
"K01032",1327.42,792.83,1681.64,835.46,1025.44,1210.66,1011.12,1151.74,1134.69,1125.56,492.07,1517.83,1543.8,1099.18,124.95,949.73,840.849999999999,780.729999999999
"K01034",1128.05,808.93,1441.97,513.73,954.72,1001.42,732.53,745.12,761.58,1393.42,783.06,1786.15,1813.02,1354.53,84.14,1515.39,1277.46,1107.55
"K01035",699.8,580.93,998.97,302.56,614.64,661.84,508.45,511.54,599.58,856.92,409.06,846.4,1044.27,970.03,71.89,947.89,766.21,610.3
"K01039",1443.59,1163.6,2058.8,717.95,1204.92,1366.12,1527.5,1849.22,1617.96,1618.76,790.39,2129.25,2195.84,1707.46,167.58,1886.04,1531.8,1286.51
"K01040",1291.57,1061.09,1754.45,561.54,999.950000000001,1151.69,1293,1521.72,1383.71,1460.74,711.47,1861.1,1977.33,1513.78,142.25,1718.62,1353.13,1155.83
"K01042",7759.12,6516.5,9688.49999999999,4062.56,6257.14,6187.36,6656.92,7809.67999999999,7356.3,7975.13,3925.08,11025.4,9208.32999999999,6741.54,717.64,9769.80999999999,8322.83999999999,7887.09
"K01045",105.69,62.83,152.95,90.13,97.28,97.1,95.74,110.67,114.71,86.11,55.97,109.36,96.98,72.98,2.13,86.6,77.55,67.41
"K01046",2275.7,1366.28,2713.25,1277.53,1690.86,1829.05,1489.97,1583.95,1459.11,2633.62,1814.27,3265.26,3156.12,1944.19,127.34,2449.29,2264.72,2008.39
"K01048",4006.67,2857.77,5052.26999999999,2179.75,3065.66,3525.61,2877.92,3197.24,2741.22,4786.65,2465.94,6242.63,6379.50999999999,4795.95999999999,539.23,5640.79999999999,4488.48,4038.35
"K01051",926.68,794.29,1555.77,797.05,911.71,1022.24,1034.28,1347.64,1242.67,1249.48,615.54,1616.41,1415.11,1217.25,64.38,1036.17,1147.33,1064.58
"K01053",8800.72000000001,7784.96,10632.55,3415.39999999999,6554.83000000001,6913.70000000001,5726.93,6228.82999999999,5536.71,10565.41,4304.03,12449.52,13661.37,11154.84,1403.08,11176.16,9083.24000000001,8250.80000000001
"K01055",4708.67000000001,3546.49,5863.45,2202.43,3409.14,4111.64000000001,3567.98,3982.89,3683.75,5553.15,2486.54,6410.88000000001,7667.77999999999,5735.38,709.08,6059.67,4889.91,4221.28000000001
"K01056",15120.44,12439.28,18967.77,7770.98999999999,11832.68,12968.29,12268.76,14538.76,12874.77,15897.01,8120.57,21531.99,19738.67,14372.19,1702.98,19665.75,16019.34,14919.17
"K01057",8624.34,7573.54,10553.8,3936.43,6372.48,6909.46,6438.63,7313.58,6642.69,9187.17,4122.82,12475.09,11539.22,8781.56,1203.47,10896.97,8772.64,8408.88
"K01058",1540.76,820.76,1977.49,1069.69,1182.09,1285.08,1019.15,1189,1152.47,1041.42,569.309999999999,1437.09,1168.97,819.38,40.31,840.99,871.95,790.3
"K01060",727.35,556.64,1096.95,651.58,940.97,725.26,857.55,1064.37,1024.17,786.93,443.27,1665.04,1055.6,788.6,222.07,828.27,926.45,638.15
"K01061",17218.73,14233.69,21048.08,7461.26999999999,12171.7,13797.52,12406.52,14160.13,12564.55,18523.42,8283.37,24665.82,23294.09,17741.54,2263.56,21386.69,16771.74,15968.67
"K01066",6756.71,5060.67,8593.65,3446.85,5346.27999999999,5935.09,5979.15999999999,6744.78999999999,6062.83999999999,8587.04,4235.83,11948.29,11048.31,7735.14,1021.58,8153.6,6960.87,6132.51999999999
"K01067",210.75,215.25,265,91.75,190,181.5,158.25,180.25,133.5,200.75,89,222.25,221.5,210.25,22,293.25,231.75,205.75
"K01069",6511.41,5053.05999999999,7987.28,3350.21,5152.81999999999,5717.03,4443.61,5009.64999999999,4507.60999999999,7618.15,3956.42,10186.34,9995.56000000001,7269.7,888.72,8366.61,6723.64,6225.84999999999
"K01070",4336.71999999999,3177.51,5425.97999999999,2307.26,3288.05,3744.57,3009.17,3332.22,2962.87,5006.88999999999,2533.1,6390.89999999999,6713.70999999999,5090.38999999999,683.19,5605.83999999999,4451.37999999999,3896.04999999999
"K01071",563.73,410.64,824.22,287.58,495.46,474.68,528.27,685.26,552.1,389.93,281.98,530.9,571.8,480.16,24.99,848.45,602.38,546.76
"K01073",27,16,36.5,12.5,11,37.5,18,18,39,17.5,9.5,13,10.5,9.5,0,18,7,7.5
"K01075",1318.37,972.62,1763.79,586.8,1119.18,1262.36,728.66,783.1,700.86,1727.31,1053.8,1927.54,2256.24,1732.15,147.16,1541.01,1338.95,1190.31
"K01077",3756.33,2595.58,5012.28,2348.26,3096.44,3477.37,2941.61,3607.84,3147.14,3934.09,2062.63,4749.4,4805.88,3531.2,204.82,4357.38,3793.81,3503.35
"K01078",703.79,500.07,632.67,284.25,433.45,476.29,485.95,450.05,486.78,781.84,320.83,1047.56,860.49,651.3,120.83,851.04,626.84,550.09
"K01079",6724.84,4727.99,8584.36,3987.29,5243.79999999999,6115.62,5467.84999999999,6526.96999999999,5616.87999999999,7107.64,3730.68,9447.69000000001,9136.63,7064.19,967.97,8069.56,6913.31,5763.26999999999
"K01081",3713.37,2396.78,4832.47,2276.83,3046.82,3619.23,2774.09,3207.37,3116.94,3789.96,2289.09,5383.89,4951.48,3647.16,467.73,3458.74,3321.97,2790.58
"K01082",6481.15,5172.85999999999,8212.85,3823.42,5576.02999999999,5978.86999999999,5437.22999999999,6217.97999999999,5673.01999999999,7882.72,4288.37999999999,10953.34,10266.84,7749.38,1045.85,10025.02,8194.16,7139.99999999999
"K01083",187.92,133,253.5,113.99,152.09,233.07,124.25,177.08,126.58,193.08,76.5,287.58,287.25,303.75,21.5,138.25,137.25,125.5
"K01085",569.09,377.18,830.12,507.04,525.79,565.829999999999,559.18,700.56,641.77,669.2,403.07,988.79,765.64,541.11,16.98,648.54,645.25,603.97
"K01086",9,8.5,15.5,19,37,18.5,9.5,19,19,19.5,16,25.5,21.5,27.5,0,16,26.5,21.5
"K01087",5358.83,4126.57,6719,2841.85,4164.84,4615.53,4762.32,5275.31,4851.22,6061.1,2822.7,8437.29,8004.89,6188.35,963.37,7401.19,5990.5,4983.56
"K01089",1315.18,748.1,1727.78,958.48,1112.09,1235.7,962.76,1144.48,1061.64,1205.89,665.52,1602.35,1483.34,962.53,101.98,1020.38,924.22,908.76
"K01090",15637.62,12975.68,19232.12,7256.68,11544.01,12546.32,11809.06,13798.44,12297.45,14728.54,7002.93,20803.26,17763.21,13283.25,1592.18,18277.07,14664.63,14228.66
"K01091",21774.8,17771.52,26932.98,10777.6,17053.44,18648.78,15846.47,18401.42,16499.12,24313.78,12222.19,31224.32,31211.71,23161.2,2854.48,28207.25,22425.64,20666.17
"K01092",22346.3,17831.03,28152.4500000001,11639.44,17479.95,19704.1,18488.03,21858.62,19293.49,24741.08,12251.96,33008.1400000001,31428.29,23669.89,2977.52,30496.6600000001,24789.58,22274.05
"K01093",2839.66,2631.94,3123,985.01,1927.03,1705.42,1625.23,1867.82,1677.29,3015.22,1164.04,3435.11,3363.18,2734.82,220.71,3074.93,2564.2,2749.24
"K01095",7372.12999999999,6155.41999999999,8578.54999999999,3555.25,5865.08999999999,5974.32999999999,5375.15,6445.32999999999,5642.23,7573.95999999999,4023.94,10210.81,8830.97,6228.51999999999,612.83,9260.09999999999,7427.11,7378.99999999999
"K01096",911.68,537.44,1223.45,706.58,779.34,791.45,736.6,871.4,822.06,756.56,471.19,1133.52,870.76,596.7,20.48,730.8,769.48,679.43
"K01097",1,2,7,12,3,5,4,7,4,0,1,4,0,2,0,3,1,2
"K01101",1545.83,1037.83,1883.19,888.11,1264.66,1248.36,1177.73,1476.02,1260.52,1608.08,993.9,2219.57,1876.14,1219.06,62.13,2001.66,1551.23,1593.74
"K01104",16150.2,12378.52,20239.54,8901.60999999999,12964.47,13983.51,13479.27,15802.52,13711.05,17793.23,9672.41,25019.96,22113.1,15308.11,1789.54,19530.68,16973.12,15603.71
"K01113",6345.21,5353.7,8068.61999999999,3096.99,4720.72,5173.66,5242.23,5939.93999999999,5498.52,6460.84999999999,2739.91,8759.58999999999,8297.14,6794.5,958.56,6710.32,6003.63,5339.88
"K01114",10493.63,9640.10000000001,10926.51,3344.85,6191.4,5729.48,6160.85,7038.84999999999,6390.68,10317.97,3607.39,12265.8,11585.91,8994.60000000001,1093.02,11230.78,9056.34000000001,9678.70000000001
"K01115",5,3,11,12,11,6,22,28,16,2,0,4,3.67,1,0,16,8,11
"K01117",44.42,44,47.83,34.67,37.41,48.92,32.25,50.41,52.67,67,36.33,97.58,96.09,108,5.24,36,56.75,48.75
"K01118",6488.04,4875.99,8578.77999999998,3874.66,5144.77,5952.99,5422.24000000001,6132.32,5936.06,7523.72,3892.46,10506.6,9763.05999999999,7271.10999999999,1015.11,8037.58,6949.92,5920.9
"K01119",2555.7,1611.87,3390.87,1828.78,2256.49,2356.39,2053.59,2528.71,2285.64,2481.21,1494.9,3472.36,2940.6,2166.52,105.86,2379.53,2354.32,2086.48
"K01120",422.91,222.03,496.569999999999,232.32,324.24,350.379999999999,305.9,325.21,376.3,286.11,153.82,390.32,302.61,228.3,13.92,285.57,269.5,241.37
"K01121",26,19.6,39.65,20.1,42.6,25.75,31.15,23.3,29.85,28.55,18,32.4,22.3,21.1,0.6,46.6,52.05,43.9
"K01126",21737.18,17012.95,28114.11,12649.64,17623.12,19669.87,19735.2,22846.37,20964.89,22586.61,11805.1,33623.76,28553.17,20899.3,2934.12,26623.38,23103.95,20371.82
"K01128",102,89,117,29,60,32,70,103,86,124,54,229,199,163,33,105,148,111
"K01129",12642.84,10499.02,15782.3,6348.11999999999,9720.49000000001,10238.18,10176.46,12036.24,10782.6,12911.3,6315.02,16879.01,15623.35,11777.39,1449.24,15370.35,12510.13,11642.11
"K01130",9232.86,6918.11,11074.07,4373.74,6755.3,6782.87,5630.57,6470.9,5616.77,10744.71,4992.19,13327.7,13539.18,9423.11999999999,1015.89,12299.24,10232.52,9351.17
"K01133",184.13,169.32,290.68,115.5,166.21,188.63,193.95,289.3,274.62,275.43,71.59,311.97,318.41,291.3,40.93,145.62,180.17,186.67
"K01134",138.58,123.74,170.91,52.96,135.62,91.57,131.08,248.71,148.26,161.21,87.65,226.11,164.24,110.39,13.48,185.08,161.29,146.43
"K01136",64.5,49,63.5,30.5,75,34,47,88.5,57,80.5,63,141.5,79,39,6,59.5,50.5,51
"K01137",28.5,19,34,11,16.5,16.5,13,6.5,11,60,10,46.5,46.5,49.5,6.5,27.5,21.5,14.5
"K01138",403.36,313.51,526.97,191.28,290.86,322.8,398.67,606.96,403.85,577.56,311.28,680.36,709.39,430.22,31.21,507.49,490.86,480.43
"K01139",2426.68,1783.61,3219.44,1413.1,2156.44,2279.12,1467.42,1722.78,1597.33,2831.94,1357.43,3239.58,3700.06999999999,3041.21,212.32,2602.9,2306.11,1982.91
"K01141",1539.67,961.599999999999,2003.12,1121.49,1362.09,1349.53,1185.1,1373.49,1364.47,1369.55,945.35,1963.69,1509.68,1153.37,58.14,1245.05,1271.9,1101.43
"K01142",19779.49,15746.59,24722.09,10123.83,15365.98,17281.01,15061.78,17650.31,15705.34,21405.57,10892.92,28148.59,27208,20275.37,2403.68,25201.55,20476.85,18770.54
"K01144",2308.5,1820.17,2851.5,1025.33,1773,1973.5,1430,1557.5,1381.5,2975.33,1375.5,3136.33,4222.17,3364,438,3948,2967,2536.5
"K01146",919.18,523.44,1234.95,726.33,776.59,800.2,746.1,879.15,832.309999999999,735.39,453.19,1115.02,858.51,600.37,22.48,710.55,746.23,677.93
"K01147",1758.47,1028.76,2242.62,1123.83,1302.29,1613.24,1178.55,1425.45,1349.09,1350.4,661.939999999999,1785.83,1833.92,1259.84,134.9,1138.59,1089.32,1028.02
"K01150",1048.18,593.44,1318.2,755.58,813.59,891.2,799.1,900.15,841.309999999999,1059.72,556.52,1446.27,1375.51,841.37,85.14,992.05,859.23,861.93
"K01151",8354.65999999999,6640.58999999999,10653.72,4439.59999999999,6309.13999999999,6735.75,7372.35999999999,9011.44999999999,8264.14,8137.12999999999,3994.45,11622.68,9511.34,7106.59999999999,935.77,9284.31999999999,8172.11,7517.62999999999
"K01153",12951.12,10214.45,15194.14,5930.53,10025.93,9880.92999999999,9167.78999999999,11434.08,9746.09999999999,12604.09,6635.57,16250.73,14962.82,10849.88,932.28,15300.75,12650.81,12257.05
