"WDG002"	"WDG004"	"WDG018"	"WDG033"	"WDG040"	"WDG048"	"WDG058"	"WDG087"	"WDG092"	"WDG127"	"WDG132"	"WDG140"	"WDG146"	"WDG154"
"K00060"	0	0	0	4.77074024707088e-07	6.74592464027677e-06	0	0	3.85865593365372e-06	0	0	0	3.01542222920743e-07	1.23932244054433e-06	2.62760536731165e-07
"K00065"	0	0	5.89957995993115e-07	1.24456060867654e-06	8.34856671020147e-07	4.95773924099783e-07	0	3.01694174610645e-06	0	0	3.99413345087104e-07	0	1.00913679789262e-06	0
"K00066"	0	0	0	0	2.50006663579761e-07	0	0	0	0	0	0	0	0	0
"K00067"	6.69894414183332e-06	1.66989272467536e-06	2.169818476619e-06	2.53376924440824e-06	7.75464061349057e-06	1.95816940717332e-06	1.9343218723523e-06	5.63338822401959e-06	1.99557116461623e-06	3.34965531554403e-06	9.40791202191634e-07	1.63944443001794e-06	3.53920257082949e-06	2.72262567370668e-06
"K00068"	0	0	0	3.63342558726704e-07	1.06322802932114e-06	0	0	9.38164158034399e-07	0	0	0	0	3.49367134146063e-07	0
"K00073"	0	0	0	0	0	0	0	1.14523784391687e-05	0	0	0	0	8.83866633595213e-06	0
"K00074"	1.36462038564867e-05	4.77309560561669e-06	4.51495082116595e-06	8.06767318649574e-06	2.3219688694359e-05	3.13684159652042e-06	7.31956349685987e-06	2.52381168577355e-05	1.65963437044298e-05	1.40173404556713e-05	2.35754747535574e-05	2.35325784218716e-05	2.25330046665751e-05	5.32106731186041e-06
"K00075"	2.24043922332228e-06	0	7.40879557573054e-07	2.91202255793849e-06	1.05003495176537e-05	8.50157642144539e-07	8.89842012381144e-07	3.56799355406157e-05	2.00577725822737e-06	1.60047099251954e-06	6.23870144121506e-06	2.49213328918693e-06	2.25125273936097e-05	2.80463909081346e-06
"K00076"	0	0	0	0	9.12340386384978e-07	0	0	6.74496617823743e-07	0	0	0	0	0	0
"K00077"	4.47629830373153e-06	8.03571086425088e-07	4.9218355525154e-07	1.53110512118934e-06	1.74033349268052e-06	0	0	7.28504880057715e-06	6.99754071059101e-07	0	4.47599825474889e-06	5.75713093030656e-07	5.23725897403687e-06	1.51267539952294e-06
