"","WDG002","WDG004","WDG018","WDG027","WDG028","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K15899",0.67,9,12,0.67,1,0.33,2.33,7,3.67,20.33,1.33,4.67,8.67,2,3.33,107.33
"K15904",56.82,107.5,77,160.33,862.34,30.16,88.17,113.32,548.33,59,113.34,38.16,125.17,14.66,76.17,149.17
"K15907",0,0,0,0,0,0,0,19.66,0,0,16,0,0,0,0.44,7.12
"K15910",0,0,0,0,0,0,42,0,6,127,2,0,0,0,7,0
"K15912",0,0,0,0,0,0,42,0,6,109,2,0,0,0,7,0
"K15913",0.67,9,2,0.67,1,12.33,2.33,1,32.67,20.33,3.33,2.67,6.67,0,2.33,0.33
"K15914",0.67,5,2,0.67,1,0.33,2.33,1,7.67,20.33,2.33,2.67,6.67,0,2.33,0.33
"K15915",0.67,5.5,2,0.67,1,0.33,2.71,1,8.05,20.95,2.71,2.67,7.79,0,2.45,2.21
"K15916",80.5,22,33,35,50.5,93,138.5,99,493,354.5,151.5,67,70.5,13.5,34,232
"K15918",93,8,20,21,82,90,872,406,231,279.5,89,95,77,52,70.5,210
"K15921",1,4,0,0,0,0.33,9.08,2.25,61.58,4,0,6,1,0,24,0
"K15922",308.24,201.25,841,573.92,1615.92,465.49,220.91,147.58,2931.17,118.25,257.93,310,374,78.75,258.91,1986.75
"K15923",52.08,33.4,82.83,10.33,10.42,57,631.25,214.5,714.66,1636.08,128.85,158.91,59.21,11.66,46.96,86.26
"K15924",0,1,0,0,0,0.33,0,0,51.33,2,0,0,0,0,22,0
"K15926",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"K15928",0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0.22,14.56
"K15931",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"K15935",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"K15936",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"K15937",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"K15938",0,0,0,0,0,0,0,18.66,0,0,0,0,0,0,0.44,18.12
"K15939",0,0,0,0,0,0,0,18.66,0,0,0,0,0,0,0.44,18.12
"K15942",0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0.22,3.56
"K15949",0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0.22,3.56
"K15960",0,0,0,0,0,0,0,9.33,0,0,0,0,0,0,0.22,3.56
"K15972",0,0,0,0,0,1,1,1,0,0,16,0,3,0,0,1
"K15973",280.5,133.5,262,98.17,208.67,160.66,2894.05,372.83,1696.71,861.45,373.05,225.5,299.62,71,599.28,685.38
"K15974",1132.59,7735.26,7163.56,652.1,1807.69,1275.66,1175.17,14890.53,7799.54,990.34,1804.13,833.34,1363.46,527.25,715.85,4873.13
"K15975",593.5,382.81,594.17,205.85,465.84,266.32,4122.29,981.31,2027.76,1283.07,745.12,651.51,554.5,151.99,1204.26,2732.84
"K15976",0,1,0,0,0,0.33,53.5,0.5,51.33,3,0,1,0,1.5,22.83,0
"K15977",14358.85,19965.31,23371.58,2754.79,6840.75,9448.57,15655.44,35336.31,63453.27,19082.73,30749.5,24355.2,34658.55,7712.76,7794.65,20691.73
"K15981",19,2,0,3,2,57,1234,44.33,34,4978,87,10,10.5,1,164.22,27.56
"K15982",19,0,0,0,0,62,1239,20,26,5295,87,12,5,1,209,0
"K15983",19,0,0,0,0,50,1232,20,14,4976,87,9,2.86,1,164,0
"K15984",11031.92,10608.66,14135.96,1166.5,2727.29,5580.09,6693.96,18635.52,46400.44,4187.45,25412.95,21555.19,28460.9,6368.85,5379.93,10697.28
"K15986",3245.05,380.67,537.28,236.67,435.16,681.77,4149.96,1018.61,4197.06,1752.42,958.39,1137.88,1631.73,140.52,890.63,4274.72
"K15987",11425.14,3886.41,5514.41,983.83,2124.01,2331.63,6748.5,3650.63,23091.04,3855.67,26444.18,22092.49,30219.67,6741.65,5229.06,5705.16
"K15988",0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0
"K16000",0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0
"K16004",0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0
"K16007",0,0,0,0,0,0,0,2,0,0,32,0,0,0,0,0
"K16011",9125.82,2523.33,3332.33,579.33,1510.84,975.49,3952.01,1839.32,15203.67,2254.01,23474.84,20165.66,25780.89,5799.66,4362.34,2523
"K16012",4590.89,8115.68,7738.26,887.61,2257.93,2010.29,8203.62,16175.33,10327.02,7774.7,2862.23,1940.31,3120.13,723.11,1817.45,7652.72
"K16013",4608.89,8186.68,8066.26,905.61,2328.93,2038.29,8206.62,16505.33,12856.02,7791.7,3305.23,1950.31,3430.13,730.11,1819.45,7778.72
"K16014",338,284.4,200,112,148,1353.33,1631,1690.33,4208.33,803,1365.27,171,535.3,16.33,207.55,395.76
"K16015",0,0.25,0,0.5,0,1,0,0,15.25,0,0,0,0,0,0,0.25
"K16016",3,0.25,0,0.5,0,5,1,5,46.25,0,0,1,0,0,22,0.25
"K16017",0,0.5,0,1,0,1,0,0,15.5,0,0,0,0,0,0,0.5
"K16018",0,0.25,0,0.5,0,1,0,0,15.25,0,0,0,0,0,0,0.25
"K16020",0,0.25,0,1.5,1,1,0,5,15.25,0,0,0,0,0,0,0.25
"K16021",0,0.25,0,0.5,0,1,0,0,15.25,0,0,0,0,0,0,0.25
"K16022",0,0.25,0,0.5,0,0,0,1,0.25,0,16,0,0.86,0,0,0.25
"K16027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"K16032",0,0,0,0,0,0,0,1,0,0,16,0,0,0,0,0
"K16037",0,0,0,0,0,4,0,0,4,0,0,1,1,0,0,0
"K16042",0,0,0,0,0,0,0,0.8,16,0,0,0,4,0,0,0
