"","WDG002","WDG004","WDG018","WDG033","WDG040","WDG048","WDG058","WDG087","WDG092","WDG127","WDG132","WDG140","WDG146","WDG154"
"K02600",0.000822720152557379,0.000911424406710846,0.000772461026389138,0.000799422516170497,0.000641401743607781,0.000916917912535356,0.000910066487582768,0.000759385177192201,0.000841216925825256,0.000889027945238931,0.00083383318494689,0.000753229190489922,0.000703009581423945,0.000742496757167777
"K07389",2.72423891575291e-06,2.09282297752203e-05,7.54420535326972e-05,2.21622083690831e-05,2.95576840372249e-06,5.66135757134421e-05,1.95293237678706e-05,0,0,7.63114116084919e-06,3.58637929009415e-06,1.49154295146519e-05,0,0
"K07388",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K04747",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01516",0.000791845444845513,0.00090514593777828,0.000759340669253017,0.000770136740825637,0.000560118112505413,0.000904707141303045,0.000815349267308596,0.000603041170123219,0.00079754435365633,0.00074308237053769,0.000793486417933331,0.000719669474081955,0.00069782131883041,0.000729078141074384
"K09977",0,0,0,0,7.98057469005074e-05,0,0,0.00012144579120537,0,0,0,0,1.29706564838366e-06,0
"K07518",0,0,0,0,2.66019156335025e-05,1.11007011202828e-06,0,5.58371453817795e-06,0,0,0,0,0,0
"K07519",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K11437",0,2.09282297752203e-06,0,0,0,1.9981262016509e-05,0,0,0,0,0,0,0,0
"K07512",0,2.09282297752203e-06,0,0,0,1.9981262016509e-05,0,0,0,0,0,0,0,0
"K07516",6.35655747009013e-06,2.09282297752203e-05,7.62620758537047e-05,2.29537158108361e-05,0.000467011407788154,6.21639262735834e-05,2.14822561446576e-05,0.000496950593897838,1.03982314687918e-06,7.63114116084919e-06,3.58637929009415e-06,5.09610508417274e-05,0.000617403248630623,0
"K10212",7.26463710867443e-06,0,1.47604017781364e-05,0,1.47788420186125e-06,8.8805608962262e-06,4.88233094196764e-06,1.39592863454449e-06,1.03982314687918e-06,0,8.96594822523538e-07,0.000283393160778387,2.07530503741386e-05,1.4909573437104e-06
"K10747",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K10217",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K10219",0,0,0,0,5.46817154688662e-05,2.22014022405655e-06,0,1.25633577109004e-05,0,0,0,0,0,0
"K10218",0,0,0,0,5.46817154688662e-05,2.22014022405655e-06,0,1.25633577109004e-05,0,0,0,0,0,0
"K10748",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K01912",0.000832709028581807,0.000728302396177668,0.000642077477348933,0.00106932655380826,0.000322178756005752,0.000699344170577814,0.000897372427133652,0.000237307867872563,0.000610376187218078,0.000695387738282383,0.000739690728581919,0.000329382401781897,3.37237068579752e-05,0.000700749951543886
"K01913",0,0,0,7.91507441752967e-07,0,0,0,0,0,0,0,0,0,0
"K01910",1.72535131331018e-05,1.04641148876102e-06,1.06602901730985e-05,6.33205953402374e-06,1.47788420186125e-06,4.4402804481131e-06,3.90586475357411e-06,1.39592863454449e-06,1.35177009094293e-05,0.000167885105538682,4.12433618360827e-05,1.11865721359889e-05,2.59413129676732e-06,5.88928150765607e-05
"K01911",9.08079638584304e-06,2.30210527527424e-05,7.70820981747123e-05,2.3745223252589e-05,0.000397550850300676,7.99250480660359e-05,2.14822561446576e-05,0.000477407593014215,1.03982314687918e-06,8.58503380595534e-06,4.48297411261769e-06,5.09610508417274e-05,0.000616106182982239,1.71460094526696e-05
"K01916",3.08747077118663e-05,1.77889953089373e-05,1.47604017781364e-05,2.4536730694342e-05,0.000400506618704398,1.55409815683959e-05,7.71408288830887e-05,0.000484387236186937,2.28761092313419e-05,1.71700676119107e-05,3.94501721910357e-05,5.34469557608361e-05,0.000621294445575774,8.94574406226238e-06
"K01917",2.72423891575291e-06,1.15105263763712e-05,7.3802008890682e-06,0,0.000121186504552622,2.22014022405655e-06,6.83526331875469e-06,4.04819304017901e-05,5.19911573439589e-06,9.53892645106149e-07,0,1.24295245955433e-06,0,1.4909573437104e-06
"K01914",0.000523053871824559,0.000790040674014568,0.000546954888112054,0.000355386841347082,6.94605574874786e-05,0.000585006949038901,0.000663020541919205,0.000100506861687203,0.000679004514912104,0.000516055921002427,0.000549612626206929,0.000620233277317609,7.26356763094851e-05,0.000665712453966692
"K01915",0.0016027605621013,0.00113326364232818,0.00128087486541384,0.00166295713512298,0.000842393995060911,0.00146196233754124,0.00133580574572235,0.00107765690586834,0.00130705769562713,0.00148044138520474,0.00145606999177823,0.00165809858104547,0.00139045437506729,0.00149468473706967
"K01918",0.000259710776635111,0.000595408137105019,0.000282907700747614,0.00036805096041513,0.000493613323421657,0.000140978904227591,0.000540962268370014,0.000570934811528695,0.000283871719098016,0.000146899467346347,0.000532577324578982,9.94361967643462e-05,0.000623888576872541,0.000269863279211582
"K01919",3.08747077118663e-05,1.67425838201763e-05,1.80404910621667e-05,3.56178348788835e-05,0.000249762430114551,5.32833653773572e-05,7.61643626946952e-05,0.000156344007068983,8.00663823096968e-05,7.63114116084919e-06,7.53139650919772e-05,3.60456213270755e-05,6.48532824191831e-06,2.83281895304975e-05
"K07774",0,0,8.20022321007578e-07,0,2.66019156335025e-05,1.11007011202828e-06,0,6.97964317272244e-06,0,0,0,0,0,0
"K07775",0.000355059138686463,0.000196725359887071,0.000161544397238493,0.000270695545079515,0.000342869134831809,8.88056089622621e-05,0.000167952184403687,0.000371317016788834,0.000360818631967075,0.00031955403611056,0.000142558576781243,0.000420117931329362,0.000675771202807888,0.000123749459527963
"K07776",0.000190696724102704,5.02277514605288e-05,5.98616294335532e-05,0.000220039068807325,4.87701786614212e-05,8.4365328514149e-05,4.29645122893152e-05,4.18778590363346e-06,7.48672665753009e-05,3.05245646433968e-05,6.09684479316006e-05,1.36724770550976e-05,3.89119694515098e-06,3.87648909364703e-05
"K07777",8.44514063883403e-05,2.92995216853085e-05,2.37806473092198e-05,6.09460730149785e-05,0.000289665303564804,1.77611217924524e-05,5.66350389268246e-05,0.000180074793856239,5.92699193721132e-05,7.53575189633858e-05,5.64854738189829e-05,5.59328606799447e-05,7.78239389030197e-06,5.36744643735743e-05
"K07770",0.000148016981089242,0.000155915311825392,0.000113983102620053,3.79923572041424e-05,1.62567262204737e-05,2.88618229127352e-05,6.63997008107599e-05,6.97964317272244e-06,0.000249557555251003,0.00019077852902123,2.60012498531826e-05,7.83060049519226e-05,3.37237068579752e-05,3.28010615616287e-05
"K07771",0,0,0,0,2.66019156335025e-05,0,0,6.97964317272244e-06,0,0,0,0,0,0
"K07772",0,0,0,0,2.95576840372249e-06,0,0,2.79185726908898e-06,0,0,0,0,1.29706564838366e-06,0
"K07773",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K07778",6.35655747009013e-06,1.04641148876102e-06,0,1.58301488350593e-06,0.000403462387108121,0,9.76466188393528e-07,0.000216368938354396,0,0,0,2.61020016506409e-05,2.59413129676732e-06,0
"K01193",0.000523053871824559,0.000240674642415034,0.000409191138182781,0.000314228454375928,0.00026010761952758,0.000178721288036552,0.000224587223330511,0.000570934811528695,0.000601017778896165,0.000519871491582851,0.000502989695435705,0.000669951375699782,0.00068355359669819,0.000748460586542619
"K04340",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K04341",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K04342",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K04343",0,0,0,0,2.95576840372249e-06,0,0,0,0,0,0,0,0,0
"K12986",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K04691",0,0,0,0,4.43365260558374e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K02931",0.000818179754364458,0.00090514593777828,0.000770820981747123,0.000789924426869461,0.00063992385940592,0.000910257491863186,0.000903231224264013,0.000759385177192201,0.000837057633237739,0.000873765662917233,0.00074507029751706,0.000748257380651705,0.000703009581423945,0.000696277079512755
"K02933",0.000822720152557379,0.000911424406710846,0.000772461026389138,0.000799422516170497,0.000641401743607781,0.000916917912535356,0.000910066487582768,0.000759385177192201,0.000841216925825256,0.000889027945238931,0.00083383318494689,0.000753229190489922,0.000703009581423945,0.000742496757167777
"K02935",0.000822720152557379,0.000911424406710846,0.000772461026389138,0.000799422516170497,0.000641401743607781,0.000916917912535356,0.000910066487582768,0.000759385177192201,0.000841216925825256,0.000889027945238931,0.00083383318494689,0.000753229190489922,0.000703009581423945,0.000742496757167777
"K02936",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K02939",0.000822720152557379,0.000911424406710846,0.000772461026389138,0.000799422516170497,0.000579330607129609,0.000916917912535356,0.000910066487582768,0.000604437098757763,0.000841216925825256,0.000889027945238931,0.00083383318494689,0.000753229190489922,0.000703009581423945,0.000742496757167777
"K00205",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00204",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00207",0,0,0,0,2.95576840372249e-05,1.11007011202828e-06,0,8.37557180726692e-06,0,0,0,0,1.29706564838366e-06,0
"K00206",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00201",3.63231855433722e-06,0,2.21406026672046e-05,1.58301488350593e-06,0,7.77049078419793e-06,0,0,0,3.8155705804246e-06,0,2.48590491910865e-06,0,0
"K00200",3.63231855433722e-06,0,2.21406026672046e-05,1.58301488350593e-06,0,7.77049078419793e-06,0,0,0,3.8155705804246e-06,0,2.48590491910865e-06,0,0
"K00203",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00202",3.63231855433722e-06,0,2.21406026672046e-05,1.58301488350593e-06,0,7.77049078419793e-06,0,0,0,3.8155705804246e-06,0,2.48590491910865e-06,0,0
"K00209",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00208",8.44514063883403e-05,0.000535762682245641,0.00028782783467366,0.000226371128341349,0.000489179670816073,0.00012210771232311,0.00050385655321106,0.000501138379801471,0.000142455771122447,2.28934234825476e-05,0.000234011248678643,6.4633527896825e-05,0.00061999737992739,7.30569098418094e-05
"K01000",0.000827260550750301,0.000896774645868192,0.000750320423721934,0.000794673471519979,0.000577852722927748,0.000767058447411539,0.000895419494756865,0.000596061526950496,0.000850575334147168,0.000897612979044886,0.000928872236134385,0.000754472142949476,0.000700415450127177,0.000757406330604881
"K01001",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K01002",1.63454334945175e-05,0,0,7.91507441752967e-07,2.364614722978e-05,0,1.95293237678706e-06,0.000184262579759872,0,2.86167793531845e-06,0,1.11865721359889e-05,0.000613512051685472,8.94574406226238e-05
"K01003",0,0,5.74015624705304e-06,7.91507441752967e-07,2.80797998353637e-05,3.33021033608483e-06,9.76466188393528e-07,5.58371453817795e-06,0,0,0,2.48590491910865e-06,1.29706564838366e-06,5.21835070298639e-06
"K01004",0,0,0,0,2.95576840372249e-06,0,0,2.79185726908898e-06,0,0,0,0,1.29706564838366e-06,0
"K01005",3.63231855433722e-06,5.23205744380509e-06,1.64004464201516e-06,7.91507441752967e-07,5.91153680744499e-06,2.22014022405655e-06,1.95293237678706e-06,1.39592863454449e-06,0,9.53892645106149e-06,8.96594822523538e-07,2.48590491910865e-06,1.29706564838366e-06,2.46007961712215e-05
"K01006",0.000721015233035937,0.000815154549744833,0.000625677030928782,0.000702067100834882,0.000149266304387986,0.000652721225872626,0.000826090395380924,0.000290353155985253,0.000764270012956196,0.000708742235313869,0.000730724780356683,0.000677409090457108,0.000692633056236875,0.000708950216934294
"K01007",0.000136211945787646,0.000108826794831146,0.000295208035562728,0.000272278559963021,7.83278626986461e-05,0.000222014022405655,0.000175763913910835,1.67511436145338e-05,0.000135177009094293,0.000250873765662917,0.000148834740538907,7.95489574114769e-05,5.18826259353465e-06,4.69651563268775e-05
"K01008",0.000132579627233308,7.53416271907932e-05,0.00023370636148716,0.000186004248811947,5.91153680744499e-05,8.99156790742903e-05,9.08113555205981e-05,8.93394326108472e-05,0.00020276551364144,0.000138314433540392,0.000303049050012956,5.34469557608361e-05,1.03765251870693e-05,0.000424177364285608
"K10855",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14115",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14116",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14441",0.000800018161592772,0.000882124885025538,0.000762620758537047,0.000785175382218944,0.000240895124903383,0.000739306694610832,0.000825113929192531,0.000228932296065296,0.000820420462887672,0.000880442911432976,0.000829350210834273,0.00070102518718864,8.30122014965543e-05,0.00073429649177737
"K14446",0.000119866512293128,0,0,0.000153552443700076,8.86730521116748e-06,0,1.56234590142964e-05,2.79185726908898e-06,0,2.67089940629722e-05,1.79318964504708e-06,0,3.89119694515098e-06,1.19276587496832e-05
"K14447",0,0,0,0,5.91153680744499e-06,0,0,2.79185726908898e-06,0,0,0,0,1.29706564838366e-06,0
"K14112",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K14445",0,0,0,0,2.06903788260575e-05,0,0,0.000184262579759872,0,0,0,9.94361967643462e-06,0.000610917920388705,0
"K08195",0,0,0,0,2.95576840372249e-05,1.11007011202828e-06,0,6.97964317272244e-06,0,0,0,0,0,0
"K08194",0,0,0,0,5.91153680744499e-06,0,0,0,0,0,0,0,0,0
"K14448",0,0,0,0,2.95576840372249e-06,1.11007011202828e-06,0,2.79185726908898e-06,0,0,0,0,1.29706564838366e-06,0
"K08196",0,0,0,0,5.91153680744499e-06,0,0,2.79185726908898e-06,0,0,0,0,0,0
"K08191",3.63231855433722e-05,0.000487627753762634,0.000124643392793152,5.54055209227077e-05,2.21682630279187e-05,1.88711919044807e-05,0.000388633542980624,2.79185726908898e-06,0.000121659308184864,4.76946322553075e-06,0.000219665731518267,3.72885737866298e-06,1.29706564838366e-06,6.85840378106782e-05
"K14119",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K08193",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K00702",0.000201593679765715,2.82531101965475e-05,3.1160848198288e-05,0.000236660725084137,3.39913366428087e-05,2.55316125766503e-05,0.000118152408795617,4.18778590363346e-06,8.83849674847302e-05,0.000250873765662917,8.69696977847832e-05,4.47462885439558e-05,9.07945953868563e-06,7.82752605447958e-05
"K10799",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K03518",0.000465844854593748,0.000313923446628305,0.000601896383619562,0.000375174527390907,0.00013005380976379,0.000609428491503523,0.00023532835140284,0.000182866651125328,0.000527190335467744,0.000455960684360739,0.000417813187295969,0.000324410591943679,4.79914289901955e-05,0.000873701003414292
"K03519",3.63231855433722e-06,0,1.64004464201516e-06,1.58301488350593e-05,6.94605574874786e-05,4.4402804481131e-06,1.26940604491159e-05,1.25633577109004e-05,3.11946944063754e-06,2.09856381923353e-05,1.79318964504708e-06,2.48590491910865e-06,0,2.83281895304975e-05
"K09719",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K10856",0,0,0,0,0,0,0,0,0,0,0,0,1.29706564838366e-06,0
"K03516",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K03517",0.000546663942427751,0.000657146414941919,0.000605176472903592,0.00064824459479568,0.000421196997530456,0.000277517528007069,0.000626891292948645,0.000462052378034225,0.000356659339379558,0.000230842020115688,0.000592649177688058,0.000307009257509919,0.000632968036411227,0.000469651563268775
"K02205",3.63231855433722e-06,0,0,0,0.00027193069314247,0,0,0.000174491079318061,0,0,0,2.61020016506409e-05,2.59413129676732e-06,0
"K02204",0,0,0,0,3.99028734502537e-05,1.11007011202828e-06,0,1.11674290763559e-05,0,0,0,0,0,0
"K02203",0.000444959022906309,0.000105687560364863,0.00029438801324172,0.000400502765527001,7.24163258912011e-05,0.000134318483555421,0.00010252894978132,0.000166115507510794,0.000140376124828689,0.000169792890828895,0.000289600127675103,0.00022124553780067,1.03765251870693e-05,0.000524071506314204
"K02201",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K02200",4.54039819292152e-06,1.04641148876102e-06,0,0,4.28586418539762e-05,3.33021033608483e-06,4.88233094196764e-05,1.11674290763559e-05,1.03982314687918e-06,0,0,1.24295245955433e-06,2.59413129676732e-06,2.23643601556559e-06
"K13714",0,0,0,0,4.28586418539762e-05,0,0,0.000368525159519745,0,0,0,1.86442868933149e-05,0.00122313290642579,0
"K13461",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12518",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K12519",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K12517",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K12514",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12515",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12512",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12513",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K12510",0.000341437944107698,0.000116151675252473,0.000352609598033258,0.000250116351593938,0.000128575925561929,0.000180941428260609,0.000171858049157261,9.77150044181141e-05,0.000288031011685533,0.0002327498054059,0.000383742584040074,0.000246104586991757,1.29706564838366e-05,0.00056507283326624
"K12511",0.000199777520488547,3.87172250841576e-05,9.43025669158714e-05,0.00010131295254438,9.01509363135361e-05,8.76955388502338e-05,0.000112293611665256,1.53552149799894e-05,0.000178849581263219,0.000117328795348056,0.000130006249265913,0.000159097914822954,7.78239389030197e-06,0.000109585364762714
"K07183",0.000546663942427751,0.000166379426713002,0.000364089910527365,0.000470155420401263,0.000404940271309982,0.000594997580047156,0.000292939856518058,0.000455072734861503,0.000433606252248618,0.000654370354542818,0.000470712281824857,0.000630176896994044,0.000662800546324051,0.00058370980006262
"K07182",2.72423891575291e-06,2.09282297752203e-05,7.54420535326972e-05,2.21622083690831e-05,4.87701786614212e-05,5.77236458254703e-05,1.95293237678706e-05,9.77150044181141e-06,0,7.63114116084919e-06,3.58637929009415e-06,1.49154295146519e-05,2.59413129676732e-06,0
"K07181",0.000129855388317555,7.22023927245102e-05,7.3802008890682e-05,0.000113185564170674,0.000184735525232656,7.99250480660359e-05,7.2258497941121e-05,5.58371453817795e-05,0.000223561976579023,8.20347674791288e-05,0.000138075602668625,4.97180983821731e-05,7.78239389030197e-06,9.61667486693206e-05
"K07180",8.53594860269246e-05,3.45315791291136e-05,5.2481428544485e-05,5.93630581314726e-05,0.000162567262204737,5.2173295265329e-05,6.44467684339728e-05,5.02534308436016e-05,0.000106061960981676,6.77263778025366e-05,8.69696977847832e-05,2.61020016506409e-05,3.89119694515098e-06,3.42920189053391e-05
"K07186",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K07185",0.000197961361211378,1.88354067976983e-05,9.26625222738563e-05,0.000229537158108361,0.000134487462369374,5.88337159374986e-05,9.17878217089916e-05,0.000388068160403368,7.590708972218e-05,0.000216533630439096,6.90378013343124e-05,9.94361967643462e-05,0.000625185642520925,0.000187115146635655
"K07184",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K09800",5.26686190378896e-05,5.65062203930949e-05,0.000124643392793152,7.44016995247789e-05,4.58144102576987e-05,8.32552584021207e-05,3.31998504053799e-05,1.39592863454449e-05,5.19911573439589e-06,9.53892645106149e-06,2.15182757405649e-05,2.48590491910865e-05,1.29706564838366e-06,4.47287203113119e-06
"K09801",9.08079638584304e-07,0,0,0,3.69471050465312e-05,1.11007011202828e-06,0,1.39592863454449e-05,0,0,0,0,0,7.45478671855198e-07
"K09802",0,0,0,0,1.47788420186125e-06,0,0,1.39592863454449e-06,0,0,0,0,0,0
"K09803",5.99332561465641e-05,6.17382778369e-05,0.000129563526719197,7.91507441752967e-05,2.95576840372249e-05,9.657609974646e-05,3.7105715158954e-05,5.58371453817795e-06,1.87168166438252e-05,2.09856381923353e-05,3.04842239658003e-05,2.61020016506409e-05,1.29706564838366e-06,3.65284549209047e-05
"K09804",9.08079638584304e-07,1.04641148876102e-05,7.3802008890682e-06,0,0,2.22014022405655e-06,7.81172950714822e-06,0,5.19911573439589e-06,9.53892645106149e-07,0,1.24295245955433e-06,0,7.45478671855198e-07
"K09805",5.0852459760721e-05,4.60421055054848e-05,5.65815401495229e-05,5.22394911556958e-05,2.95576840372249e-06,2.77517528007069e-05,1.8552857579477e-05,1.39592863454449e-06,9.35840832191261e-06,2.86167793531845e-06,1.79318964504708e-05,9.94361967643462e-06,0,3.72739335927599e-06
"K09806",7.26463710867443e-06,0,0,0,1.182307361489e-05,1.11007011202828e-06,0,4.18778590363346e-06,0,0,1.79318964504708e-06,0.000280907255859278,2.20501160225222e-05,1.4909573437104e-06
"K09807",0.00013076346795614,0.000546226797133251,0.000259947075759402,0.000138513802306769,0.000156655725397292,0.000106566730754714,0.000428668656704759,4.46697163054236e-05,0.000145575240563085,0.000189824636376124,0.000296772886255291,0.00033311125916056,2.46442473192896e-05,0.000152823127730316
