OTUID	WDG002	WDG018	WDG033	WDG040	WDG058	WDG127	WDG132	WDG154	WDG004	WDG092	WDG048	WDG140	WDG146	WDG087
355187	0.0	0.0	25.0	0.0	26.0	0.0	3.0	0.0	0.0	0.0	11.0	4.0	1.0	0.0
337303	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
301554	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
302809	3.0	11.0	3.0	0.0	10.0	40.0	2.0	3.0	3.0	11.0	1.0	2.0	3.0	0.0
1964005	6.0	80.0	49.0	3.0	29.0	7.0	6.0	0.0	35.0	1.0	41.0	14.0	0.0	0.0
365965	0.0	0.0	0.0	0.0	0.0	34.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
4363269	0.0	0.0	0.0	0.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
784040	7.0	0.0	16.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0
291105	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
290356	0.0	0.0	0.0	161.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	312.0
14993	0.0	0.0	0.0	129.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	136.0
509838	0.0	0.0	0.0	0.0	15.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4377150	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
351927	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
552988	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4334844	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
815169	0.0	103.0	8.0	1.0	11.0	9.0	1.0	1.0	4.0	0.0	61.0	11.0	0.0	0.0
333387	24.0	0.0	15.0	2.0	0.0	83.0	0.0	0.0	72.0	2.0	0.0	29.0	4.0	1.0
150162	5.0	0.0	1.0	1.0	7.0	0.0	4.0	10.0	1.0	2.0	1.0	0.0	0.0	0.0
149856	400.0	388.0	102.0	5.0	175.0	538.0	64.0	6.0	387.0	645.0	57.0	160.0	54.0	8.0
641783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
300487	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
353149	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
1110312	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0
559659	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
529531	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
341221	3.0	0.0	2.0	0.0	5.0	1.0	13.0	7.0	0.0	1.0	0.0	0.0	0.0	0.0
278650	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0
1625448	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
168383	8.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	7.0	7.0	1.0	0.0	0.0
306855	2.0	0.0	0.0	0.0	1.0	2.0	4.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0
172163	0.0	0.0	8.0	0.0	30.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
4439487	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4439489	1.0	1.0	0.0	0.0	4.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
314204	1.0	6.0	3.0	5.0	11.0	4.0	28.0	8.0	8.0	0.0	1.0	1.0	0.0	1.0
295861	3.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0	1.0	0.0	1.0	0.0	0.0	0.0
149219	4.0	0.0	4.0	0.0	3.0	5.0	7.0	1.0	2.0	0.0	0.0	11.0	0.0	1.0
4435655	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
307661	0.0	351.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	1.0	0.0	0.0
147484	11.0	0.0	8.0	0.0	0.0	55.0	5.0	0.0	0.0	2.0	1.0	9.0	8.0	0.0
581003	42.0	359.0	226.0	11.0	22.0	8.0	11.0	244.0	82.0	9.0	66.0	0.0	0.0	0.0
510233	0.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
330252	1.0	0.0	11.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
511229	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0
197249	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337345	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
766113	1.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
149035	8.0	54.0	3.0	0.0	0.0	8.0	0.0	0.0	1.0	0.0	14.0	4.0	0.0	0.0
515638	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0
291658	13.0	447.0	7.0	4.0	483.0	2.0	10.0	12.0	882.0	25.0	46.0	1.0	0.0	0.0
923114	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0
353214	1.0	1.0	1.0	1.0	3.0	1.0	2.0	8.0	2.0	0.0	1.0	2.0	0.0	0.0
146314	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0
576400	14.0	0.0	5.0	5.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
235212	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
767863	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
183620	2.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
254662	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
921020	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
313423	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	0.0	0.0	0.0
560535	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	688.0	51.0	0.0
291421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
531436	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4303423	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
321295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
4299664	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
345575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
1105552	1.0	0.0	0.0	0.0	1.0	0.0	2.0	25.0	5.0	0.0	0.0	0.0	0.0	0.0
337966	0.0	0.0	250.0	1.0	13.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0
577671	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0
792407	20.0	1.0	75.0	10.0	44.0	0.0	115.0	30.0	16.0	26.0	0.0	0.0	0.0	0.0
309815	11.0	0.0	30.0	1.0	0.0	0.0	4.0	23.0	0.0	8.0	0.0	0.0	0.0	0.0
4349261	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
4364652	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
528362	0.0	1.0	0.0	0.0	0.0	4.0	0.0	18.0	5.0	0.0	1.0	1.0	0.0	0.0
369486	1.0	1.0	0.0	0.0	3.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
299298	0.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
840961	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
326637	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0
1138331	0.0	0.0	0.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	223.0
583134	6.0	2.0	4.0	3.0	5.0	35.0	20.0	9.0	2.0	9.0	2.0	2.0	1.0	0.0
4401374	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
432444	1.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
332831	0.0	35.0	37.0	0.0	0.0	1.0	0.0	86.0	4.0	17.0	70.0	1.0	0.0	0.0
528109	0.0	0.0	1.0	0.0	3.0	0.0	0.0	79.0	0.0	2.0	0.0	0.0	0.0	0.0
73000	4.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
365634	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
907096	1.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	7.0	1.0	0.0	1.0
560906	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0
3146792	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
146867	3.0	1.0	5.0	9.0	1.0	0.0	3.0	1.0	0.0	14.0	7.0	0.0	0.0	1.0
324630	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
150089	130.0	17.0	44.0	1.0	8.0	31.0	52.0	5.0	15.0	58.0	8.0	56.0	8.0	0.0
177704	13.0	0.0	0.0	0.0	0.0	16.0	0.0	3.0	27.0	0.0	0.0	0.0	0.0	0.0
