"","BulkRAG1","BulkRAG2","BulkRAG3","BulkRAG4","BulkTP1","BulkTP2","BulkTP3","BulkTP4","RAG1","RAG10","RAG11","RAG12","RAG13","RAG14","RAG15","RAG16","RAG2","RAG3","RAG4","RAG5","RAG6","RAG7","RAG8","RAG9","RTP1","RTP10","RTP11","RTP12","RTP13","RTP14","RTP15","RTP16","RTP2","RTP3","RTP4","RTP5","RTP6","RTP7","RTP8","RTP9"
"K06175",145,747.33,256.67,269,1172,1481,1423.33,1156.67,3163.33,2400,0,225,796,2152.3,198.33,459,12614,3797.67,9080,734.67,2040.67,713.33,1233,215,1279,1538,1052,1189.67,2431.33,1281,3635.67,1300,1124,1979,1135,2113.33,1740.33,1036,815.67,2110.67
"K06176",1996.34,4025.66,2314,1088,6651,6978.83,6315.83,4550.34,7648.84,6711.33,176,2985,2153.34,4967.8,3440.33,188,4914.66,7727,5459.83,4727.33,1606.67,5631.34,1852,1486,6858.67,6771.83,5726,3665.67,7578.67,6268.83,8781,4164.83,7055.17,7873.67,5755.83,9255.49,8084,7742,2013.5,7414.01
"K06177",20312.5,19739.5,18420.5,10285,26104.5,26051.17,22445.83,14309.5,30187.67,18415.34,1343,9737.5,20092.16,23930.63,18686.5,5440,24231.67,32906.67,20612.17,15647.17,12455,20416.5,6718,6560,25886.83,19067.67,18254.67,12583.17,23081.17,23573.67,23268.5,15249.5,15050.5,25309,17563.5,29377,26850.83,21104.67,6184,24563.33
"K06178",67101.34,92350.34,67174.2,55029.92,116823.16,112351.26,96743.12,71215.91,127229.07,105385.14,12849,64858.15,83515.14,88609.71,76800.1,18783,122719.75,129744.84,110495.96,87397.73,172236.85,111306.57,98103.66,45591.33,120534.77,118577.6,107985.09,78280.27,120705.81,110666.47,124475.86,72890,105936.79,116175.13,89214.03,132788.15,120725.29,110002.13,41769.97,115728.46
"K06179",12790.5,21318.5,12238.5,10858,39493.5,37472,33304.39,25839,29750.5,23944,1343,13460.5,23660,20541.8,15054,3473,26406.5,32119,23923,17569.5,80637.84,20591.5,39447.33,4897,37849,35993,35871,26761.5,38071.5,37567,40801.5,26118.5,33695,35854,28766,42291,38977,35440,16736,36402.39
"K06180",94705.02,128324.66,102149.77,79121.42,159281.66,151346.29,125678.13,93416.4,187516.21,137726.73,18487,84235.45,106761.09,122402.71,104457.79,23778,176925.9,180952.85,162278.06,117388.86,127080.19,164772.38,83835.83,75630.33,165147.48,162707.46,145133.26,104005.65,161834.41,146453.23,156383.93,95247.49,143199.56,158375.74,120443.42,184186.45,167409.22,150958.06,56635.08,157615.68
"K06181",5480,8026,5424.5,4609,12071.5,11467,10517.5,6643,10370.5,9071.17,176,5887,6817,10459.3,4939,859,12246,9013.5,10731,8530,9958.5,7733,6389,1841,13062.5,12998,12350.5,7913,13955.5,12325.5,12230,8153,12120,13272.5,9400,16138,15597.5,12875,5503,12446.5
"K06182",12726,13758,15989,11560.5,10427,11425,6688.89,8051,16649,12603.5,2995,7158.5,9702,11544.8,9690,2756,27981.5,18550,24601,10112,12963.5,16861,8143,10970,10724,12181,9302.5,8771,11343.5,9964,14269,7888,10929,12596,8627,13875,14509,10675,5202,11986.89
"K06183",12548,19210.5,15733.7,12534.25,9472.5,9622.6,4931.29,7042.4,20331.4,12279.3,2819,7303.65,9292.3,12873.55,10607.6,2845,17483.75,19322,17348.8,11689.4,8449.5,18287.9,5606.5,13826,11545.6,12462.6,9650.25,6677.1,9544.3,8532.8,11261.2,6863,9689.8,10758.3,7980.2,14549.5,12679.8,8718.8,5054.8,10365.79
"K06186",3535,5271,3414,3167,3649,3341,3008,2176,4692,4594,0,2202,3587,4371.8,2444,459,6700,5658,4676,3385,3954.5,3726,2544,0,3649,3906,4149,2055,4402.5,3605,3820,2253,3192,3579,2738,5834,4192,3360,1444,4065
"K06187",67101.34,91560.84,67174.2,55073.92,114808.66,110138.76,95166.62,70228.91,125563.07,101959.64,12849,63683.15,80913.14,87221.21,76713.6,18379.5,119066.25,125407.34,107997.46,85409.23,107667.51,109878.57,68387.33,43218.33,119019.27,115822.1,105483.09,76101.27,117332.81,108264.97,113541.36,70239.5,104458.29,112387.13,86885.03,129450.65,117266.79,106830.13,40567.97,114170.96
"K06188",24529.17,40961.33,25992,24817.75,51201.33,48189.5,43296.83,27081.34,57917.84,44750.17,7973,35712.75,34251.5,39264.18,39860.33,10227.5,54626.25,64971.84,54952.17,38678.67,87339.01,48016.67,44766.83,12209,51593.84,49690.16,44013.25,31688.67,48734.51,52420.33,55633.33,32532.5,41498.83,50459.5,40954.33,58445.32,55997.66,50114,24136.17,51766.51
"K06189",4046,5916,3860,3990,3998,3678,3008,2561,5714,5400,0,2854,4205,5107.8,3109,459,7216,6248,5661,3385,3954.5,4424,2980,622,3649,4053,4275,2657,4547.5,3694,4149,2253,3344,3888,2838,5780,4285,3615,1444,4065
"K06190",11560,18908,10463,9510,37566.5,35996,32854.5,25140,25539.5,20186.5,1343,11913,22059,17570.3,14123.5,3473,23132,28815,20651.5,15710,78060.84,17012,37776.33,4275,36702,34805,34566,25111.5,35939.5,36477,36270,24311,34437,32326,27426.5,39911,36012,33895,15679,34663.5
"K06191",11835,6441,8351,5470,0,1839,2139,1995,7664.5,2276.5,854,0,3014,6411.8,7979.5,1967,7476,4964,1685.5,1776,69095.34,8651,33430.33,7031,3968.5,3918,866.5,1161.5,5015,1282.5,9332,3310,0,5338.5,4675.5,4653,11823.5,2883,722,4277
"K06192",4046,7109,4441,3990,2282.5,2047,3101.5,1220,8758,6154,0,6364,3334,5909.8,7005,0,7039,9921,5881,6329,4515,5039,2570,622,2015.5,2199,3306.5,2071,2576,1205.5,1246,895,1192,1799.5,1159,6120,1896.5,1713,444,1985.5
"K06193",20553,26065,21484.2,14480.75,35904.5,31981.6,25391.73,19162.9,41289.4,27470.3,4162,16566.65,27497.13,25173.55,20827.1,5654,38328.25,43465,38709.3,22905.4,81951.34,29269.9,41310.83,18101,31516.43,27798.27,24897.25,19952.27,29504.3,31755.8,36790.2,22962,26440.8,30401.3,27007.7,36589,34389.8,32684.47,18477.8,32741.23
"K06194",3535,5271,3414,3167,3998,3678,3008,2561,8616,6682,0,4534,5044,5789.8,6274,459,6481,9288,6324,3385,5834.5,5113,2544,0,4644,4053,4275,2657,4547.5,3694,4149,2253,3344,3888,2838,5780,4285,3615,1444,4065
"K06195",15197.5,22870.83,14316.17,12127,47681.5,47165,43039.83,30715.67,34319.83,25867,1343,16446.5,25125,25062.8,19536.33,3757,40434.5,38101.67,34954,21914.17,82571.51,24187.83,41161.33,6672,46568,44460,43759,33070.17,48318.5,46087,46770.17,31679.5,42425,44801,35634,53041.66,48162.33,45435,19830.67,44920.84
"K06196",47764.17,61320.01,45877.2,32041.42,83125.16,81499.76,70984.79,54712.57,79484.4,69601.31,7073,33168.65,50494.47,50146.41,48512.77,9077,69463.92,77083.67,64401.46,55659.73,90459.84,73536.4,54991.33,34012.33,87503.1,84876.77,78149.09,55194.1,84363.31,75925.64,84593.86,50376.17,79393.29,83245.46,63849.2,93791.99,84458.79,77922.13,30454.8,82270.12
"K06197",197,449,322,300,499,504,614,186,969,2324.01,0,770,401,1446.3,549,0,883,1565,440,339,328,736,139,179,267,341,516,568,308,544,588,226,518,515,219,734,868,0,0,1108.5
"K06198",0,2262,1849.2,0,1542,1493.6,638.4,811.4,2681.4,1767.8,0,1189.4,645.8,748,2063.6,0,2411,3414,2978.8,1971.4,914,2469.4,0,0,1903.6,2059.6,1188,595.6,1256.8,2305.8,1721.2,651,1086.8,1902.3,576.2,1970,2381.8,1939.8,660.8,2205.4
"K06199",87959.34,123579.34,92192.4,71365.17,113431.99,109272.36,94462.74,72757.81,145836.64,117762.61,18545,75082.8,87019.6,101156.29,91388.2,21737.5,124172.17,146057.51,114443.43,96534.3,114777.51,132860.97,74959.83,59653.33,121111.37,117481.7,107911.34,78880.04,119528.45,106834.77,118635.89,69494.67,106040.42,115537.76,91670.23,135745.48,120302.75,108837.6,40700.77,118825.58
"K06200",30803.67,34945.33,32252.5,29813.25,30122.5,32074,27389.55,19397.84,50577.67,37671.83,9627,30733.25,26455.5,39649.55,35817.33,11682.5,52919.58,50909.17,49480.5,32865.5,15546.17,48509.67,12460.5,25639,34106,34127,28867.25,21005.34,30976.5,28177.33,32875.5,19636.33,29760,34678.17,23321.33,39270.66,33428.5,30504.67,12539.17,34169.56
"K06201",15112,21178,15265.2,11433.75,9730.5,9593.77,6542.23,6839.9,26785.07,18619.47,3673,14385.65,15628.96,12236.88,12241.1,2181,31278.92,26577.17,34223.97,18649.07,79742.34,23070.9,41915.83,16062,11723.93,14649.27,10757.42,9719.27,14675.97,10339.97,20075.2,8912,13775.3,12518.8,15991.7,15092,13372.13,13654.47,4957.8,14016.73
"K06202",9606,10896.33,8373.67,12927,3049,3450,2594.33,2203.67,13184.33,10467,5776,16765,8088,15802.3,12681.33,6949,14153,14226.67,14017,7991.67,7328.67,15071.33,6091,3864,3417,3488,3573,2441.67,3531.33,3208,1864.67,1874.5,2636,2523,2062.5,5127.33,2589.33,2736,1421.67,3536.67
"K06203",4413,7995.33,5975.67,2970,30903.33,28387.33,28564.16,19920.17,14687.33,10826.5,0,5363,12878.33,9474.3,5526.83,2058,14447,13187.17,14327.5,12089.67,73369.01,10498.33,34346.33,2588,28637,25480,26970.83,21031.34,26791,28785.83,28118,19829.67,27327.33,26262.83,22969.5,28697.66,28150.16,26204.67,7984.67,26798
"K06204",33777.67,55172.16,38393.67,32573,75371.16,71327.16,61653.66,48569.01,79835.5,60630.83,8503,50032.5,52564.67,56143.8,44826.66,12287,70041.83,86969.84,66785,50287.67,92917.18,63368,52765.83,18553,68509.51,69214.99,70982.66,52542.84,74053.17,69249.49,69496.33,45025.67,69431.16,66392.33,50442.33,78619.65,69647.49,66166,21894.84,67837.01
"K06205",0,350,0,0,0,180,0,0,0,0,0,0,0,179.8,0,0,0,1164,977,460,662,0,562,0,106,0,0,0,0,0,0,0,0,0,0,350,3709,0,0,620
"K06206",1036,5861,1355.5,1593,11860.5,13209,10385.39,13373,7465,7601.67,0,1988,3913.5,5615.3,3801,205,8290,7032.5,8661,4859,4260,5823.5,4030,622,13105.5,16354,15100.5,13258.5,14620,11639.5,11630,6979,17712,12065.5,9716,13661.5,13695.5,11755,1989,13280.89
"K06207",66501.84,90573.34,66625.2,54441.42,114697.16,109204.76,95166.62,69721.91,125487.57,98902.64,12849,63356.15,80870.64,87004.71,76113.6,18174.5,116195.25,123382.34,105115.46,83289.73,107667.51,108305.07,68387.33,43218.33,118620.27,114316.1,104955.09,76101.27,117332.81,107483.97,113215.86,70092.5,103839.29,111705.13,86218.53,129450.65,116477.29,106830.13,40567.97,113500.46
"K06208",25015.17,30436.01,28226,16275.17,40676.83,34256.16,30552,24236.17,45892.83,42063.34,4700,22281.5,31533.84,27335.33,27133.17,4731,39288,42387.5,41102.49,37341.66,10730,41344,12980.5,21348.33,42686.33,39362.34,38054.34,28328,38720,35550.84,39667.33,21210.5,39227.16,38449.83,30620,42458.83,37865.83,37274.33,13963.5,41126.66
"K06209",8731,8225,10767.5,8729,5680,5843,2259.89,3951,12759,7119.5,2819,4504,6241,7996,6566,2386,10467,10849,10742,7173,4149,14006.5,4185,13689,6334,6752,6047,3520.5,4494,4624,6259,4301,6703,5870,5651,7523.5,7171,5411,3600,6415.39
"K06211",0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06212",0,0,0,0,200,211,0,0,450,0,0,0,229,1.3,0,0,366,379,0,0,187,320,0,0,267,341,256,378,308,253,292,226,243,218,219,346,532,0,0,554
"K06213",28622.01,41876.16,30217.7,23911,75709.5,71456.43,60736.56,43781.08,66874.74,54308.3,4338,32456.9,46726.48,50897,35394.43,9008,72302.32,66887.67,62766.3,43287.06,153109.02,52737.91,81657.16,37944,71692.94,71104.43,66631.17,49125.94,73402.63,70929.63,79046.2,48108.66,65640.97,72366.64,55469.86,81885.65,74504.8,70019.13,30558.47,69485.08
"K06214",0,0,0,0,149,0,251,0,0,0,0,1166,0,475.3,565,0,9838,1954,6438,0,2090,246,760,0,196,246,305,145,297,0,0,489,0,227,0,761,396,0,0,0
"K06215",44296.17,55754.01,43821.7,35785.92,46272.16,44139.26,37396.29,30478.57,68418.4,59882.14,11330,37786.65,41069.47,46448.41,47683.27,13796.5,57869.42,67347.67,57051.96,50026.73,19500,68603.9,21656,29834.33,53593.6,52317.27,45039.09,32354.1,50542.31,43500.14,48469.86,28061.17,46133.79,50126.46,38902.2,54988.49,49093.79,43764.13,14985.8,51174.12
"K06217",65683.17,88061.83,64340.7,53114.25,110783.83,106594.1,92594.56,67501.24,116733.24,96692.97,12849,61565.15,73686.13,83221.68,71810.93,18379.5,112361.25,118879.34,103401.97,81733.07,106480.51,103248.57,66521.83,42184,113394.27,110270.93,100960.25,73030.94,112469.81,103493.13,107981.53,67800.5,100498.63,107603.3,83544.53,123808.82,111847.46,101882.47,40266.97,108974.74
"K06218",1508,3180,1438.5,1212,3313,3774,1052,1563,3176,2845.34,528,2653,2802.5,3032,1960,1022,5245,3061,4279,1821,2355,3291,1068,1563,2035,2170,1931,1156,2176,3211,2839,1265,2887,2190,1287,2582,3178,2379,72,1562
"K06219",0,0,0,0,0,180,0,0,0,0,0,0,0,179.8,0,0,0,0,0,0,662,0,562,0,106,0,0,0,0,0,0,0,0,0,0,350,189,0,0,0
"K06221",13947,19480,15223.5,9234,4049.33,5179.33,5303,3307,13269.5,11618,1710,7816,6138,8080.3,10285.5,1967,11651.5,14934.5,4708,4616,71050.84,13187,35149.83,7031,7245.67,7312.83,4760.83,4338.5,11242.67,4838.83,15411.33,4992.67,4226.33,9753.83,5376.5,10192.83,11134.83,6560,722,6583
"K06222",5252,3751,2738,1426,3093,1884,1945,1847,2214,2620,1343,4069,2221,3552.9,2733,0,1635,7427,1808,2739,3996,2303,1658,0,2856,2441,1809,2252,2407,1939,1829,1796,1674,1978,1998,4271,3114,2213,444,2173
"K06223",1261,6127,1698.17,373,2499,3233,2078.33,2519.67,9193.66,5781.01,0,3121,6161.67,6143.8,3073,0,7455.33,12291.17,10585.17,6411,3867.67,6051.83,1880.5,1193,5382.5,4560.17,4635.67,3244.17,4452.33,3368.67,4774.67,1827,2949,3038,3615,5552.99,7139.33,3675.33,1187.67,5586.84
"K06257",0,0,0,0,0,0,292.83,502.5,0,91,0,0,691.33,0,0,0,0,0,0,0,0,0,0,0,442.83,327.67,0,521.17,0,0,388,0,0,0,0,0,0,653.67,0,323.33
"K06281",6790.67,8507.84,6307.5,10736.67,3545.83,3568.66,3004.28,1804.17,12656,11919.84,5776,16642.5,10952.17,17414.03,11571.5,9375,11266.67,13551.5,11747.82,12357.33,3771.5,15445,3869,8407.33,2581.83,3892.67,2720.67,3080,2747.67,2477.67,5109.33,2045.5,1791.66,3810.33,2376,4676.5,3570.83,3616,840,3088.44
"K06282",6790.67,8076.34,6515,10691.17,3545.83,3696.66,3004.28,1804.17,13487.33,12639.84,5776,16642.5,11565.84,17880.53,11841.17,8916,11886,14372.5,12260.99,12757.66,3970.5,16027.5,4118.5,8468.33,2806.33,4238.84,2793.34,3080,2938,2568.34,5251.33,1919.5,1791.66,3955.33,2376,4775.33,3570.83,3731.33,840,3088.44
"K06283",8894,13663.5,11590.5,9155.25,6928.5,6602,2599.89,4366,15576.5,7966.5,2819,4949.25,6322.5,8314.75,7460,2386,11293.75,12724,12178,8127,4693,15161.5,4569.5,13476,7877,8612,6249.25,4219.5,5365,5548,6982,4423,7116,7042.5,5939,9175.5,8954,6347,3600,7310.39
"K06284",13262,17326,16575.2,13428.25,10273.5,8517.6,3578.29,6544.4,23768.4,10136.8,2819,6469.15,9943.3,12723.25,9057.6,2386,14112.25,18763.5,17162.8,11787.4,8293,27451.9,5338.5,13476,13733.6,15625.6,9174.75,6080.1,7546.8,8272.8,14320.2,5404,9101.8,10681.3,6953.2,13187.5,16273.8,7777.8,3959.8,10369.79
"K06285",8612,8131.5,10767.5,8591.5,6112.5,5843,2219,3475,12486,6860.5,2819,3700,6025.5,7996,6383,2386,9979,10975,10457,7058,3966,13367.5,3852,13476,5685,5930,6047,3520.5,4494,4667,5504,4301,6703,5870,5651,7523.5,6426,5010,3600,5989.5
"K06286",6467,8812,9943.7,6584.75,5659,6742.6,2857.4,4088.4,10475.4,7979.3,2819,4843.65,5550.8,8314.75,7380.6,2181,10984.75,11101,10839.8,6717.4,3537,10444.9,4236.5,13476,6408.6,6744.6,5404.25,3990.6,5358.8,5550.8,5786.2,4600,7446.8,6231.3,6008.2,7761,7259.8,6440.8,3959.8,6408.4
"K06287",77371.34,109980.84,76871.2,64583.92,152152.16,145991.76,127745.12,94894.91,150630.57,121872.64,14192,75596.15,99396.14,102881.21,88303.1,21852.5,141504.75,153227.34,128451.96,98925.23,185252.85,126315.57,105800.66,45960.33,153115.27,146525.1,138592.09,102066.77,150433.31,142657.97,150555.36,94220.5,136161.29,145363.13,112962.53,166242.65,152148.79,139366.13,56924.97,147165.46
"K06288",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06289",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06290",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06291",0,0,0,0,0,0,0,0,0,0,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06292",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06293",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06294",8894,9235,11590.5,8780.75,6145,6602,2559,3890,13070,7966.5,2819,4076.25,6237,8314.75,7460,2386,11070.75,12468,12178,7985,4693,14490.5,4236.5,13476,6373,6642,6249.25,3588,4887,5505,6024,4175,7016,6448.5,5651,7686,7476,5946,3600,6721
"K06295",25751,20945.5,31755.5,27013.25,17689.5,17779,6738.78,10227,37577,17977.5,8457,11286.25,19692.5,18757.75,16440,6953,27737.75,32662,29231,20320,14771,38073,10645.5,37401,17914,18459,19111.25,10910.5,14799,14169,18780,13455,20638,18323,17610,23269.5,21960,15030,10800,18407.28
"K06296",14318,8370.5,15207.5,11114.5,6039.5,5843,2505.23,3475,18905.5,7514.5,2819,3605,8786.5,6226,5917,2386,9427,14170,14573,10098,7434,19591.5,3852,13476,5685,5930,6047,3520.5,4494,4667,7592,4427,6703,7160,5651,7840.5,8112,5010,3600,6506.73
"K06297",12416,8131.5,15690.5,11955.5,5853.5,5843,2300.78,3475,19185,6860.5,2819,4027,9692.5,6739,6383,2386,10202,16253,13117,11482,8590,17736.5,3852,13476,5685,5930,6047,3520.5,4494,4667,8288,4427,6703,7590,5651,8791.5,8674,5010,3600,6137.28
"K06298",8894,8500,11107.5,8824.75,6145,6602,2559,3890,12193,7966.5,2819,3654.25,6237,7801.75,6994,2386,10518.75,11676,11524,7278,4693,13644.5,4236.5,13476,6373,6642,6249.25,3588,4887,5505,6227,4423,7016,6448.5,5651,8003,7627,5946,3600,6721
"K06299",6467,7564,10895,7425.75,5248,6219,2559,3692,11446.5,7382,2819,3654.25,6040,10315.75,6394,2181,9434.75,10992,9582,7278,4693,10460.5,4236.5,13476,5436,6288,4950.25,3588,4887,5000,6024,4175,7016,5647.5,5651,6748,7476,5946,3600,5922
"K06300",6467,7564,10558.5,6584.75,5248,6219,2559,3692,11211,7148.5,2819,3654.25,5134,7801.75,6394,2181,9434.75,9701,9582,5800,3537,9386.5,4236.5,13476,5436,6288,4950.25,3588,4887,5000,5328,4175,7016,5217.5,5651,6748,6914,5946,3600,5922
"K06301",6467,7564,10558.5,7425.75,5248,6219,2559,3692,11211,7148.5,2819,3654.25,6040,7801.75,6394,2181,9434.75,10992,9582,6782,4693,9386.5,4236.5,13476,5436,6288,4950.25,3588,4887,5000,6024,4175,7016,5647.5,5651,6748,7476,5946,3600,5922
"K06302",6185,7564,10558.5,7118,5248,6219,2559,3692,11206.5,7148.5,2819,3278,5786,7483,6394,2181,9321,10992,9582,7278,4693,9259,3852,13476,5436,6288,4748,3408,4494,5000,6024,4175,7016,5647.5,5651,6748,7476,5946,3600,5922
"K06303",6467,7564,10558.5,7425.75,5248,6219,2559,3692,11211,7148.5,2819,3654.25,6040,7801.75,6394,2181,9434.75,10992,9582,6782,4693,9386.5,4236.5,13476,5436,6288,4950.25,3588,4887,5000,6024,4175,7016,5647.5,5651,6748,7476,5946,3600,5922
"K06304",6185,10002,12541,7118,5775,7737,2899,4107,13214,9594,2819,3278,5786,7483,8548,2181,11277,14262,13024,8890,6147,11441,3852,13476,6124,7000,4748,3593,4494,6228,6544,4175,7429,6226,5651,7404,8798,7818,3600,7973
"K06305",8894,9125,11590.5,8780.75,6145,6602,2559,3890,12909,7966.5,2819,4076.25,6237,8314.75,7460,2386,11070.75,12468,12178,7680,4693,14366.5,4236.5,13476,6373,6642,5867.25,3588,4887,5505,6024,4175,7016,6448.5,5651,7368,7476,5946,3600,6721
"K06306",10568,13347,12061.5,12046.75,9769,10388,4225.89,6007,17630,11221.5,2819,6133.25,10031,12497.75,11210,2181,15798.75,18374,15905,11241,6676,17901.5,6903.5,16503,9944,10650,10251.25,6641,9689,8486,9832,7081,11693,10051.5,9757,12630,12353,9921,7200,11451.89
"K06307",282,1219,2464,1148.75,0,759,0,0,3123.5,1106,0,376.25,1160,318.75,1077,0,1091.75,2926,3051,2036,1883,1218.5,384.5,0,0,0,202.25,180,393,347,696,0,0,430,0,0,1612,936,0,895
"K06308",6467,7974,8581,7425.75,6048,7063,2559,3692,11246.5,7253,2819,3654.25,6956,9058.75,6394,2181,11864.75,12508,9972,7278,5441,11203.5,4236.5,13476,7580,7652,5974.25,4545,6119,6012,7192,5079,7988,7569.5,6527,9372,8788,5946,3600,7355
"K06309",1902,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,0,0,0,0,0,0,0,0,2453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06310",2991,3279,4172.5,3652.5,2069,2112,380.89,613,5693.5,3094.5,0,752.5,2985.5,637.5,2754,205,3856.5,6915,5384,4568,3953,7234.5,769,0,2887,1407,1959.5,1072,1094,1986,2204,226,656,2936.5,219,1940,3635,1872,0,2955.89
"K06311",2991,3169,4172.5,2811.5,1807,1901,340,613,5082.5,3094.5,0,752.5,1611,637.5,2754,205,3490.5,5245,5384,3090,2610,6695,769,0,1625,1066,1703.5,360,786,1733,1216,0,413,1809.5,0,1594,2662,1872,0,2589
"K06312",2466,2438,3623.5,1456.5,527,1518,340,415,4254,2445.5,0,752.5,1611,637.5,2154,0,2183.5,4561,4772,3090,2610,4890,1153.5,0,688,712,404.5,879,1179,1228,1216,0,413,1487.5,0,656,2662,1872,0,1790
"K06313",8894,9235,11590.5,8780.75,6145,6602,2559,3890,13070,7966.5,2819,4076.25,6237,8314.75,7460,2386,11070.75,12468,12178,7985,4693,14490.5,4236.5,13476,6373,6642,6249.25,3588,4887,5505,6024,4175,7016,6448.5,5651,7686,7476,5946,3600,6721
"K06314",9176,9235,11590.5,9088.5,6345,6813,2559,3890,13524.5,7966.5,2819,4452.5,6917,8633.5,7460,2386,11550.5,12847,12178,7985,4880,14938,4621,13476,6640,6983,7089.5,4146,5588,5758,6316,4401,7259,6666.5,5870,8350,8008,5946,3600,7275
"K06315",6185,7564,8581,6277,4521,6008,2219,3277,8522,6915,2819,3278,4651,7483,6394,2181,9438,9322,9582,5800,3350,8939,3852,13476,5019,5235,4492,3215,4186,4213,4516,3949,6360,4946,5432,6366,6654,5946,3600,5629
"K06317",8894,9669.5,11590.5,9111.25,6318.5,6602,2599.89,4366,13376.5,7966.5,2819,4622.25,6279.5,8314.75,7460,2386,11293.75,12610,12178,8127,4693,15129,4569.5,13476,7022,7464,6249.25,4219.5,4887,5548,6982,4423,7116,6927.5,5651,8179.5,8070,6347,3600,7310.39
"K06318",8087,7769,10558.5,7118,5048,6008,2559,3692,11108.5,7317.5,2819,3278,5557,7483,6394,2181,9438,10613,10912,7278,4506,11392,3852,13476,5707,5947,4492,3030,4186,4747,5732,3949,6773,5954.5,5432,7022,6944,5946,3600,5368
"K06319",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06320",5490,1843,5419.5,4039.75,1018,681,684,725,8225,3130,176,2184.25,3823,3603.75,1816,116,2664.25,5784,5356,2945,2762.5,8612.5,1760.5,1765,1044,712,550.25,489,877,910,2226,340,887,1865.5,307,1187,1498,399,0,365
"K06321",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06322",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,1257,0,0,0,0,0,0,0,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06323",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,0,0,479,0,0,0,0,0,0
"K06324",0,0,336.5,0,884,735,593,962,235.5,1178.5,0,0,723,1257,581,0,0,1667,1052,0,0,537,0,0,1045,1016,1002,918,0,886,883,1495,675,978,1003,1166,1520,1035,0,1185
"K06325",282,2438,1646,307.75,0,1518,0,0,1776.5,2212,0,376.25,254,318.75,2154,0,2069.75,3270,3442,2108,1454,2309.5,384.5,0,0,0,202.25,365,393,694,0,0,0,0,0,0,2372,1872,0,2051
"K06326",0,0,336.5,0,0,0,0,0,235.5,233.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"K06327",6185,8988,9404,6277,5248,6978,2559,3692,9976,8190,2819,3278,4880,8740,7471,2181,10782,11336,11303,6854,4264,10887,3852,13476,5974,6288,4748,3223,4494,5347,5328,4175,7016,5742.5,5651,7368,5592,6882,3600,6556
"K06328",8894,9235,11590.5,8780.75,6145,6602,2559,3890,13070,7966.5,2819,4076.25,6237,8314.75,7460,2386,11070.75,12468,12178,7985,4693,14490.5,4236.5,13476,6373,6642,6249.25,3588,4887,5505,6024,4175,7016,6448.5,5651,7686,7476,5946,3600,6721
"K06329",2026,1362,336.5,307.75,0,0,0,0,1568,1552.5,0,376.25,1349,2327.75,1177,0,1559.75,1544,1550,1150,0,2933.5,1679.5,3027,0,0,202.25,180,393,0,0,0,0,0,0,0,0,0,0,0
"K06330",282,1473.5,3045,1148.75,905,759,340,415,3615,1603,0,541.75,1160,1575.75,1298.5,0,1411.75,2926,2106.5,2364.5,1883,2059,384.5,0,688,712,202.25,365,393,881,1383.5,0,413,1361.5,0,1078,2258,936,0,1413
"K06331",0,0,336.5,0,62,0,0,0,235.5,233.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,519,0,0,0,126,0,479,0,317,0,0,0,0
