"","BulkRAG1","BulkRAG2","BulkRAG3","BulkRAG4","BulkTP1","BulkTP2","BulkTP3","BulkTP4","RAG1","RAG10","RAG11","RAG12","RAG13","RAG14","RAG15","RAG16","RAG2","RAG3","RAG4","RAG5","RAG6","RAG7","RAG8","RAG9","RTP1","RTP10","RTP11","RTP12","RTP13","RTP14","RTP15","RTP16","RTP2","RTP3","RTP4","RTP5","RTP6","RTP7","RTP8","RTP9"
"K01507",42446.67,62863.5,42176,36537,69355.83,67028.5,58798.66,43171.84,83110.17,67435.17,9005,47393,57866.5,63207.13,48351.5,12690.5,80769.83,86535.34,71781.84,52077,96577.51,68240.67,55561.83,22001,66958.67,66174.5,62490.17,46906.84,72220.34,64103.5,69669.33,43677.5,61682.83,67023.5,52072.83,78370.15,66012.66,64665,25359.17,68580.34
"K01512",51160.34,65969.84,46682.2,40032.17,96845.33,92430.43,84648.73,60930.91,94661.57,83846.14,10030,52524.9,59542.14,73025.96,66794.6,15037.5,81943,95742.34,77233.46,70912.23,94113.51,88278.57,60847.83,27806.33,99914.6,98693.77,87997.51,64724.77,100822.64,91911.64,96521.03,59023.83,88881.96,94614.3,75971.03,107159.82,99525.46,90862.13,24096.97,94177.57
"K01515",58508.34,82816.84,59446.2,48687.92,73777.66,69040.76,58790.51,44195.91,108579.07,86264.31,11506,54197.15,65666.14,74521.21,67445.6,15363.5,92284.75,106510.84,86441.46,75994.23,96136.01,92882.07,60264.33,40772.33,78536.27,77934.1,70037.09,49352.27,79124.48,67819.97,82141.36,44731.5,67567.29,76235.13,56671.03,87673.98,75673.79,68267.13,22587.97,78353.52
"K01520",58183.67,78767.17,54131.67,46580.92,94074.66,88048.66,79329.72,58732.84,104037,85989.84,9854,54169.75,68771,71840.21,64385.33,15762.5,87584.59,104932.84,82396.99,72727.17,100160.51,91109.83,60643.83,26946.33,95571.5,91995.5,84730.42,61258.67,95263.34,87413.67,92785.83,55873.67,82477.99,90415.66,67687,103738.66,92968.32,83883,31618.67,92100.22
"K01521",0,0,465,0,0,0,0,0,2632,1676.5,0,1166,1457,710.3,1915,0,420.5,2636,0,411,1191.5,2028,199,0,0,0,126,92,0,0,0,0,0,0,0,163,0,0,0,0
"K01523",24961,37491,24922,18742.75,42980.33,41352.5,38705.22,29240.5,39222.67,31074.67,4396,18008.25,22557.16,24275.58,24950.5,4484,35186.42,39089.17,29775.17,23640.67,85191.34,33582.5,44417.83,7031,42459.5,39986,38066.25,28912.67,44357.34,40380,42722.33,26708.67,38471.83,40950.83,31707.5,47031.33,42105.16,40399.67,15679,41538.72
"K01524",79324.5,115319.33,76595.54,61055.25,139942.66,132378.6,120523.5,88369.74,147142.73,113947.31,13259,72219.65,94583.29,98772.51,85070.93,20770.5,128531.92,144543.18,115546.81,95034.41,182846.52,120275.06,101663.66,36420,140784.1,132764.77,125677.42,93607.28,142283.64,128667.97,139975.2,85925.34,122210.46,134128.46,103891.7,153041.98,136078.28,127351.47,47730.64,136690.35
"K01525",3917,6252,3858,3571,5149,4359,3352,2871,6058,5666,176,2706,4108,6184.8,2930,575,7763,6746,5402,4042,4218.5,5355,2849,521,4005,4053,4623,2966,5031.5,4070,4463,2593,3818,4315,3145,6905,5191,4014,1444,4430
"K01531",1730.67,2777,2437.33,269,2385,2672,1870.83,1557.17,2091.34,4425.33,0,1356,1426,896.3,1077,36,1488.33,5756,3228,1679.33,4062,2071.34,1233,0,2701.5,3123,2428,2012.17,3870.67,2351.33,2919.33,1074.33,1979,2139.67,1739.33,4987.33,3041.67,4073.67,1021,2756
"K01533",25245.67,31370.83,24518.5,16202,53979.83,53866.83,50476.33,33489.34,41139.17,30920.17,3053,21213.5,19895.67,30477,23320.33,4804,50354.33,43020.17,39264.5,24148,86352.35,33937.17,44148.66,8917,53582.34,54674.16,51516.33,35146.17,59837.17,51353.16,57266.33,34966,46005.83,56345,41893.33,66024.49,59455.83,54046,21215.17,50629.34
