"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K07904"	0	0	0	3.69389436200904e-06	2.55738124160859e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K07905"	0	0	0	3.69389436200904e-06	0	0	0	0	0	0	0	0	8.10175808150369e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K12485"	0	0	0	3.69389436200904e-06	2.55738124160859e-06	0	0	0	0	0	0	0	0	0	0	0	0	6.2362412926481e-06	0	0	0	0	0	0	0	5.21341097840084e-06	0
"K07897"	0	1.73130193905817e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16388691674717e-05	0	0	0	0
"K07901"	0	0	0	0	0	0	0	0	0	0	4.6198552137376e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K04392"	0	0	0	0	5.11476248321719e-06	0	0	5.34031134015113e-06	7.28236647781063e-06	5.92294251784286e-06	0	0	4.05087904075184e-06	4.57697324759137e-06	4.48698102455725e-06	1.90441125126167e-05	0	0	0	1.12229666790119e-05	0	0	0	0	0	0	0
"K10866"	0	0	0	0	0	0	0	0	2.18470994334319e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K04482"	0	8.65650969529086e-06	1.3857036949789e-05	1.10816830860271e-05	1.02295249664344e-05	4.12999574610438e-06	1.480998785581e-05	1.06806226803023e-05	2.18470994334319e-05	5.92294251784286e-06	9.2397104274752e-06	5.2317672909909e-06	2.02543952037592e-05	2.28848662379568e-05	0	6.34803750420557e-06	0	0	1.49517805078621e-05	0	4.60138225522947e-06	0	0	1.05473549870531e-05	0	0	0
"K10869"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.21341097840084e-06	0
"K02831"	0	0	0	0	0	0	4.93666261860332e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K10875"	0	0	0	0	0	0	0	0	7.28236647781063e-06	0	0	0	0	4.57697324759137e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"K10958"	0	0	0	0	0	0	4.93666261860332e-06	0	7.28236647781063e-06	0	4.6198552137376e-06	0	4.05087904075184e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K14298"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.81943458373584e-06	0	0	0	0
"K07834"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98392683595405e-06	0	0	0	0	0	0	0	0
"K07835"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98392683595405e-06	0	0	0	0	0	0	0	0
"K08732"	0	0	0	0	0	0	0	0	0	5.92294251784286e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K07936"	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15394649518274e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"K12172"	0	8.65650969529086e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K14319"	0	8.65650969529086e-06	0	0	0	0	0	5.34031134015113e-06	0	0	0	0	0	0	4.48698102455725e-06	0	0	0	9.9678536719081e-06	0	0	0	0	0	0	1.04268219568017e-05	0
"K04353"	1.17768984360279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K06277"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60138225522947e-06	0	0	0	0	0	0
"K07204"	3.53306953080837e-05	0	0	0	0	0	0	1.06806226803023e-05	0	0	9.2397104274752e-06	0	4.05087904075184e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K01887"	0.00213161861692105	0.00213815789473684	0.00182220035889726	0.00193929454005474	0.00201010165590435	0.00209390784327492	0.00191542509601809	0.00199727644121652	0.00180602688649704	0.002073029881245	0.00194495904498353	0.00196191273412159	0.00149477436603743	0.0022793326773005	0.00202362844207532	0.0019361514387827	0.00191106923002404	0.00185839990520913	0.00193874753918612	0.0025363904694567	0.00212583860191602	0.00237847188095847	0.00189713567429789	0.00196180802759188	0.00207635447523601	0.00204887051451153	0.00208572322452811
"K04349"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.34803750420557e-06	0	0	0	0	0	0	0	0	0	0	0
"K12840"	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57697324759137e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"K12822"	0	0	0	0	0	0	0	0	0	0	0	5.2317672909909e-06	0	0	0	6.34803750420557e-06	0	0	0	0	0	0	0	0	0	0	0
"K12876"	0	0	0	0	0	0	0	0	1.45647329556213e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K13447"	0	0	0	0	2.55738124160859e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K12606"	0	0	0	0	0	0	0	0	0	0	4.6198552137376e-06	0	0	0	8.97396204911449e-06	0	0	0	0	0	0	0	0	0	0	0	0
"K11151"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48698102455725e-06	0	0	0	0	0	4.60138225522947e-06	0	0	0	0	0	0
"K11152"	1.17768984360279e-05	0	6.92851847489451e-06	7.38778872401807e-06	5.11476248321719e-06	4.12999574610438e-06	4.93666261860332e-06	5.34031134015113e-06	0	5.92294251784286e-06	0	1.56953018729727e-05	0	4.57697324759137e-06	1.7947924098229e-05	6.34803750420557e-06	8.80677064527209e-06	0	4.98392683595405e-06	0	1.84055290209179e-05	0	5.81943458373584e-06	0	1.38423631682401e-05	5.21341097840084e-06	1.30357701533007e-05
"K11153"	1.17768984360279e-05	0	1.3857036949789e-05	1.47755774480361e-05	2.55738124160859e-06	2.06499787305219e-05	1.97466504744133e-05	5.34031134015113e-06	7.28236647781063e-06	0	1.84794208549504e-05	2.61588364549545e-05	0	2.74618394855482e-05	1.34609430736717e-05	6.34803750420557e-06	2.64203119358163e-05	1.87087238779443e-05	9.9678536719081e-06	2.24459333580239e-05	2.30069112761474e-05	0	1.16388691674717e-05	1.05473549870531e-05	5.53694526729603e-05	5.21341097840084e-06	1.30357701533007e-05
"K11154"	1.17768984360279e-05	0	0	0	0	4.12999574610438e-06	0	0	0	0	0	0	0	0	0	0	8.80677064527209e-06	0	4.98392683595405e-06	0	0	0	0	0	0	0	0
"K00061"	0	0	6.92851847489451e-06	0	0	0	0	0	0	0	4.6198552137376e-06	0	0	0	0	0	0	0	4.98392683595405e-06	0	9.20276451045894e-06	0	0	0	0	0	0
"K11150"	1.17768984360279e-05	0	6.92851847489451e-06	1.10816830860271e-05	2.55738124160859e-06	4.12999574610438e-06	9.87332523720664e-06	0	7.28236647781063e-06	0	4.6198552137376e-06	0	0	0	0	0	8.80677064527209e-06	6.2362412926481e-06	0	0	0	0	0	5.27367749352656e-06	0	0	0
"K12355"	0	0	0	7.38778872401807e-06	0	0	0	0	0	5.92294251784286e-06	0	5.2317672909909e-06	0	0	4.48698102455725e-06	1.26960750084111e-05	0	0	0	0	4.60138225522947e-06	0	5.81943458373584e-06	1.05473549870531e-05	0	0	0
"K01787"	0	0	6.92851847489451e-06	0	2.55738124160859e-06	8.25999149220876e-06	9.87332523720664e-06	0	0	5.92294251784286e-06	0	1.04635345819818e-05	0	4.57697324759137e-06	1.7947924098229e-05	0	0	0	9.9678536719081e-06	0	4.60138225522947e-06	0	1.16388691674717e-05	1.58210324805797e-05	0	0	0
"K09516"	3.53306953080837e-05	8.65650969529086e-06	0	1.47755774480361e-05	1.02295249664344e-05	2.06499787305219e-05	4.93666261860332e-06	5.34031134015113e-06	2.18470994334319e-05	5.92294251784286e-06	4.6198552137376e-06	1.04635345819818e-05	0	1.83078929903655e-05	4.48698102455725e-06	0	8.80677064527209e-06	0	1.49517805078621e-05	1.12229666790119e-05	9.20276451045894e-06	0	1.16388691674717e-05	0	0	1.04268219568017e-05	0
"K07466"	0	0	0	3.69389436200904e-06	2.55738124160859e-06	4.12999574610438e-06	9.87332523720664e-06	5.34031134015113e-06	0	5.92294251784286e-06	4.6198552137376e-06	5.2317672909909e-06	4.05087904075184e-06	0	0	0	0	0	0	0	4.60138225522947e-06	0	5.81943458373584e-06	0	0	0	0
"K10739"	0	0	0	3.69389436200904e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60138225522947e-06	0	0	0	0	0	0
"K10754"	1.17768984360279e-05	0	6.92851847489451e-06	3.69389436200904e-06	0	0	4.93666261860332e-06	0	0	1.18458850356857e-05	0	0	0	0	0	0	8.80677064527209e-06	1.24724825852962e-05	0	0	0	0	5.81943458373584e-06	0	0	5.21341097840084e-06	0
"K10755"	0	0	0	3.69389436200904e-06	2.55738124160859e-06	0	0	0	0	5.92294251784286e-06	0	0	8.10175808150369e-06	9.15394649518274e-06	0	1.26960750084111e-05	0	6.2362412926481e-06	0	0	1.84055290209179e-05	0	0	2.10947099741062e-05	0	0	0
"K10756"	0	0	0	3.69389436200904e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.60138225522947e-06	0	0	0	0	0	0
"K00861"	0	0	0	3.69389436200904e-06	5.11476248321719e-06	0	0	0	0	0	4.6198552137376e-06	5.2317672909909e-06	0	0	4.48698102455725e-06	6.34803750420557e-06	0	6.2362412926481e-06	4.98392683595405e-06	0	0	0	5.81943458373584e-06	0	0	5.21341097840084e-06	0
"K06316"	0	0	0	0	0	0	0	1.06806226803023e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K08061"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.81943458373584e-06	0	0	0	0
"K08062"	0	0	0	3.69389436200904e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K09175"	2.35537968720558e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.27367749352656e-06	0	0	0
"K12450"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.30357701533007e-05
"K12767"	1.17768984360279e-05	0	6.92851847489451e-06	0	5.11476248321719e-06	0	0	0	0	5.92294251784286e-06	0	0	0	4.57697324759137e-06	4.48698102455725e-06	0	0	0	0	0	0	0	5.81943458373584e-06	0	0	5.21341097840084e-06	0
"K13456"	0	0	0	0	0	0	0	0	0	0	0	0	8.10175808150369e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K10743"	0	0	0	0	0	0	0	0	0	0	0	0	0	9.15394649518274e-06	0	0	0	0	0	0	0	0	0	0	0	0	0
"K01165"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.27367749352656e-06	0	0	0
"K21580"	1.17768984360279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K14325"	0	0	6.92851847489451e-06	0	0	0	0	0	0	0	0	5.2317672909909e-06	0	0	4.48698102455725e-06	6.34803750420557e-06	0	0	0	0	0	0	0	0	0	0	0
"K14145"	0	0	0	0	0	0	0	0	0	0	0	5.2317672909909e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K02863"	0.00107169775767854	0.000865650969529086	0.000845279253937131	0.000823738442728015	0.000884853909596573	0.000974678996080634	0.000819485994688151	0.000955915729887052	0.00109235497167159	0.0010779755382474	0.000854673214541456	0.00112482996756304	0.000935753058413676	0.000924548596013456	0.00084803941364132	0.00109821048822756	0.00115368695453064	0.000941672435189862	0.00123102992848065	0.00117841150129625	0.000865059863983141	0.000884555658207694	0.00114642861299596	0.00106528285369237	0.00114891614296393	0.00115737723720499	0.00101679007195745
"K02864"	0.00067128321085359	0.00050207756232687	0.000478067774767721	0.00034353217566684	0.000350361230100377	0.000421259566102647	0.000399869672106869	0.0004699473979333	0.000429659622190827	0.000390914206177629	0.000369588417099008	0.000449931987025217	0.00041724054119744	0.000384465752797675	0.000448698102455725	0.000393578325260746	0.000281816660648707	0.000436536890485367	0.000388746293204416	0.000460141633839489	0.000386516109439276	0.000334165470878462	0.000314249467521736	0.000305873294624541	0.000249162537028321	0.000422286289250468	0.000169465011992909
"K02865"	0	0	0	0	2.55738124160859e-06	0	0	0	0	1.18458850356857e-05	0	0	0	0	0	0	0	0	0	0	0	1.96567924046154e-05	0	0	0	0	0
"K02866"	2.35537968720558e-05	2.59695290858726e-05	6.92851847489451e-06	1.10816830860271e-05	1.2786906208043e-05	1.23899872383131e-05	0	0	2.18470994334319e-05	0	0	0	0	4.57697324759137e-06	0	2.53921500168223e-05	3.52270825810883e-05	0	2.99035610157243e-05	4.48918667160477e-05	2.30069112761474e-05	0	2.32777383349434e-05	1.05473549870531e-05	0	1.04268219568017e-05	0
"K02867"	0.00083615978895798	0.000891620498614958	0.000803708143087764	0.000624268147179527	0.000733968416341666	0.000842519132205294	0.000676322778748655	0.000704921096899949	0.000801060312559169	0.000728521929694672	0.000780755531121655	0.000763838024484671	0.000627886251316536	0.000833009131061629	0.000632664324462572	0.00071732823797523	0.000686928110331223	0.000767057678995716	0.000931994318323407	0.000897837334320954	0.000657997662497814	0.000845242073398463	0.00075652649588566	0.000717220139119612	0.000830541790094405	0.000646462961321704	0.000677860047971634
"K02869"	0	0	0	0	2.55738124160859e-06	8.25999149220876e-06	1.480998785581e-05	0	0	2.36917700713715e-05	0	0	0	2.74618394855482e-05	1.7947924098229e-05	0	2.64203119358163e-05	6.2362412926481e-06	9.9678536719081e-06	0	4.60138225522947e-06	1.96567924046154e-05	2.32777383349434e-05	1.05473549870531e-05	0	0	5.21430806132026e-05
"K02870"	0	0	0	0	0	0	0	0	0	0	4.6198552137376e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K02871"	0.000777275296777841	0.000727146814404432	0.00109470591903333	0.0006131864640935	0.000685378172751103	0.00066905931086891	0.000547969550664968	0.000672879228859043	0.00081562504551479	0.000657446619480558	0.000785375386335392	0.000617348540336926	0.000364579113667666	0.000645353227910383	0.000771760736223847	0.000895073288092986	0.000792609358074488	0.00075458519641042	0.000712701537541429	0.000617263167345656	0.000634990751221667	0.000884555658207694	0.000803081972555546	0.000638114976716714	0.000553694526729603	0.000766371413824923	0.000677860047971634
"K02873"	0	8.65650969529086e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.98392683595405e-06	0	0	0	0	0	0	0	0
"K02874"	0.000694837007725645	0.000675207756232687	0.000478067774767721	0.000672288773885644	0.000713509366408797	0.000726879251314371	0.000701006091841671	0.000688900162879496	0.000684542448914199	0.000450143631356058	0.000891632056251357	0.000737679188029716	0.000433444057360447	0.000649930201157974	0.000695482058806373	0.000768112538008875	0.000546019780006869	0.000604915405386865	0.000747589025393107	0.000594817233987632	0.000662599044753044	0.000805928488589232	0.000715790453799509	0.000601199234262028	0.000650591068907284	0.000761158002846522	0.00040410887475232
"K02876"	0.000942151874882231	0.000346260387811634	0.000845279253937131	0.000760942238573861	0.0006546895978518	0.000491469493786421	0.000691132766604465	0.000704921096899949	0.000903013443248518	0.000870672550122901	0.000706837847701853	0.00052317672909909	0.000465851089686462	0.00066823809414834	0.00074932583110106	0.000641151787924763	0.000607667174523774	0.000804475126751604	0.000558199805626853	0.000606040200666644	0.000570571399648454	0.000629017356947693	0.000698332150048301	0.000754135881574298	0.000636748705739044	0.000823718934587332	0.000521430806132026
"K02877"	0	0	5.54281477991561e-05	1.84694718100452e-05	1.02295249664344e-05	2.06499787305219e-05	4.93666261860332e-06	5.34031134015113e-06	5.8258931822485e-05	1.18458850356857e-05	0	2.61588364549545e-05	0	2.28848662379568e-05	0	0	8.80677064527209e-06	1.87087238779443e-05	9.9678536719081e-06	0	2.30069112761474e-05	0	5.81943458373584e-06	2.10947099741062e-05	0	1.04268219568017e-05	0
"K02878"	0.000789052195213868	0.00070117728531856	0.000637423699690295	0.000712921611867744	0.000667476504059843	0.000619499361915657	0.000626956152562622	0.000785025767002216	0.000684542448914199	0.000704830159623301	0.00080847466240408	0.00058595793659098	0.000368629992708418	0.00056754468270133	0.000650612248560801	0.000704632162966819	0.000642894257104862	0.000598679164094217	0.000662862269181888	0.000561148333950596	0.000469340990033406	0.000491419810115385	0.000750707061301924	0.000759409559067825	0.000553694526729603	0.000677743427192109	0.000716967358431536
"K02879"	0.00067128321085359	0.000761772853185596	0.000505781848667299	0.000550390259939346	0.000600984591778019	0.000483209502294213	0.000543032888046365	0.000651517983498438	0.000597154051180472	0.000598217194302129	0.000582101756930938	0.00081615569739458	0.000619784493235032	0.000453120351511545	0.000632664324462572	0.000495146925328035	0.000739768734202855	0.000717167748654531	0.000632958708166164	0.000617263167345656	0.000625787986711208	0.000452106225306155	0.000413179855445245	0.000590651879274975	0.000539852163561363	0.000505700864904881	0.000534466576285327
"K02881"	0.000789052195213868	0.000657894736842105	0.000505781848667299	0.000432185640355057	0.000521705773288153	0.0005658094172163	0.000612146164706812	0.000448586152572695	0.000473353821057691	0.000586371309266444	0.000448125955732547	0.000664434445955844	0.000368629992708418	0.000599583495434469	0.00053843772294687	0.000526887112849063	0.000546019780006869	0.000517608027289792	0.000503376610431359	0.000493810533876525	0.000515354812585701	0.00072730131897077	0.000488832505033811	0.000442988909456231	0.000526009800393123	0.000547408152732088	0.00058660965689853
"K02882"	0	0	0	7.38778872401807e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K02883"	0	0	0	0	5.11476248321719e-06	0	0	5.34031134015113e-06	0	0	0	0	0	0	0	0	0	6.2362412926481e-06	0	2.24459333580239e-05	0	0	5.81943458373584e-06	1.05473549870531e-05	0	0	0
"K02884"	0.000635952515545506	0.000753116343490305	0.000602781107315823	0.000491287950147202	0.000659804360335017	0.000697969281091641	0.000681259441367258	0.000715601719580252	0.000597154051180472	0.000544910711641544	0.000605201032999626	0.000528408496390081	0.000542817791460747	0.000640776254662792	0.000704456020855488	0.000672891975445791	0.000598860403878502	0.000604915405386865	0.000573151586134716	0.000684600967419728	0.000556767252882766	0.000746958111375386	0.000797262537971811	0.000664483364184347	0.000622906342570804	0.000615182495451299	0.000534466576285327
"K02885"	0	0	6.92851847489451e-06	3.69389436200904e-06	1.02295249664344e-05	4.12999574610438e-06	0	5.34031134015113e-06	0	1.18458850356857e-05	0	5.2317672909909e-06	4.05087904075184e-06	0	0	6.34803750420557e-06	0	0	4.98392683595405e-06	1.12229666790119e-05	0	0	5.81943458373584e-06	5.27367749352656e-06	0	0	0
"K02886"	0.00144855850763143	0.00139369806094183	0.00119863369615675	0.00144061880118352	0.0013400677706029	0.00111509885144818	0.00117986236584619	0.00139382125977945	0.00147103802851775	0.00126158675630053	0.00143215511625866	0.00140734540127655	0.00130843393016285	0.00142801565324851	0.00120251091458134	0.00137752413841261	0.00131220882614554	0.00132831939533404	0.00138553166039523	0.00117841150129625	0.0011549469460626	0.00155288659996462	0.00123953956633573	0.00131841937338164	0.00166108358018881	0.00136070026536262	0.00099071853165085
"K02887"	0.000718390804597701	0.000571329639889197	0.000581995551891139	0.000568859731749391	0.000649574835368583	0.000677319302361119	0.000508476249716142	0.000608795492777229	0.000626283517091714	0.000787751354873101	0.000540523060007299	0.00035052840849639	0.000567123065705258	0.000727738746367027	0.000659586210609915	0.000672891975445791	0.000766189046138671	0.000567497957630977	0.000642926561838072	0.000729492834135775	0.00069480872053965	0.000530733394924616	0.000564485154622377	0.000585378201781448	0.000387586168710722	0.000443139933164071	0.000808217749504641
"K02888"	0.000282645562464669	0.000294321329639889	0.000318711849845148	0.000265960394064651	0.000301770986509814	0.000334529655434455	0.000439362973055695	0.00018691089690529	0.000284012292634615	0.000296147125892143	0.000258711891969306	0.000360991943078372	0.000324070323260147	0.000324965100578987	0.000305114709669893	0.000292009725193456	0.000317043743229795	0.000255685892998572	0.000219292780781978	0.000168344500185179	0.00017485252569872	0.000196567924046154	0.000133846995425924	0.000263683874676328	0.000373743805542482	0.000198109617179232	0.000234643862759412
"K02889"	0	0	6.92851847489451e-06	7.38778872401807e-06	0	0	0	0	0	0	1.38595656412128e-05	5.2317672909909e-06	4.05087904075184e-06	4.57697324759137e-06	4.48698102455725e-06	1.26960750084111e-05	0	0	0	0	0	0	0	0	0	0	0
"K02890"	0.000306199359336725	0.00039819944598338	0.000422639626968565	0.000550390259939346	0.000452656479764721	0.000520379464009152	0.000355439708539439	0.000448586152572695	0.000451506721624259	0.000450143631356058	0.000415786969236384	0.000355760175787381	0.000340273839423155	0.00046685127125432	0.000417289235283824	0.000507843000336446	0.000361077596456155	0.000342993271095645	0.000378778439532508	0.00034791196704937	0.000460138225522947	0.000432449432901539	0.000413179855445245	0.000406073167001545	0.000359901442374242	0.000255457137941641	0.000612681197205131
"K02892"	0.000565291124929339	0.000389542936288089	0.000401854071543882	0.000365695541838894	0.000457771242247938	0.000305619685211724	0.000478856274004522	0.000416544284531788	0.00045878908810207	0.000450143631356058	0.000341869285816582	0.000497017892644135	0.000178238677793081	0.000416504565530814	0.000376906406062809	0.000323749912714484	0.000246589578067618	0.000330520788510349	0.000323955244337013	0.000381580867086406	0.000400320256204964	0.000275195093664616	0.000430638159196452	0.000395525812014492	0.000346059079206002	0.000224176672071236	0.000417144644905621
"K02895"	0.000459299039005088	0.00040685595567867	0.00035335444221962	0.000413716168545012	0.000368262898791637	0.000371699617149394	0.000449236298292902	0.0004699473979333	0.000436941988668638	0.000367222436106258	0.000438886245305072	0.000413309615988281	0.000243052742445111	0.000407350619035632	0.000381393387087366	0.000399926362764951	0.000317043743229795	0.000417828166607422	0.000358842732188691	0.000314243067012334	0.000280684317568998	0.00025553830126	0.000244416252516905	0.000479904651910917	0.000235320173860081	0.00049527404294808	0.000443216185212222
"K02896"	0	0	0	0	7.67214372482578e-06	8.25999149220876e-06	0	0	1.45647329556213e-05	0	0	0	0	0	8.97396204911449e-06	0	0	0	0	0	0	0	0	0	0	0	0
"K02897"	0.000459299039005088	0.000389542936288089	0.00042956814544346	0.000284429865874696	0.000268525030368902	0.000326269663942246	0.000355439708539439	0.000261675255667405	0.000291294659112425	0.0003731453786241	0.000434266390091335	0.000381919012242335	0.000344324718463907	0.000256310501865117	0.000372419425038252	0.000317401875210279	0.000246589578067618	0.00029310334075446	0.000199357073438162	0.000224459333580239	0.000294488464334686	0.000275195093664616	0.000186221906679547	0.000342789037079226	0.000193793084355361	0.000328444891639253	0.000247679632912712
"K02899"	0.000541737328057283	0.000380886426592798	0.000387997034594093	0.000461736795251129	0.000434754811073461	0.000396479591626021	0.000464046286148712	0.000395183039171184	0.000487918554013312	0.000456066573873901	0.000438886245305072	0.000455163754316208	0.000295714169974885	0.000375311806302492	0.000417289235283824	0.000336445987722895	0.000431531761618332	0.000449009373070663	0.000323955244337013	0.000415249767123441	0.000377313344928817	0.000511076602520001	0.000349166075024151	0.000432441554469178	0.000526009800393123	0.000344085124574455	0.000338930023985817
"K02901"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.24459333580239e-05	0	0	0	0	0	0	0
"K02902"	0.00038863764838892	0.000328947368421053	0.000381068516119198	0.000332450492580813	0.000314557892717857	0.000322139668196142	0.000296199757116199	0.000416544284531788	0.000305859392068046	0.000426451861284686	0.000323389864961632	0.000340064873914408	0.000332172081341651	0.000315811154083804	0.000462159045529396	0.000368186175243923	0.000493179156135237	0.00042406440790007	0.000493408756759451	0.000157121533506167	0.000450935461012488	0.000176911131641539	0.000256055121684377	0.000406073167001545	0.000235320173860081	0.000349298535552856	0.000430180415058922
"K02904"	0.000211984171848502	0.000164473684210526	0.000304854812895359	0.000284429865874696	0.000232721692986382	0.000161069834098071	0.00016290986641391	0.000256334944327254	0.000254882826723372	0.000266532413302929	0.00024947218154183	0.000230197760803599	0.000166086040670826	0.000219694715884386	0.00022883603225242	0.00027296561268084	0.000220169266131802	0.000149669791023554	0.000194373146602208	0.000269351200296286	0.000202460819230097	0.000196567924046154	0.000256055121684377	0.000210947099741062	8.30541790094405e-05	0.000218963261092835	0.000130357701533007
"K02906"	0.000659506312417562	0.00108206371191136	0.000942278512585654	0.000890228541244177	0.000895083434563008	0.000842519132205294	0.000868852620874184	0.00089717230514539	0.000953990008593192	0.00104243788314034	0.000979409305312372	0.000884168672177462	0.000733209106376084	0.000965741355241779	0.00084803941364132	0.000876029175580369	0.000995165082915746	0.000779530161581012	0.00083729970844028	0.000729492834135775	0.000970891655853418	0.000884555658207694	0.000936928967981471	0.00081214633400309	0.00107970432712273	0.00093320056513375	0.000730003128584837
"K02907"	0.000200207273412474	0.000207756232686981	0.000200927035771941	0.000195776401186479	0.000153442874496516	0.00026431972775068	0.000143163215939496	0.000229633387626499	0.00023303572728994	0.000201380045606657	0.000157075077267078	0.000188343622475672	0.000125577250263307	0.000183078929903655	0.000192940184055962	0.000222181312647195	0.000140908330324353	0.000174614756194147	0.000124598170898851	0.000269351200296286	0.00017485252569872	9.82839620230771e-05	0.000174583037512075	0.000110747227364058	0.000166108358018881	0.000260670548920042	0.000234643862759412
"K02908"	1.17768984360279e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"K02909"	0.000518183531185227	0.000450138504155125	0.000471139256292827	0.000387858908010949	0.000442426954798287	0.000450169536325378	0.000404806334725472	0.000395183039171184	0.000451506721624259	0.000574525424230758	0.00032800972017537	0.000402846081406299	0.000234950984363607	0.000443966405016363	0.000462159045529396	0.00060306356289953	0.000528406238716325	0.000374174477558886	0.000493408756759451	0.000359134933728382	0.000464739607778177	0.000334165470878462	0.000430638159196452	0.000469357296923864	0.000484482710888403	0.000547408152732088	0.000351965794139118
"K02910"	0	0	0	0	0	0	0	0	7.28236647781063e-06	0	0	0	0	0	0	0	0	0	0	1.12229666790119e-05	0	0	0	0	0	0	0
"K02911"	0.000294422460900697	0.000233725761772853	0.000242498146621308	0.000214245872996524	0.000176459305670993	0.000148679846859758	0.000207339829981339	0.000197591519585592	0.000262165193201183	0.000118458850356857	0.00021251333983193	0.000224965993512609	7.29158227335332e-05	0.000160194063665698	0.00026024489942432	0.000266617575176634	0.000202555724841258	0.000249449651705924	0.000244212414961748	6.73378000740716e-05	0.000197859436974867	1.96567924046154e-05	0.000180402472095811	0.000179305034779903	0.000152265994850641	0.000239816905006439	0.00019553655229951
"K02912"	0	0	3.46425923744726e-05	0	7.67214372482578e-06	8.25999149220876e-06	0	1.06806226803023e-05	2.18470994334319e-05	1.18458850356857e-05	9.2397104274752e-06	1.56953018729727e-05	4.05087904075184e-06	4.57697324759137e-06	0	6.34803750420557e-06	0	2.49449651705924e-05	1.49517805078621e-05	2.24459333580239e-05	0	0	0	5.27367749352656e-06	0	1.04268219568017e-05	0
"K02913"	0.000129545882796307	0.000337603878116343	0.000304854812895359	0.000277042077150678	0.000319672655201074	0.000289099702227307	0.000276453106641786	0.000272355878347708	0.000407812522757395	0.000242840643231557	0.000258711891969306	0.000319137804750445	0.000141780766426315	0.000347849966816944	0.000287166785571664	0.000247573462664017	0.000176135412905442	0.000187087238779443	0.000284083829649381	0.000325466033691346	0.000294488464334686	0.000373479055687693	0.000273513425435585	0.000268957552169855	0.000304531989701282	0.000354511946531257	0.000286786943372614
