"BulkRAG1"	"BulkRAG2"	"BulkRAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"K09691"	0.00131901262483512	0.0012292243767313	0.00117091962225717	0.00121898513946298	0.00123010037721373	0.00125964870256184	0.00132796224440429	0.00130837627833703	0.00114333153701627	0.00117866556105073	0.00114110423779319	0.00124516061525583	0.000635988009398039	0.00107558871318397	0.00119802393355678	0.0013648280634042	0.00124175466098336	0.0014655167037723	0.0012360138553166	0.000942729201037002	0.00128838703146425	0.00159220018477385	0.00137338656176166	0.001191851113537	0.000913595969103845	0.00128249910068661	0.00135572009594327
"K09690"	0.000529960429621255	0.000415512465373961	0.000408782590018776	0.000583635309197428	0.000667476504059843	0.0005658094172163	0.000592399514232398	0.000560732690715869	0.000619001150613904	0.000337607723517043	0.000549762770434775	0.000549335565554044	0.000392935266952929	0.00050346705723505	0.000596768476266114	0.000431666550285979	0.000669314569040678	0.000449009373070663	0.00057813551297067	0.000460141633839489	0.000727018396326256	0.000294851886069231	0.00058776289295732	0.000611746589249081	0.000429113258215443	0.000542194741753687	0.000469287725518824
"K10013"	0	0	2.07855554246835e-05	0	5.11476248321719e-06	0	4.93666261860332e-06	1.06806226803023e-05	0	5.92294251784286e-06	0	5.2317672909909e-06	0	0	1.34609430736717e-05	0	0	6.2362412926481e-06	4.98392683595405e-06	0	0	0	0	1.58210324805797e-05	0	0	0
"K05663"	2.35537968720558e-05	1.73130193905817e-05	2.77140738995781e-05	1.84694718100452e-05	2.04590499328687e-05	8.25999149220876e-06	4.93666261860332e-06	1.06806226803023e-05	7.28236647781063e-06	1.18458850356857e-05	9.2397104274752e-06	0	4.05087904075184e-06	9.15394649518274e-06	1.34609430736717e-05	3.17401875210279e-05	0	6.2362412926481e-06	1.49517805078621e-05	1.12229666790119e-05	9.20276451045894e-06	1.96567924046154e-05	1.16388691674717e-05	1.05473549870531e-05	0	2.08536439136034e-05	0
"K10010"	3.53306953080837e-05	1.73130193905817e-05	2.77140738995781e-05	1.47755774480361e-05	3.83607186241289e-05	4.12999574610438e-05	1.480998785581e-05	3.20418680409068e-05	1.45647329556213e-05	3.55376551070572e-05	1.38595656412128e-05	3.13906037459454e-05	0	4.57697324759137e-05	1.7947924098229e-05	7.61764500504669e-05	1.76135412905442e-05	2.49449651705924e-05	4.98392683595405e-05	3.36689000370358e-05	5.52165870627536e-05	1.96567924046154e-05	2.90971729186792e-05	2.10947099741062e-05	0	3.1280465870405e-05	1.30357701533007e-05
"K10009"	5.88844921801394e-05	1.73130193905817e-05	2.07855554246835e-05	3.69389436200904e-05	1.02295249664344e-05	3.71699617149394e-05	2.96199757116199e-05	1.06806226803023e-05	5.09765653446744e-05	1.77688275535286e-05	4.6198552137376e-05	2.61588364549545e-05	8.10175808150369e-06	1.83078929903655e-05	2.24349051227862e-05	1.90441125126167e-05	2.64203119358163e-05	1.24724825852962e-05	9.9678536719081e-06	5.61148333950597e-05	2.76082935313768e-05	0	4.07360420861509e-05	5.27367749352656e-06	2.76847263364802e-05	1.04268219568017e-05	3.9107310459902e-05
"K02013"	0.000730167703033729	0.000761772853185596	0.000956135549535443	0.00087914685815815	0.000923214628220702	0.000954029017350112	0.000799739344213738	0.000731622653600705	0.000728236647781063	0.000515295999052329	0.000743796689411754	0.000711520351574762	0.00185530260066434	0.000791816371833307	0.000686508096757259	0.000666543937941585	0.000915904147108297	0.000910491228726622	0.000892122903635775	0.000729492834135775	0.00069480872053965	0.000648674149352309	0.000820540276306754	0.00081214633400309	0.000733645247916724	0.000630822728386501	0.000834289289811242
"K02015"	0.00061239871867345	0.000675207756232687	0.000692851847489451	0.000757248344211852	0.000803017709865098	0.000710359268329954	0.000572652863757985	0.000582093936076473	0.00057530695174704	0.000657446619480558	0.000531283349579824	0.000497017892644135	0.00243862918253261	0.000595006522186878	0.000547411684995984	0.000476102812815418	0.000581246862587958	0.0008169476093369	0.000667846196017842	0.000909060300999966	0.000768430836623322	0.000491419810115385	0.000884554056727848	0.00065920968669082	0.000844384153262645	0.000802865290673729	0.00058660965689853
"K02016"	0.000683060109289617	0.000779085872576177	0.000692851847489451	0.0010638415762586	0.00118406751486478	0.00105727891100272	0.000992269186339267	0.000939894795866599	0.000713671914825442	0.000876595492640744	0.000882392345823882	0.000721983886156744	0.00169731831807502	0.000865047943794769	0.000682021115732702	0.000882377213084575	0.000977551541625201	0.00104768853716488	0.000951930025667223	0.00104373590114811	0.00101230409615048	0.00106146678984923	0.00100094274840257	0.00106528285369237	0.00101049251128153	0.000974907852960957	0.00106893315257065
"K10548"	0.000176653476540418	0.000190443213296399	0.000256355183571097	8.12656759641988e-05	9.97378684227351e-05	0.000115639880890923	0.000286326431878993	0.000112146538143174	0.000131082596600591	0.000195457103088815	0.000170934642908291	0.000219734226221618	0.000583326581868265	5.95006522186878e-05	0.000170505278933175	0.000171397012613551	8.80677064527208e-05	0.000124724825852962	0.000179421366094346	0.000190790433543203	7.36221160836715e-05	9.82839620230771e-05	0.000110569257090981	9.49261948834781e-05	5.53694526729603e-05	8.86279866328143e-05	0.000247679632912712
"K10547"	7.06613906161673e-05	8.65650969529086e-05	0.000166284443397468	6.64900985161626e-05	8.1836199731475e-05	1.65199829844175e-05	8.88599271348598e-05	0.000154869028864383	6.55412983002957e-05	0.000100690022803329	0.000106256669915965	8.89400439468452e-05	0.000648140646520295	7.78085452090532e-05	8.97396204911449e-05	0.000120612712579906	5.28406238716325e-05	5.61261716338329e-05	1.49517805078621e-05	0.000157121533506167	0.000124237320891196	0.000176911131641539	6.40137804210943e-05	5.27367749352656e-05	5.53694526729603e-05	3.64938768488059e-05	6.51788507665033e-05
"K10546"	0.000129545882796307	0.000225069252077562	8.31422216987342e-05	4.43267323441084e-05	7.92788184898664e-05	2.89099702227307e-05	0.000113543240227876	9.61256041227204e-05	8.73883977337276e-05	8.8844137767643e-05	0.000138595656412128	0.000120330647692791	0.000644089767479543	5.49236789710964e-05	0.000152557354834946	0.000107916637571495	6.16473945169046e-05	0.000118488584560314	3.98714146876324e-05	7.85607667530835e-05	7.36221160836715e-05	0	0.000104749822507245	0.00018457871227343	9.68965421776806e-05	6.25609317408101e-05	5.21430806132026e-05
"K10199"	1.17768984360279e-05	0	0	3.69389436200904e-06	0	0	0	0	0	5.92294251784286e-06	4.6198552137376e-06	0	0	0	0	0	0	6.2362412926481e-06	4.98392683595405e-06	2.24459333580239e-05	4.60138225522947e-06	1.96567924046154e-05	5.81943458373584e-06	2.63683874676328e-05	0	0	0
"K10041"	0.000141322781232335	0.000155817174515235	0.000103927777123418	0.000181000823738443	0.00021737740553673	0.000243669749020159	0.000143163215939496	0.000138848094843929	0.000211188627856508	0.0001658423904996	0.000120116235557178	8.89400439468452e-05	0.000315968565178644	0.000155617090418106	0.000157044335859504	0.000107916637571495	0.000228976036777074	0.000212032203950035	0.000264148122305565	0.000190790433543203	0.000202460819230097	0.000314508678473847	0.000226957948765698	0.000268957552169855	0.000263004900196562	0.00025024372696324	0.000260715403066013
"K10040"	7.06613906161673e-05	3.46260387811634e-05	4.15711108493671e-05	3.69389436200904e-05	4.34754811073461e-05	6.19499361915657e-05	4.93666261860332e-05	5.34031134015113e-06	7.28236647781063e-05	2.96147125892143e-05	9.2397104274752e-05	4.70859056189181e-05	0.000441545815441951	3.66157859807309e-05	4.03828292210152e-05	5.71323375378502e-05	2.64203119358163e-05	0.000112252343267666	7.47589025393107e-05	5.61148333950597e-05	2.76082935313768e-05	0	5.23749112536226e-05	0.000100199872377005	2.76847263364802e-05	8.34145756544134e-05	6.51788507665033e-05
