"BulkAG1"	"BulkAG2"	"BulkAG3"	"BulkTP1"	"BulkTP2"	"BulkTP3"	"RAG1"	"RAG10"	"RAG12"	"RAG2"	"RAG3"	"RAG4"	"RAG5"	"RAG6"	"RAG7"	"RAG8"	"RTP1"	"RTP10"	"RTP11"	"RTP12"	"RTP2"	"RTP3"	"RTP4"	"RTP5"	"RTP6"	"RTP7"	"RTP9"
"566368"	0	0	0	0.000598953407729651	0.000410859328086976	0.000568310979768129	0	0	0	0	0	8.0450522928399e-05	0	0	4.22386483632524e-05	0	0.000287705389680967	0.000155380838435004	0.00033254630707326	0.000340103002623652	0.000258340714496605	0.00028273546562997	0.000379164889331248	0.000355250303442968	0.000265225607532407	0.000220636905199676	0.000473230905132978
"546305"	7.39207569485512e-05	0.000136109976861304	0.000303729801968169	0.000252190908517748	0.00034765020068898	0.000340986587860877	0.000228534116878877	0.000123548307388189	6.99643181977192e-05	6.50068257167002e-05	7.21787144970948e-05	0.000241351568785197	0.000296794618124258	0	0.000168954593453009	0	0.000223770858640752	0.000124304670748003	0.000266037045658608	0.000242930716159751	0.000147623265426631	0.000247393532426224	0.000189582444665624	0.000266437727582226	0.000132612803766204	0.000183864087666397	0.000126194908035461
"563240"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.19672655201074e-05	0	6.6509261414652e-05	0	0	0	0	0	6.63064018831018e-05	0	0
"583939"	0.000147841513897102	0.000136109976861304	0.000121491920787268	0	0	0	0	4.11827691293963e-05	6.99643181977192e-05	0	3.60893572485474e-05	8.0450522928399e-05	0	0	0	0	0	0	0	0	0	0	0	0	3.31532009415509e-05	0	3.15487270088652e-05
"1532107"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.31532009415509e-05	0	0
"227239"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.69058163566578e-05	0	0	2.96041919535806e-05	0	0	0
"1909053"	0	0	0	0	0	0	0	0	0	3.25034128583501e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"221964"	0	0	0	0	3.16045636989981e-05	0	6.52954619653934e-05	0	6.99643181977192e-05	0	3.60893572485474e-05	0	4.94657696873763e-05	0	8.44772967265047e-05	2.14132762312634e-05	0	0	0	0	0	0	0	5.92083839071613e-05	0	0	3.15487270088652e-05
"235963"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.21523353740017e-05	6.6509261414652e-05	4.85861432319502e-05	0	0	0	0	0	0	3.15487270088652e-05
"587355"	0.00066528681253696	0.000998139830316229	0.00145790304944721	0.000346762499211903	0.000158022818494991	0.000416761385163295	0.000718250081619327	0.00135903138127008	0.000419785909186315	0.000455047780016902	0.00101050200295933	0.000482703137570394	0.000791452314998021	0.000107074023841816	0.00122492080253432	0.00012847965738758	0.000159836327600537	0.000124304670748003	0.000299291676365934	0.000388689145855602	0.000295246530853262	0.000353419332037462	0.00023697805583203	0.000118416767814323	0.000265225607532407	0.000257409722732956	0.000315487270088652
